Format Version,1.21,Take Name,AnneliBengtAA1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 01.08.36.942 PM,Total Frames in Take,35020,Total Exported Frames,35020,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-1.120439,0.966285,2.923364,-1.536234,0.964512,1.705844
1,0.008333,-1.120588,0.966369,2.923348,-1.536243,0.964453,1.705887
2,0.016667,-1.120721,0.966450,2.923346,-1.536232,0.964421,1.705932
3,0.025000,-1.120843,0.966525,2.923360,-1.536212,0.964390,1.705970
4,0.033333,-1.120955,0.966597,2.923383,-1.536179,0.964379,1.705987
5,0.041667,-1.121042,0.966672,2.923428,-1.536132,0.964364,1.706001
6,0.050000,-1.121113,0.966731,2.923493,-1.536067,0.964365,1.706005
7,0.058333,-1.121166,0.966765,2.923571,-1.535996,0.964383,1.706002
8,0.066667,-1.121215,0.966787,2.923658,-1.535927,0.964418,1.706003
9,0.075000,-1.121254,0.966791,2.923749,-1.535862,0.964467,1.706006
10,0.083333,-1.121292,0.966779,2.923860,-1.535798,0.964532,1.706011
11,0.091667,-1.121307,0.966764,2.923973,-1.535720,0.964615,1.706020
12,0.100000,-1.121309,0.966746,2.924082,-1.535645,0.964704,1.706021
13,0.108333,-1.121291,0.966729,2.924183,-1.535553,0.964809,1.706025
14,0.116667,-1.121275,0.966702,2.924294,-1.535473,0.964910,1.706026
15,0.125000,-1.121258,0.966671,2.924402,-1.535400,0.965015,1.706011
16,0.133333,-1.121238,0.966636,2.924507,-1.535339,0.965116,1.705994
17,0.141667,-1.121213,0.966598,2.924607,-1.535289,0.965207,1.705975
18,0.150000,-1.121179,0.966555,2.924688,-1.535258,0.965279,1.705946
19,0.158333,-1.121131,0.966513,2.924756,-1.535241,0.965330,1.705918
20,0.166667,-1.121081,0.966483,2.924809,-1.535244,0.965370,1.705879
21,0.175000,-1.121036,0.966445,2.924845,-1.535261,0.965396,1.705848
22,0.183333,-1.121005,0.966408,2.924879,-1.535296,0.965413,1.705817
23,0.191667,-1.120997,0.966359,2.924904,-1.535348,0.965423,1.705797
24,0.200000,-1.121007,0.966304,2.924919,-1.535405,0.965429,1.705790
25,0.208333,-1.121034,0.966244,2.924929,-1.535457,0.965430,1.705798
26,0.216667,-1.121075,0.966176,2.924939,-1.535501,0.965419,1.705814
27,0.225000,-1.121113,0.966109,2.924948,-1.535539,0.965402,1.705846
28,0.233333,-1.121147,0.966048,2.924961,-1.535576,0.965380,1.705884
29,0.241667,-1.121194,0.966004,2.924986,-1.535618,0.965355,1.705921
30,0.250000,-1.121242,0.965972,2.925015,-1.535661,0.965322,1.705965
31,0.258333,-1.121302,0.965949,2.925054,-1.535698,0.965280,1.705992
32,0.266667,-1.121375,0.965933,2.925100,-1.535713,0.965233,1.706010
33,0.275000,-1.121446,0.965936,2.925150,-1.535710,0.965175,1.706019
34,0.283333,-1.121504,0.965951,2.925206,-1.535689,0.965122,1.706022
35,0.291667,-1.121564,0.965999,2.925266,-1.535677,0.965085,1.706027
36,0.300000,-1.121600,0.966072,2.925322,-1.535676,0.965059,1.706031
37,0.308333,-1.121623,0.966167,2.925389,-1.535691,0.965061,1.706061
38,0.316667,-1.121637,0.966282,2.925461,-1.535722,0.965071,1.706084
39,0.325000,-1.121647,0.966406,2.925547,-1.535749,0.965093,1.706123
40,0.333333,-1.121643,0.966524,2.925631,-1.535756,0.965129,1.706159
41,0.341667,-1.121625,0.966647,2.925719,-1.535737,0.965177,1.706189
42,0.350000,-1.121595,0.966764,2.925811,-1.535698,0.965224,1.706204
43,0.358333,-1.121565,0.966895,2.925918,-1.535628,0.965269,1.706214
44,0.366667,-1.121521,0.967037,2.926028,-1.535568,0.965309,1.706205
45,0.375000,-1.121447,0.967166,2.926128,-1.535525,0.965328,1.706187
46,0.383333,-1.121366,0.967315,2.926241,-1.535496,0.965339,1.706158
47,0.391667,-1.121280,0.967451,2.926356,-1.535488,0.965336,1.706116
48,0.400000,-1.121189,0.967577,2.926485,-1.535509,0.965324,1.706070
49,0.408333,-1.121116,0.967684,2.926601,-1.535544,0.965320,1.706019
50,0.416667,-1.121045,0.967791,2.926730,-1.535591,0.965316,1.705978
51,0.425000,-1.120989,0.967886,2.926845,-1.535628,0.965323,1.705941
52,0.433333,-1.120945,0.967962,2.926946,-1.535657,0.965337,1.705914
53,0.441667,-1.120917,0.968023,2.927042,-1.535690,0.965348,1.705891
54,0.450000,-1.120905,0.968067,2.927120,-1.535725,0.965371,1.705878
55,0.458333,-1.120907,0.968088,2.927194,-1.535760,0.965401,1.705861
56,0.466667,-1.120920,0.968103,2.927259,-1.535802,0.965423,1.705828
57,0.475000,-1.120932,0.968112,2.927315,-1.535832,0.965454,1.705800
58,0.483333,-1.120937,0.968126,2.927367,-1.535851,0.965479,1.705757
59,0.491667,-1.120934,0.968131,2.927397,-1.535868,0.965500,1.705713
60,0.500000,-1.120928,0.968133,2.927417,-1.535880,0.965517,1.705660
61,0.508333,-1.120934,0.968116,2.927422,-1.535904,0.965527,1.705603
62,0.516667,-1.120965,0.968092,2.927431,-1.535940,0.965547,1.705543
63,0.525000,-1.121024,0.968057,2.927437,-1.535977,0.965568,1.705482
64,0.533333,-1.121115,0.968031,2.927445,-1.536009,0.965603,1.705420
65,0.541667,-1.121215,0.968022,2.927454,-1.536029,0.965640,1.705379
66,0.550000,-1.121340,0.968025,2.927449,-1.536035,0.965685,1.705352
67,0.558333,-1.121495,0.968044,2.927436,-1.536028,0.965735,1.705333
68,0.566667,-1.121700,0.968075,2.927420,-1.536004,0.965788,1.705330
69,0.575000,-1.121932,0.968098,2.927388,-1.535970,0.965843,1.705326
70,0.583333,-1.122222,0.968132,2.927356,-1.535926,0.965890,1.705313
71,0.591667,-1.122581,0.968171,2.927325,-1.535874,0.965928,1.705303
72,0.600000,-1.122984,0.968202,2.927268,-1.535810,0.965942,1.705301
73,0.608333,-1.123422,0.968215,2.927191,-1.535747,0.965930,1.705308
74,0.616667,-1.123904,0.968242,2.927105,-1.535686,0.965907,1.705320
75,0.625000,-1.124389,0.968274,2.927001,-1.535635,0.965879,1.705327
76,0.633333,-1.124862,0.968321,2.926899,-1.535599,0.965844,1.705330
77,0.641667,-1.125271,0.968392,2.926839,-1.535564,0.965801,1.705349
78,0.650000,-1.125598,0.968510,2.926826,-1.535520,0.965748,1.705372
79,0.658333,-1.125826,0.968630,2.926830,-1.535470,0.965697,1.705393
80,0.666667,-1.126014,0.968770,2.926848,-1.535410,0.965634,1.705418
81,0.675000,-1.126172,0.968904,2.926866,-1.535357,0.965569,1.705443
82,0.683333,-1.126324,0.969021,2.926890,-1.535305,0.965519,1.705470
83,0.691667,-1.126484,0.969133,2.926902,-1.535265,0.965479,1.705494
84,0.700000,-1.126662,0.969241,2.926903,-1.535241,0.965448,1.705526
85,0.708333,-1.126837,0.969313,2.926896,-1.535225,0.965423,1.705555
86,0.716667,-1.127004,0.969382,2.926884,-1.535218,0.965402,1.705584
87,0.725000,-1.127144,0.969430,2.926859,-1.535213,0.965396,1.705619
88,0.733333,-1.127250,0.969473,2.926823,-1.535206,0.965392,1.705657
89,0.741667,-1.127323,0.969512,2.926777,-1.535197,0.965399,1.705691
90,0.750000,-1.127371,0.969546,2.926727,-1.535197,0.965415,1.705711
91,0.758333,-1.127393,0.969563,2.926681,-1.535207,0.965430,1.705728
92,0.766667,-1.127383,0.969561,2.926640,-1.535209,0.965446,1.705730
93,0.775000,-1.127337,0.969544,2.926612,-1.535215,0.965457,1.705729
94,0.783333,-1.127261,0.969509,2.926587,-1.535217,0.965461,1.705732
95,0.791667,-1.127150,0.969477,2.926568,-1.535204,0.965462,1.705726
96,0.800000,-1.127021,0.969444,2.926556,-1.535185,0.965467,1.705709
97,0.808333,-1.126882,0.969398,2.926550,-1.535149,0.965477,1.705687
98,0.816667,-1.126720,0.969330,2.926548,-1.535117,0.965496,1.705671
99,0.825000,-1.126552,0.969253,2.926551,-1.535075,0.965509,1.705658
100,0.833333,-1.126377,0.969171,2.926552,-1.535049,0.965521,1.705643
101,0.841667,-1.126187,0.969104,2.926553,-1.535028,0.965531,1.705636
102,0.850000,-1.125984,0.969064,2.926556,-1.535032,0.965542,1.705635
103,0.858333,-1.125758,0.969018,2.926550,-1.535042,0.965559,1.705636
104,0.866667,-1.125530,0.968981,2.926558,-1.535050,0.965577,1.705647
105,0.875000,-1.125325,0.968935,2.926574,-1.535039,0.965589,1.705665
106,0.883333,-1.125131,0.968883,2.926610,-1.535012,0.965597,1.705688
107,0.891667,-1.124915,0.968822,2.926639,-1.534972,0.965585,1.705725
108,0.900000,-1.124676,0.968765,2.926674,-1.534940,0.965559,1.705760
109,0.908333,-1.124434,0.968729,2.926714,-1.534907,0.965524,1.705786
