Format Version,1.21,Take Name,AnneliBengtAB1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 01.20.12.274 PM,Total Frames in Take,30410,Total Exported Frames,30410,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-1.087735,0.979070,2.937138,-1.481561,0.909755,2.009902
1,0.008333,-1.087733,0.979037,2.937139,-1.481581,0.909663,2.010067
2,0.016667,-1.087737,0.979009,2.937137,-1.481599,0.909580,2.010216
3,0.025000,-1.087735,0.978982,2.937124,-1.481615,0.909495,2.010368
4,0.033333,-1.087722,0.978955,2.937096,-1.481607,0.909414,2.010522
5,0.041667,-1.087702,0.978921,2.937061,-1.481593,0.909321,2.010674
6,0.050000,-1.087679,0.978885,2.937028,-1.481565,0.909238,2.010833
7,0.058333,-1.087639,0.978858,2.936993,-1.481532,0.909163,2.010995
8,0.066667,-1.087575,0.978839,2.936970,-1.481496,0.909101,2.011147
9,0.075000,-1.087494,0.978816,2.936958,-1.481455,0.909051,2.011306
10,0.083333,-1.087407,0.978776,2.936964,-1.481409,0.909006,2.011450
11,0.091667,-1.087316,0.978720,2.936993,-1.481370,0.908970,2.011582
12,0.100000,-1.087219,0.978655,2.937039,-1.481328,0.908961,2.011698
13,0.108333,-1.087111,0.978579,2.937108,-1.481289,0.908966,2.011802
14,0.116667,-1.086982,0.978508,2.937188,-1.481257,0.908989,2.011895
15,0.125000,-1.086829,0.978439,2.937285,-1.481215,0.909026,2.011989
16,0.133333,-1.086652,0.978362,2.937391,-1.481185,0.909074,2.012072
17,0.141667,-1.086467,0.978294,2.937501,-1.481152,0.909132,2.012141
18,0.150000,-1.086283,0.978219,2.937621,-1.481112,0.909196,2.012194
19,0.158333,-1.086108,0.978124,2.937742,-1.481062,0.909261,2.012238
20,0.166667,-1.085938,0.978011,2.937880,-1.481001,0.909327,2.012279
21,0.175000,-1.085777,0.977897,2.938019,-1.480943,0.909388,2.012311
22,0.183333,-1.085601,0.977784,2.938158,-1.480896,0.909453,2.012336
23,0.191667,-1.085430,0.977689,2.938285,-1.480859,0.909521,2.012346
24,0.200000,-1.085251,0.977595,2.938421,-1.480835,0.909587,2.012330
25,0.208333,-1.085089,0.977504,2.938546,-1.480807,0.909649,2.012310
26,0.216667,-1.084958,0.977414,2.938656,-1.480773,0.909708,2.012287
27,0.225000,-1.084864,0.977325,2.938751,-1.480746,0.909758,2.012261
28,0.233333,-1.084801,0.977241,2.938836,-1.480727,0.909808,2.012233
29,0.241667,-1.084760,0.977161,2.938911,-1.480720,0.909858,2.012202
30,0.250000,-1.084722,0.977088,2.938980,-1.480717,0.909912,2.012162
31,0.258333,-1.084681,0.977024,2.939038,-1.480730,0.909959,2.012117
32,0.266667,-1.084645,0.976954,2.939078,-1.480735,0.909999,2.012070
33,0.275000,-1.084629,0.976874,2.939136,-1.480744,0.910037,2.012027
34,0.283333,-1.084622,0.976766,2.939204,-1.480763,0.910076,2.011978
35,0.291667,-1.084608,0.976635,2.939294,-1.480778,0.910110,2.011936
36,0.300000,-1.084593,0.976504,2.939400,-1.480795,0.910139,2.011894
37,0.308333,-1.084546,0.976366,2.939505,-1.480818,0.910162,2.011853
38,0.316667,-1.084494,0.976242,2.939600,-1.480835,0.910181,2.011819
39,0.325000,-1.084432,0.976151,2.939687,-1.480856,0.910203,2.011781
40,0.333333,-1.084365,0.976079,2.939775,-1.480873,0.910218,2.011756
41,0.341667,-1.084288,0.975995,2.939860,-1.480887,0.910226,2.011736
42,0.350000,-1.084209,0.975897,2.939954,-1.480905,0.910223,2.011736
43,0.358333,-1.084121,0.975792,2.940045,-1.480915,0.910203,2.011739
44,0.366667,-1.084028,0.975694,2.940140,-1.480922,0.910172,2.011770
45,0.375000,-1.083914,0.975605,2.940235,-1.480927,0.910129,2.011801
46,0.383333,-1.083781,0.975534,2.940331,-1.480930,0.910082,2.011840
47,0.391667,-1.083642,0.975467,2.940436,-1.480932,0.910024,2.011884
48,0.400000,-1.083533,0.975386,2.940529,-1.480934,0.909976,2.011926
49,0.408333,-1.083446,0.975286,2.940633,-1.480947,0.909932,2.011982
50,0.416667,-1.083372,0.975172,2.940741,-1.480963,0.909897,2.012037
51,0.425000,-1.083279,0.975025,2.940852,-1.480983,0.909872,2.012092
52,0.433333,-1.083161,0.974889,2.940962,-1.481017,0.909857,2.012143
53,0.441667,-1.083024,0.974777,2.941062,-1.481051,0.909849,2.012177
54,0.450000,-1.082873,0.974649,2.941168,-1.481083,0.909856,2.012200
55,0.458333,-1.082691,0.974517,2.941298,-1.481121,0.909883,2.012215
56,0.466667,-1.082522,0.974358,2.941442,-1.481160,0.909926,2.012229
57,0.475000,-1.082358,0.974203,2.941617,-1.481199,0.909968,2.012241
58,0.483333,-1.082196,0.974057,2.941761,-1.481235,0.910014,2.012258
59,0.491667,-1.082035,0.973936,2.941880,-1.481271,0.910065,2.012267
60,0.500000,-1.081866,0.973846,2.941980,-1.481307,0.910119,2.012276
61,0.508333,-1.081690,0.973777,2.942075,-1.481342,0.910176,2.012277
62,0.516667,-1.081516,0.973714,2.942162,-1.481374,0.910243,2.012280
63,0.525000,-1.081358,0.973649,2.942247,-1.481414,0.910304,2.012280
64,0.533333,-1.081217,0.973587,2.942346,-1.481450,0.910370,2.012286
65,0.541667,-1.081076,0.973522,2.942438,-1.481489,0.910425,2.012293
66,0.550000,-1.080945,0.973451,2.942519,-1.481527,0.910479,2.012309
67,0.558333,-1.080800,0.973377,2.942605,-1.481564,0.910535,2.012310
68,0.566667,-1.080662,0.973308,2.942675,-1.481597,0.910593,2.012326
69,0.575000,-1.080534,0.973249,2.942749,-1.481627,0.910674,2.012353
70,0.583333,-1.080417,0.973191,2.942826,-1.481667,0.910763,2.012384
71,0.591667,-1.080305,0.973130,2.942900,-1.481696,0.910858,2.012414
72,0.600000,-1.080212,0.973071,2.942969,-1.481732,0.910960,2.012446
73,0.608333,-1.080110,0.973004,2.943033,-1.481771,0.911070,2.012473
74,0.616667,-1.080014,0.972950,2.943082,-1.481821,0.911184,2.012502
75,0.625000,-1.079912,0.972900,2.943109,-1.481869,0.911311,2.012541
76,0.633333,-1.079819,0.972872,2.943131,-1.481920,0.911445,2.012607
77,0.641667,-1.079741,0.972860,2.943142,-1.481970,0.911578,2.012684
78,0.650000,-1.079680,0.972859,2.943133,-1.482013,0.911689,2.012765
79,0.658333,-1.079632,0.972848,2.943109,-1.482002,0.911784,2.012864
80,0.666667,-1.079595,0.972847,2.943084,-1.482043,0.911867,2.012925
81,0.675000,-1.079551,0.972856,2.943040,-1.482084,0.911934,2.012978
82,0.683333,-1.079514,0.972885,2.942984,-1.482140,0.912009,2.013011
83,0.691667,-1.079495,0.972928,2.942917,-1.482200,0.912083,2.013032
84,0.700000,-1.079487,0.972988,2.942837,-1.482254,0.912143,2.013088
85,0.708333,-1.079492,0.973071,2.942747,-1.482330,0.912192,2.013103
86,0.716667,-1.079515,0.973164,2.942652,-1.482404,0.912219,2.013117
87,0.725000,-1.079544,0.973261,2.942547,-1.482465,0.912226,2.013136
88,0.733333,-1.079589,0.973365,2.942434,-1.482523,0.912207,2.013162
89,0.741667,-1.079649,0.973480,2.942317,-1.482572,0.912174,2.013188
90,0.750000,-1.079740,0.973613,2.942177,-1.482637,0.912127,2.013200
91,0.758333,-1.079850,0.973776,2.942044,-1.482695,0.912058,2.013186
92,0.766667,-1.079957,0.973964,2.941908,-1.482755,0.911977,2.013146
93,0.775000,-1.080067,0.974182,2.941754,-1.482833,0.911885,2.013044
94,0.783333,-1.080195,0.974425,2.941597,-1.482886,0.911768,2.012973
95,0.791667,-1.080337,0.974686,2.941412,-1.482927,0.911643,2.012906
96,0.800000,-1.080541,0.974953,2.941210,-1.482962,0.911515,2.012854
97,0.808333,-1.080771,0.975184,2.941034,-1.482992,0.911390,2.012838
98,0.816667,-1.081035,0.975395,2.940859,-1.483008,0.911277,2.012854
99,0.825000,-1.081303,0.975570,2.940706,-1.483004,0.911163,2.012883
100,0.833333,-1.081574,0.975725,2.940573,-1.482976,0.911037,2.012919
101,0.841667,-1.081843,0.975849,2.940469,-1.482935,0.910911,2.012962
102,0.850000,-1.082096,0.975972,2.940393,-1.482879,0.910786,2.013013
103,0.858333,-1.082323,0.976106,2.940325,-1.482814,0.910675,2.013064
104,0.866667,-1.082526,0.976226,2.940255,-1.482767,0.910568,2.013132
105,0.875000,-1.082730,0.976357,2.940172,-1.482711,0.910469,2.013188
106,0.883333,-1.082936,0.976514,2.940085,-1.482678,0.910369,2.013218
107,0.891667,-1.083118,0.976666,2.939976,-1.482629,0.910271,2.013259
108,0.900000,-1.083308,0.976827,2.939838,-1.482578,0.910180,2.013288
109,0.908333,-1.083498,0.976992,2.939658,-1.482540,0.910097,2.013325
