Format Version,1.21,Take Name,AnneliBengtBA1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 01.14.39.083 PM,Total Frames in Take,33658,Total Exported Frames,33658,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-1.174466,0.936576,2.596606,-1.529874,0.947329,1.691056
1,0.008333,-1.174508,0.936567,2.596588,-1.529912,0.947400,1.691026
2,0.016667,-1.174537,0.936552,2.596571,-1.529960,0.947472,1.690993
3,0.025000,-1.174572,0.936530,2.596546,-1.529998,0.947538,1.690959
4,0.033333,-1.174587,0.936501,2.596503,-1.530028,0.947596,1.690929
5,0.041667,-1.174599,0.936472,2.596434,-1.530042,0.947639,1.690906
6,0.050000,-1.174599,0.936441,2.596343,-1.530037,0.947675,1.690890
7,0.058333,-1.174607,0.936401,2.596246,-1.530024,0.947705,1.690875
8,0.066667,-1.174620,0.936354,2.596155,-1.530006,0.947730,1.690863
9,0.075000,-1.174632,0.936306,2.596096,-1.529997,0.947748,1.690850
10,0.083333,-1.174633,0.936246,2.596041,-1.530006,0.947756,1.690843
11,0.091667,-1.174626,0.936195,2.596000,-1.530023,0.947755,1.690836
12,0.100000,-1.174617,0.936147,2.595966,-1.530069,0.947755,1.690825
13,0.108333,-1.174607,0.936106,2.595938,-1.530120,0.947759,1.690827
14,0.116667,-1.174602,0.936044,2.595880,-1.530182,0.947781,1.690840
15,0.125000,-1.174613,0.936013,2.595866,-1.530251,0.947816,1.690855
16,0.133333,-1.174619,0.935973,2.595861,-1.530312,0.947853,1.690880
17,0.141667,-1.174642,0.935938,2.595845,-1.530369,0.947880,1.690910
18,0.150000,-1.174688,0.935901,2.595824,-1.530410,0.947893,1.690942
19,0.158333,-1.174740,0.935866,2.595786,-1.530449,0.947892,1.690970
20,0.166667,-1.174798,0.935844,2.595728,-1.530486,0.947868,1.690995
21,0.175000,-1.174868,0.935846,2.595675,-1.530530,0.947837,1.691009
22,0.183333,-1.174940,0.935891,2.595631,-1.530584,0.947797,1.691005
23,0.191667,-1.175017,0.935953,2.595583,-1.530640,0.947755,1.691009
24,0.200000,-1.175109,0.936025,2.595553,-1.530697,0.947699,1.691021
25,0.208333,-1.175202,0.936093,2.595531,-1.530757,0.947649,1.691045
26,0.216667,-1.175286,0.936162,2.595519,-1.530810,0.947604,1.691080
27,0.225000,-1.175359,0.936234,2.595531,-1.530868,0.947574,1.691120
28,0.233333,-1.175420,0.936307,2.595544,-1.530925,0.947552,1.691150
29,0.241667,-1.175477,0.936383,2.595565,-1.530998,0.947540,1.691171
30,0.250000,-1.175543,0.936460,2.595584,-1.531067,0.947530,1.691182
31,0.258333,-1.175623,0.936518,2.595596,-1.531131,0.947518,1.691185
32,0.266667,-1.175714,0.936547,2.595599,-1.531186,0.947510,1.691182
33,0.275000,-1.175820,0.936561,2.595608,-1.531237,0.947512,1.691177
34,0.283333,-1.175920,0.936541,2.595600,-1.531296,0.947525,1.691162
35,0.291667,-1.176025,0.936517,2.595595,-1.531361,0.947551,1.691146
36,0.300000,-1.176115,0.936495,2.595572,-1.531432,0.947581,1.691124
37,0.308333,-1.176194,0.936486,2.595528,-1.531507,0.947614,1.691112
38,0.316667,-1.176246,0.936488,2.595482,-1.531563,0.947645,1.691108
39,0.325000,-1.176279,0.936531,2.595459,-1.531602,0.947675,1.691103
40,0.333333,-1.176286,0.936571,2.595406,-1.531635,0.947704,1.691097
41,0.341667,-1.176263,0.936648,2.595360,-1.531685,0.947731,1.691087
42,0.350000,-1.176238,0.936741,2.595309,-1.531744,0.947746,1.691070
43,0.358333,-1.176220,0.936848,2.595263,-1.531803,0.947760,1.691042
44,0.366667,-1.176226,0.936964,2.595210,-1.531847,0.947770,1.691008
45,0.375000,-1.176242,0.937056,2.595153,-1.531877,0.947780,1.690976
46,0.383333,-1.176277,0.937135,2.595115,-1.531897,0.947784,1.690948
47,0.391667,-1.176338,0.937177,2.595064,-1.531923,0.947799,1.690914
48,0.400000,-1.176410,0.937199,2.595044,-1.531945,0.947833,1.690878
49,0.408333,-1.176504,0.937195,2.595031,-1.531976,0.947872,1.690838
50,0.416667,-1.176587,0.937177,2.595026,-1.532009,0.947915,1.690820
51,0.425000,-1.176671,0.937141,2.595018,-1.532037,0.947947,1.690813
52,0.433333,-1.176756,0.937097,2.595010,-1.532066,0.947977,1.690811
53,0.441667,-1.176825,0.937043,2.595002,-1.532108,0.948000,1.690818
54,0.450000,-1.176879,0.937001,2.595016,-1.532151,0.948019,1.690821
55,0.458333,-1.176930,0.936967,2.595038,-1.532207,0.948032,1.690816
56,0.466667,-1.176974,0.936939,2.595050,-1.532271,0.948046,1.690806
57,0.475000,-1.177023,0.936921,2.595035,-1.532343,0.948054,1.690797
58,0.483333,-1.177069,0.936900,2.594976,-1.532406,0.948064,1.690793
59,0.491667,-1.177104,0.936902,2.594929,-1.532469,0.948081,1.690800
60,0.500000,-1.177128,0.936908,2.594861,-1.532530,0.948121,1.690810
61,0.508333,-1.177151,0.936915,2.594817,-1.532588,0.948171,1.690836
62,0.516667,-1.177166,0.936914,2.594795,-1.532637,0.948231,1.690866
63,0.525000,-1.177181,0.936919,2.594801,-1.532665,0.948291,1.690905
64,0.533333,-1.177185,0.936931,2.594821,-1.532681,0.948329,1.690944
65,0.541667,-1.177182,0.936955,2.594855,-1.532676,0.948352,1.690985
66,0.550000,-1.177162,0.937000,2.594878,-1.532674,0.948347,1.691005
67,0.558333,-1.177133,0.937048,2.594880,-1.532677,0.948332,1.691029
68,0.566667,-1.177102,0.937106,2.594868,-1.532704,0.948306,1.691050
69,0.575000,-1.177090,0.937156,2.594863,-1.532745,0.948280,1.691072
70,0.583333,-1.177083,0.937208,2.594858,-1.532796,0.948254,1.691105
71,0.591667,-1.177094,0.937273,2.594855,-1.532841,0.948229,1.691148
72,0.600000,-1.177093,0.937338,2.594845,-1.532874,0.948202,1.691206
73,0.608333,-1.177069,0.937430,2.594835,-1.532891,0.948180,1.691292
74,0.616667,-1.177028,0.937547,2.594840,-1.532907,0.948154,1.691378
75,0.625000,-1.176996,0.937676,2.594867,-1.532928,0.948138,1.691464
76,0.633333,-1.176964,0.937787,2.594877,-1.532960,0.948119,1.691535
77,0.641667,-1.176958,0.937876,2.594903,-1.533001,0.948105,1.691593
78,0.650000,-1.176966,0.937961,2.594934,-1.533047,0.948092,1.691633
79,0.658333,-1.176988,0.938049,2.594955,-1.533102,0.948091,1.691661
80,0.666667,-1.176997,0.938136,2.594982,-1.533159,0.948102,1.691681
81,0.675000,-1.177001,0.938218,2.594984,-1.533199,0.948139,1.691697
82,0.683333,-1.177010,0.938299,2.594975,-1.533235,0.948192,1.691708
83,0.691667,-1.177018,0.938369,2.594959,-1.533252,0.948265,1.691722
84,0.700000,-1.177040,0.938427,2.594935,-1.533252,0.948331,1.691734
85,0.708333,-1.177070,0.938487,2.594911,-1.533223,0.948402,1.691748
86,0.716667,-1.177105,0.938544,2.594867,-1.533178,0.948459,1.691754
87,0.725000,-1.177129,0.938607,2.594808,-1.533142,0.948496,1.691752
88,0.733333,-1.177133,0.938672,2.594736,-1.533114,0.948530,1.691741
89,0.741667,-1.177131,0.938739,2.594666,-1.533094,0.948552,1.691714
90,0.750000,-1.177118,0.938804,2.594593,-1.533093,0.948578,1.691682
91,0.758333,-1.177113,0.938851,2.594534,-1.533114,0.948603,1.691646
92,0.766667,-1.177125,0.938882,2.594474,-1.533158,0.948626,1.691619
93,0.775000,-1.177147,0.938890,2.594429,-1.533227,0.948656,1.691602
94,0.783333,-1.177172,0.938876,2.594372,-1.533307,0.948682,1.691608
95,0.791667,-1.177187,0.938859,2.594323,-1.533393,0.948720,1.691623
96,0.800000,-1.177201,0.938822,2.594278,-1.533489,0.948772,1.691642
97,0.808333,-1.177209,0.938755,2.594217,-1.533594,0.948830,1.691669
98,0.816667,-1.177228,0.938701,2.594205,-1.533700,0.948878,1.691702
99,0.825000,-1.177233,0.938625,2.594199,-1.533794,0.948909,1.691720
100,0.833333,-1.177228,0.938535,2.594199,-1.533877,0.948923,1.691729
101,0.841667,-1.177222,0.938458,2.594204,-1.533963,0.948917,1.691728
102,0.850000,-1.177194,0.938379,2.594195,-1.534043,0.948910,1.691715
103,0.858333,-1.177145,0.938312,2.594178,-1.534111,0.948915,1.691695
104,0.866667,-1.177088,0.938272,2.594151,-1.534179,0.948915,1.691675
105,0.875000,-1.177023,0.938247,2.594131,-1.534247,0.948926,1.691663
106,0.883333,-1.176947,0.938233,2.594108,-1.534306,0.948942,1.691646
107,0.891667,-1.176878,0.938226,2.594084,-1.534351,0.948962,1.691636
108,0.900000,-1.176815,0.938223,2.594078,-1.534394,0.948994,1.691634
109,0.908333,-1.176754,0.938216,2.594058,-1.534429,0.949036,1.691633
