Format Version,1.21,Take Name,AnneliBengtBB1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 01.25.21.438 PM,Total Frames in Take,33844,Total Exported Frames,33844,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:115,Unlabeled:115,Unlabeled:115
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357073","8392B20CF49E357073","8392B20CF49E357073"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-1.191739,0.940022,2.549910,-1.515821,0.908477,1.999445
1,0.008333,-1.191805,0.939947,2.550076,-1.515845,0.908463,1.999509
2,0.016667,-1.191883,0.939866,2.550252,-1.515868,0.908434,1.999551
3,0.025000,-1.191964,0.939779,2.550434,-1.515905,0.908392,1.999573
4,0.033333,-1.192047,0.939701,2.550624,-1.515945,0.908343,1.999572
5,0.041667,-1.192101,0.939636,2.550803,-1.515987,0.908296,1.999569
6,0.050000,-1.192150,0.939577,2.550982,-1.516032,0.908245,1.999562
7,0.058333,-1.192212,0.939523,2.551172,-1.516080,0.908199,1.999543
8,0.066667,-1.192281,0.939450,2.551362,-1.516134,0.908155,1.999525
9,0.075000,-1.192368,0.939371,2.551550,-1.516188,0.908111,1.999484
10,0.083333,-1.192456,0.939285,2.551730,-1.516247,0.908067,1.999434
11,0.091667,-1.192539,0.939199,2.551897,-1.516293,0.908025,1.999379
12,0.100000,-1.192623,0.939123,2.552064,-1.516329,0.907982,1.999303
13,0.108333,-1.192702,0.939059,2.552235,-1.516357,0.907935,1.999235
14,0.116667,-1.192782,0.938997,2.552394,-1.516381,0.907891,1.999162
15,0.125000,-1.192861,0.938931,2.552541,-1.516390,0.907853,1.999099
16,0.133333,-1.192941,0.938860,2.552694,-1.516393,0.907799,1.999030
17,0.141667,-1.193014,0.938782,2.552826,-1.516402,0.907749,1.998974
18,0.150000,-1.193087,0.938697,2.552933,-1.516422,0.907709,1.998902
19,0.158333,-1.193144,0.938613,2.553026,-1.516447,0.907672,1.998834
20,0.166667,-1.193215,0.938518,2.553113,-1.516466,0.907654,1.998770
21,0.175000,-1.193298,0.938419,2.553195,-1.516475,0.907646,1.998708
22,0.183333,-1.193376,0.938311,2.553263,-1.516486,0.907656,1.998668
23,0.191667,-1.193466,0.938201,2.553336,-1.516498,0.907675,1.998638
24,0.200000,-1.193537,0.938085,2.553378,-1.516501,0.907694,1.998607
