Format Version,1.21,Take Name,AxelJohanAA1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 02.26.15.316 PM,Total Frames in Take,25487,Total Exported Frames,25487,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:289,Unlabeled:289,Unlabeled:289,Unlabeled:291,Unlabeled:291,Unlabeled:291
,,"8392B20CF49E3570121","8392B20CF49E3570121","8392B20CF49E3570121","8392B20CF49E3570123","8392B20CF49E3570123","8392B20CF49E3570123"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-1.521423,0.908036,1.636751,-1.124051,0.936386,2.850348
1,0.008333,-1.521340,0.908274,1.636669,-1.124162,0.936518,2.850358
2,0.016667,-1.521235,0.908533,1.636624,-1.124265,0.936652,2.850365
3,0.025000,-1.521114,0.908793,1.636612,-1.124351,0.936770,2.850365
4,0.033333,-1.520985,0.909047,1.636628,-1.124428,0.936895,2.850374
5,0.041667,-1.520854,0.909293,1.636675,-1.124498,0.937014,2.850389
6,0.050000,-1.520732,0.909525,1.636737,-1.124557,0.937130,2.850415
7,0.058333,-1.520622,0.909734,1.636815,-1.124611,0.937245,2.850449
8,0.066667,-1.520522,0.909916,1.636906,-1.124646,0.937351,2.850495
9,0.075000,-1.520417,0.910081,1.637016,-1.124669,0.937448,2.850562
10,0.083333,-1.520334,0.910218,1.637123,-1.124678,0.937528,2.850636
11,0.091667,-1.520267,0.910319,1.637246,-1.124674,0.937601,2.850728
12,0.100000,-1.520225,0.910399,1.637371,-1.124665,0.937681,2.850840
13,0.108333,-1.520209,0.910450,1.637492,-1.124647,0.937760,2.850957
14,0.116667,-1.520213,0.910479,1.637617,-1.124624,0.937843,2.851090
15,0.125000,-1.520237,0.910479,1.637759,-1.124590,0.937934,2.851231
16,0.133333,-1.520266,0.910459,1.637913,-1.124543,0.938020,2.851381
17,0.141667,-1.520311,0.910425,1.638072,-1.124489,0.938121,2.851543
18,0.150000,-1.520366,0.910383,1.638248,-1.124420,0.938224,2.851710
19,0.158333,-1.520451,0.910338,1.638435,-1.124358,0.938330,2.851894
20,0.166667,-1.520561,0.910286,1.638630,-1.124262,0.938456,2.852097
21,0.175000,-1.520684,0.910233,1.638838,-1.124212,0.938551,2.852298
22,0.183333,-1.520807,0.910159,1.639063,-1.124169,0.938647,2.852500
23,0.191667,-1.520936,0.910071,1.639278,-1.124135,0.938752,2.852708
24,0.200000,-1.521070,0.909961,1.639486,-1.124090,0.938865,2.852908
25,0.208333,-1.521203,0.909828,1.639686,-1.123835,0.939009,2.853124
26,0.216667,-1.521351,0.909682,1.639869,-1.123776,0.939131,2.853328
27,0.225000,-1.521515,0.909534,1.640048,-1.123743,0.939243,2.853530
28,0.233333,-1.521691,0.909389,1.640225,-1.123727,0.939323,2.853725
29,0.241667,-1.521892,0.909252,1.640397,-1.123719,0.939379,2.853912
30,0.250000,-1.522094,0.909108,1.640564,-1.123722,0.939417,2.854079
31,0.258333,-1.522303,0.908958,1.640749,-1.123717,0.939463,2.854239
32,0.266667,-1.522531,0.908797,1.640928,-1.123723,0.939519,2.854382
33,0.275000,-1.522743,0.908626,1.641091,-1.123716,0.939586,2.854525
34,0.283333,-1.522957,0.908457,1.641225,-1.123714,0.939633,2.854674
35,0.291667,-1.523171,0.908293,1.641334,-1.123709,0.939660,2.854832
36,0.300000,-1.523396,0.908126,1.641424,-1.123707,0.939675,2.854995
37,0.308333,-1.523643,0.907959,1.641491,-1.123676,0.939688,2.855154
38,0.316667,-1.523881,0.907795,1.641540,-1.123620,0.939709,2.855310
39,0.325000,-1.524091,0.907655,1.641580,-1.123562,0.939722,2.855436
40,0.333333,-1.524281,0.907532,1.641611,-1.123513,0.939728,2.855539
