Format Version,1.21,Take Name,AxelJohanAB1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 02.36.55.557 PM,Total Frames in Take,21419,Total Exported Frames,21419,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:306,Unlabeled:306,Unlabeled:306,Unlabeled:310,Unlabeled:310,Unlabeled:310
,,"8392B20CF49E3570132","8392B20CF49E3570132","8392B20CF49E3570132","8392B20CF49E3570136","8392B20CF49E3570136","8392B20CF49E3570136"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-1.135296,0.894978,2.889275,-1.463899,0.872544,2.014845
1,0.008333,-1.135325,0.894964,2.889282,-1.463882,0.872551,2.014830
2,0.016667,-1.135357,0.894953,2.889290,-1.463865,0.872558,2.014812
3,0.025000,-1.135381,0.894940,2.889287,-1.463858,0.872547,2.014798
4,0.033333,-1.135408,0.894924,2.889280,-1.463849,0.872544,2.014783
5,0.041667,-1.135433,0.894910,2.889259,-1.463855,0.872539,2.014759
6,0.050000,-1.135464,0.894890,2.889228,-1.463869,0.872542,2.014740
7,0.058333,-1.135507,0.894863,2.889200,-1.463893,0.872544,2.014726
8,0.066667,-1.135556,0.894827,2.889170,-1.463918,0.872552,2.014708
9,0.075000,-1.135590,0.894793,2.889138,-1.463950,0.872554,2.014692
10,0.083333,-1.135618,0.894769,2.889106,-1.463975,0.872551,2.014670
11,0.091667,-1.135636,0.894761,2.889084,-1.464007,0.872544,2.014652
12,0.100000,-1.135660,0.894756,2.889067,-1.464015,0.872540,2.014628
13,0.108333,-1.135678,0.894744,2.889061,-1.464036,0.872544,2.014625
14,0.116667,-1.135708,0.894731,2.889067,-1.464052,0.872548,2.014622
15,0.125000,-1.135727,0.894705,2.889072,-1.464065,0.872553,2.014639
16,0.133333,-1.135746,0.894685,2.889087,-1.464073,0.872553,2.014646
17,0.141667,-1.135748,0.894674,2.889104,-1.464075,0.872547,2.014651
18,0.150000,-1.135753,0.894673,2.889117,-1.464080,0.872539,2.014652
19,0.158333,-1.135758,0.894672,2.889128,-1.464077,0.872540,2.014653
20,0.166667,-1.135780,0.894666,2.889132,-1.464085,0.872538,2.014650
21,0.175000,-1.135807,0.894654,2.889137,-1.464083,0.872547,2.014648
22,0.183333,-1.135853,0.894642,2.889140,-1.464084,0.872555,2.014643
23,0.191667,-1.135895,0.894630,2.889138,-1.464081,0.872559,2.014629
24,0.200000,-1.135919,0.894628,2.889113,-1.464077,0.872556,2.014621
25,0.208333,-1.135932,0.894626,2.889080,-1.464078,0.872547,2.014611
26,0.216667,-1.135942,0.894628,2.889051,-1.464071,0.872539,2.014613
27,0.225000,-1.135948,0.894623,2.889022,-1.464058,0.872542,2.014621
28,0.233333,-1.135955,0.894614,2.889011,-1.464051,0.872553,2.014636
29,0.241667,-1.135955,0.894606,2.889014,-1.464052,0.872566,2.014658
30,0.250000,-1.135946,0.894608,2.889024,-1.464051,0.872563,2.014685
31,0.258333,-1.135922,0.894609,2.889026,-1.464050,0.872563,2.014722
32,0.266667,-1.135891,0.894610,2.889024,-1.464058,0.872556,2.014751
33,0.275000,-1.135866,0.894613,2.889015,-1.464063,0.872550,2.014786
34,0.283333,-1.135836,0.894614,2.888993,-1.464085,0.872553,2.014805
35,0.291667,-1.135821,0.894605,2.888969,-1.464113,0.872561,2.014809
36,0.300000,-1.135811,0.894591,2.888943,-1.464156,0.872564,2.014806
37,0.308333,-1.135802,0.894577,2.888914,-1.464200,0.872567,2.014796
38,0.316667,-1.135793,0.894561,2.888883,-1.464248,0.872560,2.014782
39,0.325000,-1.135775,0.894542,2.888852,-1.464283,0.872550,2.014784
40,0.333333,-1.135768,0.894525,2.888817,-1.464314,0.872548,2.014793
41,0.341667,-1.135767,0.894514,2.888792,-1.464341,0.872556,2.014820
42,0.350000,-1.135773,0.894501,2.888772,-1.464365,0.872562,2.014852
43,0.358333,-1.135781,0.894483,2.888761,-1.464391,0.872567,2.014887
44,0.366667,-1.135789,0.894466,2.888758,-1.464401,0.872568,2.014943
45,0.375000,-1.135788,0.894441,2.888747,-1.464416,0.872557,2.014990
46,0.383333,-1.135788,0.894421,2.888735,-1.464423,0.872550,2.015046
47,0.391667,-1.135785,0.894410,2.888727,-1.464433,0.872542,2.015093
48,0.400000,-1.135783,0.894390,2.888715,-1.464447,0.872543,2.015151
49,0.408333,-1.135791,0.894382,2.888718,-1.464457,0.872549,2.015178
50,0.416667,-1.135801,0.894365,2.888718,-1.464475,0.872550,2.015206
51,0.425000,-1.135797,0.894354,2.888721,-1.464484,0.872548,2.015240
52,0.433333,-1.135792,0.894333,2.888713,-1.464494,0.872538,2.015268
53,0.441667,-1.135787,0.894317,2.888703,-1.464496,0.872527,2.015308
54,0.450000,-1.135776,0.894304,2.888685,-1.464494,0.872534,2.015335
55,0.458333,-1.135767,0.894292,2.888658,-1.464508,0.872536,2.015378
56,0.466667,-1.135753,0.894270,2.888634,-1.464513,0.872548,2.015426
57,0.475000,-1.135741,0.894246,2.888610,-1.464526,0.872548,2.015468
58,0.483333,-1.135720,0.894218,2.888588,-1.464532,0.872546,2.015504
59,0.491667,-1.135693,0.894185,2.888555,-1.464535,0.872538,2.015544
60,0.500000,-1.135664,0.894165,2.888524,-1.464542,0.872526,2.015586
61,0.508333,-1.135628,0.894149,2.888485,-1.464546,0.872525,2.015611
62,0.516667,-1.135588,0.894132,2.888447,-1.464552,0.872531,2.015646
63,0.525000,-1.135557,0.894106,2.888416,-1.464556,0.872529,2.015684
64,0.533333,-1.135521,0.894066,2.888379,-1.464571,0.872532,2.015713
65,0.541667,-1.135487,0.894028,2.888363,-1.464574,0.872531,2.015758
66,0.550000,-1.135439,0.893983,2.888344,-1.464577,0.872517,2.015802
67,0.558333,-1.135382,0.893938,2.888321,-1.464581,0.872503,2.015836
68,0.566667,-1.135319,0.893898,2.888298,-1.464587,0.872505,2.015870
69,0.575000,-1.135248,0.893865,2.888260,-1.464602,0.872513,2.015890
70,0.583333,-1.135185,0.893833,2.888241,-1.464620,0.872522,2.015911
71,0.591667,-1.135137,0.893793,2.888208,-1.464629,0.872523,2.015931
72,0.600000,-1.135101,0.893753,2.888182,-1.464637,0.872516,2.015942
73,0.608333,-1.135073,0.893712,2.888142,-1.464649,0.872508,2.015949
74,0.616667,-1.135040,0.893673,2.888087,-1.464656,0.872500,2.015954
75,0.625000,-1.135006,0.893650,2.888036,-1.464660,0.872495,2.015956
76,0.633333,-1.134980,0.893639,2.887976,-1.464664,0.872497,2.015953
77,0.641667,-1.134955,0.893625,2.887919,-1.464673,0.872510,2.015953
78,0.650000,-1.134941,0.893606,2.887881,-1.464672,0.872521,2.015960
79,0.658333,-1.134934,0.893579,2.887860,-1.464674,0.872513,2.015963
80,0.666667,-1.134932,0.893554,2.887846,-1.464672,0.872501,2.015979
81,0.675000,-1.134928,0.893533,2.887838,-1.464669,0.872496,2.015987
82,0.683333,-1.134926,0.893524,2.887837,-1.464664,0.872494,2.016009
