Format Version,1.21,Take Name,AxelJohanBA1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 02.30.43.766 PM,Total Frames in Take,22932,Total Exported Frames,22932,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:289,Unlabeled:289,Unlabeled:289,Unlabeled:301,Unlabeled:301,Unlabeled:301
,,"8392B20CF49E3570121","8392B20CF49E3570121","8392B20CF49E3570121","8392B20CF49E357012D","8392B20CF49E357012D","8392B20CF49E357012D"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-1.521292,0.896721,1.643965,-1.117426,0.896517,2.546728
1,0.008333,-1.521278,0.896714,1.643995,-1.117465,0.896521,2.546730
2,0.016667,-1.521249,0.896689,1.644060,-1.117499,0.896534,2.546736
3,0.025000,-1.521217,0.896632,1.644141,-1.117535,0.896554,2.546726
4,0.033333,-1.521176,0.896552,1.644254,-1.117580,0.896569,2.546714
5,0.041667,-1.521141,0.896433,1.644388,-1.117633,0.896569,2.546711
6,0.050000,-1.521095,0.896285,1.644550,-1.117691,0.896563,2.546703
7,0.058333,-1.521038,0.896091,1.644742,-1.117749,0.896545,2.546685
8,0.066667,-1.520967,0.895833,1.644981,-1.117802,0.896538,2.546664
9,0.075000,-1.520884,0.895544,1.645232,-1.117841,0.896542,2.546649
10,0.083333,-1.520797,0.895247,1.645488,-1.117857,0.896550,2.546628
11,0.091667,-1.520697,0.894930,1.645801,-1.117878,0.896566,2.546606
12,0.100000,-1.520596,0.894576,1.646155,-1.117894,0.896564,2.546590
13,0.108333,-1.520480,0.894201,1.646495,-1.117915,0.896552,2.546590
14,0.116667,-1.520359,0.893792,1.646866,-1.117938,0.896533,2.546602
15,0.125000,-1.520217,0.893377,1.647231,-1.117942,0.896521,2.546618
16,0.133333,-1.520061,0.892942,1.647597,-1.117927,0.896520,2.546616
17,0.141667,-1.519897,0.892515,1.647969,-1.117900,0.896535,2.546603
18,0.150000,-1.519755,0.892134,1.648331,-1.117869,0.896556,2.546594
19,0.158333,-1.519625,0.891809,1.648677,-1.117841,0.896572,2.546582
20,0.166667,-1.519505,0.891505,1.649012,-1.117818,0.896558,2.546604
21,0.175000,-1.519383,0.891214,1.649334,-1.117810,0.896534,2.546628
22,0.183333,-1.519296,0.890961,1.649600,-1.117792,0.896531,2.546673
23,0.191667,-1.519220,0.890771,1.649803,-1.117772,0.896521,2.546649
24,0.200000,-1.519154,0.890620,1.649962,-1.117731,0.896547,2.546663
25,0.208333,-1.519097,0.890497,1.650089,-1.117697,0.896581,2.546641
26,0.216667,-1.519049,0.890398,1.650187,-1.117676,0.896595,2.546635
27,0.225000,-1.519011,0.890310,1.650257,-1.117674,0.896594,2.546649
28,0.233333,-1.518985,0.890242,1.650289,-1.117681,0.896569,2.546662
29,0.241667,-1.518974,0.890198,1.650265,-1.117688,0.896547,2.546693
30,0.250000,-1.518975,0.890167,1.650193,-1.117688,0.896550,2.546676
31,0.258333,-1.518980,0.890155,1.650081,-1.117686,0.896557,2.546650
32,0.266667,-1.519005,0.890160,1.649914,-1.117664,0.896591,2.546639
33,0.275000,-1.519045,0.890187,1.649704,-1.117658,0.896604,2.546622
34,0.283333,-1.519125,0.890226,1.649436,-1.117673,0.896597,2.546613
35,0.291667,-1.519220,0.890264,1.649156,-1.117697,0.896579,2.546603
36,0.300000,-1.519331,0.890289,1.648860,-1.117729,0.896554,2.546598
37,0.308333,-1.519444,0.890305,1.648561,-1.117757,0.896540,2.546586
38,0.316667,-1.519555,0.890328,1.648226,-1.117762,0.896520,2.546560
39,0.325000,-1.519676,0.890364,1.647841,-1.117743,0.896521,2.546533
40,0.333333,-1.519818,0.890403,1.647440,-1.117727,0.896532,2.546511
41,0.341667,-1.519976,0.890438,1.647050,-1.117715,0.896539,2.546494
42,0.350000,-1.520156,0.890460,1.646635,-1.117719,0.896542,2.546487
43,0.358333,-1.520346,0.890473,1.646191,-1.117736,0.896532,2.546502
44,0.366667,-1.520536,0.890477,1.645757,-1.117756,0.896524,2.546503
45,0.375000,-1.520710,0.890500,1.645324,-1.117759,0.896534,2.546514
46,0.383333,-1.520906,0.890535,1.644881,-1.117766,0.896561,2.546502
47,0.391667,-1.521120,0.890579,1.644458,-1.117774,0.896579,2.546500
48,0.400000,-1.521332,0.890629,1.644026,-1.117806,0.896585,2.546501
49,0.408333,-1.521544,0.890694,1.643592,-1.117842,0.896573,2.546524
50,0.416667,-1.521762,0.890766,1.643177,-1.117888,0.896563,2.546542
51,0.425000,-1.521974,0.890823,1.642787,-1.117935,0.896553,2.546542
52,0.433333,-1.522170,0.890883,1.642411,-1.117962,0.896547,2.546530
53,0.441667,-1.522372,0.890967,1.642033,-1.117976,0.896539,2.546506
54,0.450000,-1.522570,0.891040,1.641689,-1.117981,0.896524,2.546493
55,0.458333,-1.522754,0.891109,1.641379,-1.117984,0.896506,2.546473
56,0.466667,-1.522910,0.891176,1.641093,-1.117991,0.896493,2.546457
57,0.475000,-1.523050,0.891228,1.640838,-1.118004,0.896482,2.546444
58,0.483333,-1.523181,0.891264,1.640616,-1.118018,0.896480,2.546427
59,0.491667,-1.523287,0.891283,1.640426,-1.118016,0.896478,2.546417
60,0.500000,-1.523376,0.891303,1.640270,-1.118012,0.896489,2.546397
61,0.508333,-1.523442,0.891313,1.640165,-1.118012,0.896504,2.546370
62,0.516667,-1.523492,0.891298,1.640110,-1.118016,0.896526,2.546348
63,0.525000,-1.523512,0.891256,1.640110,-1.118039,0.896536,2.546337
64,0.533333,-1.523519,0.891177,1.640158,-1.118070,0.896540,2.546331
65,0.541667,-1.523493,0.891077,1.640247,-1.118112,0.896550,2.546319
66,0.550000,-1.523450,0.890951,1.640365,-1.118147,0.896559,2.546306
67,0.558333,-1.523402,0.890820,1.640503,-1.118190,0.896575,2.546291
68,0.566667,-1.523355,0.890677,1.640660,-1.118227,0.896576,2.546271
69,0.575000,-1.523319,0.890528,1.640838,-1.118278,0.896574,2.546268
70,0.583333,-1.523301,0.890364,1.641019,-1.118333,0.896557,2.546271
71,0.591667,-1.523285,0.890198,1.641196,-1.118396,0.896541,2.546284
72,0.600000,-1.523263,0.890028,1.641384,-1.118457,0.896530,2.546298
73,0.608333,-1.523246,0.889866,1.641574,-1.118505,0.896511,2.546312
74,0.616667,-1.523233,0.889724,1.641743,-1.118549,0.896494,2.546335
75,0.625000,-1.523222,0.889592,1.641918,-1.118573,0.896482,2.546363
76,0.633333,-1.523198,0.889473,1.642092,-1.118598,0.896468,2.546390
77,0.641667,-1.523171,0.889366,1.642262,-1.118617,0.896462,2.546422
78,0.650000,-1.523125,0.889260,1.642436,-1.118633,0.896459,2.546445
79,0.658333,-1.523088,0.889160,1.642597,-1.118647,0.896463,2.546469
80,0.666667,-1.523049,0.889067,1.642742,-1.118650,0.896461,2.546487
81,0.675000,-1.523014,0.889000,1.642859,-1.118655,0.896468,2.546500
82,0.683333,-1.522983,0.888941,1.642949,-1.118657,0.896477,2.546499
83,0.691667,-1.522954,0.888880,1.643023,-1.118652,0.896491,2.546510
84,0.700000,-1.522924,0.888818,1.643077,-1.118661,0.896507,2.546502
85,0.708333,-1.522887,0.888758,1.643125,-1.118659,0.896522,2.546515
86,0.716667,-1.522835,0.888690,1.643169,-1.118661,0.896536,2.546510
87,0.725000,-1.522778,0.888624,1.643214,-1.118656,0.896540,2.546510
88,0.733333,-1.522717,0.888557,1.643259,-1.118669,0.896544,2.546508
89,0.741667,-1.522646,0.888504,1.643298,-1.118672,0.896544,2.546501
90,0.750000,-1.522572,0.888470,1.643324,-1.118677,0.896544,2.546496
91,0.758333,-1.522490,0.888446,1.643343,-1.118682,0.896545,2.546474
92,0.766667,-1.522394,0.888414,1.643358,-1.118673,0.896551,2.546460
93,0.775000,-1.522283,0.888371,1.643379,-1.118666,0.896553,2.546438
94,0.783333,-1.522178,0.888329,1.643397,-1.118649,0.896550,2.546433
95,0.791667,-1.522072,0.888301,1.643403,-1.118637,0.896532,2.546428
96,0.800000,-1.521962,0.888310,1.643391,-1.118625,0.896518,2.546432
97,0.808333,-1.521856,0.888331,1.643356,-1.118601,0.896518,2.546446
98,0.816667,-1.521752,0.888353,1.643318,-1.118574,0.896529,2.546468
