Format Version,1.21,Take Name,AxelJohanBB1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 02.41.04.368 PM,Total Frames in Take,23504,Total Exported Frames,23504,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:306,Unlabeled:306,Unlabeled:306,Unlabeled:314,Unlabeled:314,Unlabeled:314
,,"8392B20CF49E3570132","8392B20CF49E3570132","8392B20CF49E3570132","8392B20CF49E357013A","8392B20CF49E357013A","8392B20CF49E357013A"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-1.134267,0.902012,2.544422,-1.438748,0.872816,1.993921
1,0.008333,-1.134333,0.901972,2.544404,-1.438710,0.872808,1.993857
2,0.016667,-1.134401,0.901949,2.544390,-1.438667,0.872797,1.993800
3,0.025000,-1.134458,0.901946,2.544354,-1.438619,0.872798,1.993759
4,0.033333,-1.134521,0.901944,2.544326,-1.438576,0.872791,1.993732
5,0.041667,-1.134589,0.901928,2.544313,-1.438527,0.872785,1.993719
6,0.050000,-1.134674,0.901898,2.544272,-1.438483,0.872776,1.993708
7,0.058333,-1.134761,0.901883,2.544261,-1.438432,0.872763,1.993717
8,0.066667,-1.134834,0.901869,2.544236,-1.438374,0.872749,1.993747
9,0.075000,-1.134890,0.901861,2.544201,-1.438295,0.872732,1.993786
10,0.083333,-1.134933,0.901852,2.544165,-1.438208,0.872717,1.993822
11,0.091667,-1.134968,0.901832,2.544149,-1.438110,0.872708,1.993875
12,0.100000,-1.135019,0.901810,2.544126,-1.438006,0.872700,1.993925
13,0.108333,-1.135073,0.901778,2.544117,-1.437904,0.872688,1.993987
14,0.116667,-1.135127,0.901742,2.544113,-1.437803,0.872669,1.994055
15,0.125000,-1.135177,0.901715,2.544101,-1.437708,0.872642,1.994126
16,0.133333,-1.135203,0.901708,2.544090,-1.437606,0.872624,1.994199
17,0.141667,-1.135216,0.901698,2.544053,-1.437516,0.872621,1.994266
18,0.150000,-1.135216,0.901692,2.544034,-1.437431,0.872614,1.994333
19,0.158333,-1.135229,0.901676,2.544009,-1.437356,0.872614,1.994403
20,0.166667,-1.135247,0.901643,2.544005,-1.437297,0.872604,1.994471
21,0.175000,-1.135269,0.901613,2.544002,-1.437256,0.872592,1.994526
22,0.183333,-1.135293,0.901586,2.544012,-1.437231,0.872580,1.994575
23,0.191667,-1.135312,0.901570,2.544007,-1.437218,0.872569,1.994613
24,0.200000,-1.135315,0.901572,2.544006,-1.437213,0.872564,1.994655
25,0.208333,-1.135308,0.901579,2.543989,-1.437226,0.872571,1.994694
26,0.216667,-1.135310,0.901583,2.543989,-1.437251,0.872577,1.994737
27,0.225000,-1.135318,0.901579,2.543992,-1.437277,0.872581,1.994772
28,0.233333,-1.135328,0.901564,2.543999,-1.437311,0.872577,1.994802
29,0.241667,-1.135341,0.901562,2.543996,-1.437349,0.872573,1.994816
30,0.250000,-1.135351,0.901557,2.543990,-1.437380,0.872570,1.994812
31,0.258333,-1.135346,0.901559,2.543997,-1.437418,0.872571,1.994796
32,0.266667,-1.135348,0.901568,2.543991,-1.437457,0.872581,1.994773
33,0.275000,-1.135336,0.901578,2.543978,-1.437509,0.872588,1.994746
34,0.283333,-1.135337,0.901584,2.543969,-1.437561,0.872600,1.994721
35,0.291667,-1.135348,0.901594,2.543966,-1.437613,0.872605,1.994703
