Format Version,1.21,Take Name,BengtAnnelieAA1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 12.36.54.540 AM,Total Frames in Take,30044,Total Exported Frames,30044,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:554,Unlabeled:554,Unlabeled:554,Unlabeled:561,Unlabeled:561,Unlabeled:561
,,"8392B20CF49E357022A","8392B20CF49E357022A","8392B20CF49E357022A","8392B20CF49E3570231","8392B20CF49E3570231","8392B20CF49E3570231"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-1.529901,0.977430,1.699831,-1.056174,0.927063,2.899769
1,0.008333,-1.529934,0.977471,1.699776,-1.055954,0.927138,2.899773
2,0.016667,-1.529957,0.977525,1.699737,-1.055761,0.927195,2.899787
3,0.025000,-1.529959,0.977583,1.699718,-1.055611,0.927221,2.899790
4,0.033333,-1.529955,0.977660,1.699717,-1.055515,0.927224,2.899801
5,0.041667,-1.529942,0.977733,1.699741,-1.055468,0.927204,2.899820
6,0.050000,-1.529929,0.977818,1.699772,-1.055438,0.927149,2.899831
7,0.058333,-1.529919,0.977910,1.699798,-1.055403,0.927103,2.899843
8,0.066667,-1.529902,0.978012,1.699832,-1.055364,0.927080,2.899868
9,0.075000,-1.529898,0.978116,1.699888,-1.055291,0.927064,2.899879
10,0.083333,-1.529916,0.978223,1.699965,-1.055205,0.927042,2.899868
11,0.091667,-1.529943,0.978322,1.700073,-1.055101,0.927030,2.899875
12,0.100000,-1.530002,0.978407,1.700195,-1.055025,0.927033,2.899895
13,0.108333,-1.530068,0.978484,1.700318,-1.054991,0.927033,2.899931
14,0.116667,-1.530142,0.978551,1.700435,-1.055002,0.927040,2.899987
15,0.125000,-1.530237,0.978601,1.700538,-1.055027,0.927058,2.900057
16,0.133333,-1.530351,0.978633,1.700624,-1.055069,0.927099,2.900141
17,0.141667,-1.530492,0.978647,1.700692,-1.055149,0.927172,2.900239
18,0.150000,-1.530645,0.978648,1.700756,-1.055234,0.927261,2.900364
19,0.158333,-1.530832,0.978606,1.700825,-1.055321,0.927358,2.900516
20,0.166667,-1.531026,0.978560,1.700867,-1.055394,0.927476,2.900686
21,0.175000,-1.531255,0.978504,1.700874,-1.055439,0.927597,2.900848
22,0.183333,-1.531481,0.978440,1.700833,-1.055462,0.927727,2.900988
23,0.191667,-1.531698,0.978359,1.700740,-1.055467,0.927884,2.901114
24,0.200000,-1.531927,0.978261,1.700604,-1.055479,0.928070,2.901234
25,0.208333,-1.532157,0.978169,1.700472,-1.055499,0.928268,2.901350
26,0.216667,-1.532391,0.978076,1.700301,-1.055562,0.928476,2.901465
27,0.225000,-1.532616,0.977988,1.700129,-1.055667,0.928685,2.901606
28,0.233333,-1.532848,0.977864,1.699943,-1.055817,0.928901,2.901776
29,0.241667,-1.533069,0.977716,1.699759,-1.055990,0.929109,2.901951
30,0.250000,-1.533281,0.977548,1.699564,-1.056181,0.929280,2.902083
31,0.258333,-1.533484,0.977368,1.699380,-1.056396,0.929474,2.902220
32,0.266667,-1.533687,0.977169,1.699208,-1.056607,0.929707,2.902369
33,0.275000,-1.533921,0.976950,1.699039,-1.056804,0.930026,2.902565
34,0.283333,-1.534150,0.976719,1.698857,-1.056983,0.930360,2.902751
35,0.291667,-1.534388,0.976462,1.698655,-1.057123,0.930687,2.902922
36,0.300000,-1.534622,0.976186,1.698438,-1.057241,0.931000,2.903078
37,0.308333,-1.534853,0.975892,1.698195,-1.057342,0.931286,2.903228
38,0.316667,-1.535082,0.975576,1.697971,-1.057426,0.931560,2.903375
39,0.325000,-1.535324,0.975227,1.697780,-1.057490,0.931832,2.903518
40,0.333333,-1.535560,0.974852,1.697598,-1.057521,0.932140,2.903692
41,0.341667,-1.535781,0.974423,1.697437,-1.057524,0.932440,2.903873
42,0.350000,-1.535986,0.973941,1.697302,-1.057521,0.932716,2.904034
43,0.358333,-1.536172,0.973418,1.697201,-1.057528,0.932953,2.904166
44,0.366667,-1.536380,0.972840,1.697139,-1.057540,0.933164,2.904279
45,0.375000,-1.536581,0.972304,1.697044,-1.057566,0.933376,2.904367
46,0.383333,-1.536842,0.971797,1.696932,-1.057608,0.933594,2.904418
47,0.391667,-1.537109,0.971339,1.696746,-1.057636,0.933800,2.904426
48,0.400000,-1.537375,0.970961,1.696524,-1.057663,0.933994,2.904412
49,0.408333,-1.537714,0.970637,1.696291,-1.057668,0.934177,2.904387
50,0.416667,-1.538276,0.970393,1.695922,-1.057669,0.934318,2.904340
51,0.425000,-1.538656,0.970215,1.695709,-1.057662,0.934424,2.904282
52,0.433333,-1.538920,0.970177,1.695498,-1.057666,0.934497,2.904224
53,0.441667,-1.539284,0.970031,1.695235,-1.057680,0.934552,2.904164
54,0.450000,-1.539498,0.969981,1.695008,-1.057723,0.934595,2.904093
55,0.458333,-1.539661,0.969946,1.694829,-1.057781,0.934623,2.904005
56,0.466667,-1.539732,0.969918,1.694610,-1.057847,0.934651,2.903889
57,0.475000,-1.539764,0.969884,1.694351,-1.057923,0.934684,2.903755
58,0.483333,-1.539766,0.969859,1.694049,-1.058025,0.934712,2.903589
59,0.491667,-1.539754,0.969808,1.693749,-1.058149,0.934741,2.903425
60,0.500000,-1.539722,0.969743,1.693462,-1.058295,0.934750,2.903260
61,0.508333,-1.539657,0.969689,1.693173,-1.058463,0.934750,2.903121
62,0.516667,-1.539581,0.969655,1.692841,-1.058620,0.934725,2.902989
63,0.525000,-1.539497,0.969640,1.692452,-1.058750,0.934689,2.902870
64,0.533333,-1.539385,0.969647,1.691971,-1.058835,0.934675,2.902781
65,0.541667,-1.539312,0.969683,1.691499,-1.058909,0.934679,2.902681
66,0.550000,-1.539215,0.969745,1.690979,-1.058981,0.934709,2.902575
67,0.558333,-1.539147,0.969800,1.690432,-1.059045,0.934758,2.902468
68,0.566667,-1.539114,0.969828,1.689878,-1.059118,0.934810,2.902333
69,0.575000,-1.539112,0.969808,1.689348,-1.059228,0.934879,2.902178
70,0.583333,-1.539120,0.969720,1.688748,-1.059362,0.934948,2.902005
71,0.591667,-1.539147,0.969565,1.688103,-1.059505,0.935038,2.901820
72,0.600000,-1.539206,0.969346,1.687459,-1.059640,0.935130,2.901609
73,0.608333,-1.539303,0.969060,1.686746,-1.059778,0.935203,2.901406
74,0.616667,-1.539421,0.968713,1.685949,-1.059912,0.935248,2.901215
75,0.625000,-1.539537,0.968324,1.685091,-1.060038,0.935241,2.901020
76,0.633333,-1.539736,0.967887,1.684136,-1.060157,0.935198,2.900833
77,0.641667,-1.540044,0.967439,1.683196,-1.060256,0.935143,2.900660
78,0.650000,-1.540316,0.967048,1.682225,-1.060326,0.935109,2.900487
79,0.658333,-1.540567,0.966668,1.681299,-1.060377,0.935095,2.900306
80,0.666667,-1.540739,0.966347,1.680407,-1.060427,0.935087,2.900113
81,0.675000,-1.540866,0.966112,1.679471,-1.060482,0.935087,2.899904
82,0.683333,-1.541051,0.965963,1.678537,-1.060552,0.935085,2.899686
83,0.691667,-1.541212,0.965899,1.677683,-1.060655,0.935092,2.899485
84,0.700000,-1.541339,0.965944,1.676855,-1.060769,0.935099,2.899282
85,0.708333,-1.541521,0.965925,1.676014,-1.060885,0.935099,2.899092
86,0.716667,-1.541677,0.966021,1.675221,-1.061015,0.935103,2.898913
87,0.725000,-1.541881,0.966219,1.674343,-1.061150,0.935100,2.898754
88,0.733333,-1.542092,0.966487,1.673523,-1.061318,0.935070,2.898576
89,0.741667,-1.542294,0.966855,1.672633,-1.061452,0.934998,2.898405
90,0.750000,-1.542485,0.967193,1.671721,-1.061641,0.934970,2.898234
91,0.758333,-1.542587,0.967557,1.670805,-1.061785,0.934939,2.898052
92,0.766667,-1.542684,0.967881,1.669914,-1.061877,0.934937,2.897860
93,0.775000,-1.542801,0.968244,1.668965,-1.061942,0.934951,2.897655
94,0.783333,-1.542892,0.968645,1.668066,-1.061986,0.934977,2.897447
95,0.791667,-1.543033,0.969104,1.667144,-1.062027,0.934998,2.897232
96,0.800000,-1.543214,0.969534,1.666346,-1.062062,0.935006,2.897042
97,0.808333,-1.543372,0.969965,1.665570,-1.062084,0.935000,2.896886
98,0.816667,-1.543526,0.970383,1.664826,-1.062108,0.934975,2.896748
99,0.825000,-1.543679,0.970747,1.664152,-1.062107,0.934932,2.896632
100,0.833333,-1.543823,0.971058,1.663487,-1.062079,0.934858,2.896540
101,0.841667,-1.543926,0.971316,1.662911,-1.062042,0.934756,2.896453
102,0.850000,-1.543999,0.971544,1.662386,-1.062024,0.934642,2.896383
103,0.858333,-1.544049,0.971690,1.661941,-1.062018,0.934525,2.896318
104,0.866667,-1.544079,0.971750,1.661571,-1.062002,0.934407,2.896241
105,0.875000,-1.544097,0.971738,1.661293,-1.061981,0.934303,2.896139
106,0.883333,-1.544122,0.971672,1.661068,-1.061920,0.934228,2.896008
107,0.891667,-1.544169,0.971570,1.660887,-1.061847,0.934168,2.895849
108,0.900000,-1.544251,0.971445,1.660742,-1.061770,0.934124,2.895672
109,0.908333,-1.544362,0.971288,1.660606,-1.061686,0.934087,2.895508
110,0.916667,-1.544487,0.971093,1.660488,-1.061598,0.934042,2.895360
111,0.925000,-1.544616,0.970828,1.660381,-1.061537,0.933980,2.895240
112,0.933333,-1.544748,0.970503,1.660287,-1.061486,0.933898,2.895145
113,0.941667,-1.544863,0.970108,1.660191,-1.061466,0.933798,2.895057
114,0.950000,-1.544914,0.969638,1.660093,-1.061459,0.933702,2.894953
115,0.958333,-1.544942,0.969108,1.659987,-1.061459,0.933601,2.894855
116,0.966667,-1.544922,0.968580,1.659897,-1.061443,0.933493,2.894769
117,0.975000,-1.544864,0.968043,1.659791,-1.061432,0.933397,2.894699
118,0.983333,-1.544781,0.967469,1.659685,-1.061408,0.933305,2.894640
119,0.991667,-1.544701,0.966903,1.659590,-1.061378,0.933225,2.894574
120,1.000000,-1.544643,0.966388,1.659498,-1.061345,0.933158,2.894497
121,1.008333,-1.544601,0.965903,1.659408,-1.061322,0.933130,2.894400
122,1.016667,-1.544553,0.965453,1.659323,-1.061295,0.933134,2.894288
123,1.025000,-1.544502,0.965050,1.659290,-1.061254,0.933144,2.894150
124,1.033333,-1.544419,0.964662,1.659302,-1.061204,0.933171,2.894002
125,1.041667,-1.544295,0.964244,1.659364,-1.061181,0.933216,2.893866
126,1.050000,-1.544144,0.963816,1.659454,-1.061177,0.933268,2.893745
127,1.058333,-1.543940,0.963375,1.659610,-1.061207,0.933312,2.893631
128,1.066667,-1.543714,0.962955,1.659791,-1.061263,0.933340,2.893531
129,1.075000,-1.543501,0.962573,1.659973,-1.061330,0.933374,2.893446
130,1.083333,-1.543324,0.962204,1.660164,-1.061379,0.933395,2.893375
131,1.091667,-1.543169,0.961831,1.660358,-1.061407,0.933404,2.893329
132,1.100000,-1.543053,0.961427,1.660540,-1.061441,0.933401,2.893310
133,1.108333,-1.542938,0.960999,1.660711,-1.061468,0.933375,2.893309
134,1.116667,-1.542810,0.960506,1.660895,-1.061478,0.933314,2.893301
135,1.125000,-1.542697,0.959981,1.661095,-1.061490,0.933236,2.893291
136,1.133333,-1.542585,0.959404,1.661316,-1.061480,0.933144,2.893264
137,1.141667,-1.542497,0.958767,1.661503,-1.061453,0.933053,2.893231
138,1.150000,-1.542418,0.958119,1.661672,-1.061411,0.932967,2.893200
139,1.158333,-1.542384,0.957504,1.661745,-1.061369,0.932886,2.893180
140,1.166667,-1.542398,0.956891,1.661738,-1.061327,0.932793,2.893160
141,1.175000,-1.542418,0.956332,1.661615,-1.061316,0.932706,2.893158
142,1.183333,-1.542408,0.955851,1.661409,-1.061135,0.932501,2.892914
143,1.191667,-1.542377,0.955409,1.661143,-1.061138,0.932445,2.892916
144,1.200000,-1.542323,0.955006,1.660818,-1.061132,0.932401,2.892917
145,1.208333,-1.542229,0.954656,1.660461,-1.061106,0.932368,2.892920
146,1.216667,-1.542104,0.954374,1.660110,-1.061055,0.932317,2.892912
147,1.225000,-1.541955,0.954123,1.659706,-1.061026,0.932248,2.892891
148,1.233333,-1.541762,0.953908,1.659298,-1.060994,0.932141,2.892880
149,1.241667,-1.541521,0.953733,1.658925,-1.060957,0.931989,2.892892
150,1.250000,-1.541282,0.953562,1.658587,-1.061079,0.931897,2.893168
151,1.258333,-1.541014,0.953403,1.658300,-1.061037,0.931623,2.893244
152,1.266667,-1.540701,0.953269,1.657973,-1.061012,0.931276,2.893372
153,1.275000,-1.540504,0.953108,1.657807,-1.061001,0.930847,2.893505
154,1.283333,-1.540338,0.952967,1.657694,-1.061046,0.930352,2.893675
155,1.291667,-1.540213,0.952852,1.657634,-1.061137,0.929858,2.893928
156,1.300000,-1.540112,0.952751,1.657616,-1.061195,0.929258,2.894151
157,1.308333,-1.540049,0.952654,1.657634,-1.060898,0.928415,2.894084
158,1.316667,-1.540028,0.952549,1.657655,-1.061258,0.927878,2.894666
159,1.325000,-1.540034,0.952424,1.657635,-1.061236,0.927104,2.895010
160,1.333333,-1.540077,0.952278,1.657541,-1.061210,0.926212,2.895406
161,1.341667,-1.540158,0.952131,1.657360,-1.061168,0.925272,2.895835
162,1.350000,-1.540285,0.951967,1.657080,-1.061105,0.924230,2.896311
163,1.358333,-1.540449,0.951806,1.656693,-1.061081,0.923110,2.896807
164,1.366667,-1.540653,0.951640,1.656236,-1.061097,0.921914,2.897272
165,1.375000,-1.540891,0.951461,1.655716,-1.061160,0.920702,2.897748
166,1.383333,-1.541161,0.951285,1.655202,-1.061224,0.919416,2.898208
167,1.391667,-1.541452,0.951142,1.654716,-1.061349,0.918086,2.898686
168,1.400000,-1.541740,0.951057,1.654259,-1.061479,0.916713,2.899169
169,1.408333,-1.542021,0.951024,1.653868,-1.061603,0.915304,2.899650
170,1.416667,-1.542296,0.951037,1.653479,-1.061707,0.913890,2.900124
171,1.425000,-1.542539,0.951076,1.653156,-1.061742,0.912513,2.900583
172,1.433333,-1.542745,0.951144,1.652884,-1.061708,0.911132,2.900969
173,1.441667,-1.542903,0.951227,1.652678,-1.061671,0.909792,2.901328
174,1.450000,-1.543014,0.951324,1.652512,-1.061637,0.908527,2.901661
175,1.458333,-1.543100,0.951426,1.652370,-1.061605,0.907309,2.901909
176,1.466667,-1.543176,0.951526,1.652245,-1.061592,0.906327,2.902135
177,1.475000,-1.543218,0.951623,1.652115,-1.061504,0.905456,2.902235
178,1.483333,-1.543234,0.951721,1.651978,-1.061386,0.904763,2.902352
179,1.491667,-1.543208,0.951827,1.651840,-1.061222,0.904181,2.902560
180,1.500000,-1.543143,0.951935,1.651705,-1.061057,0.903616,2.902748
181,1.508333,-1.543035,0.952040,1.651595,-1.060979,0.903115,2.902985
182,1.516667,-1.542881,0.952140,1.651520,-1.061022,0.902649,2.903256
183,1.525000,-1.542691,0.952219,1.651507,-1.061080,0.902152,2.903558
184,1.533333,-1.542449,0.952275,1.651567,-1.061200,0.901695,2.903925
185,1.541667,-1.542185,0.952293,1.651687,-1.061304,0.901289,2.904231
186,1.550000,-1.541892,0.952276,1.651859,-1.061386,0.900894,2.904578
187,1.558333,-1.541557,0.952239,1.652086,-1.061437,0.900589,2.904942
188,1.566667,-1.541214,0.952218,1.652322,-1.061462,0.900376,2.905358
189,1.575000,-1.540891,0.952211,1.652567,-1.061439,0.900227,2.905850
190,1.583333,-1.540592,0.952226,1.652797,-1.061404,0.900144,2.906384
191,1.591667,-1.540317,0.952269,1.653013,-1.061306,0.900117,2.907013
192,1.600000,-1.540071,0.952319,1.653228,-1.061143,0.900221,2.907639
193,1.608333,-1.539844,0.952376,1.653438,-1.060945,0.900394,2.908180
194,1.616667,-1.539649,0.952436,1.653621,-1.060658,0.900606,2.908779
195,1.625000,-1.539471,0.952510,1.653795,-1.060406,0.900769,2.909364
196,1.633333,-1.539335,0.952582,1.653938,-1.060152,0.900844,2.909977
197,1.641667,-1.539235,0.952656,1.654078,-1.059895,0.900835,2.910628
198,1.650000,-1.539153,0.952728,1.654223,-1.059823,0.900774,2.911245
199,1.658333,-1.539074,0.952797,1.654367,-1.059902,0.900702,2.911938
200,1.666667,-1.539008,0.952859,1.654519,-1.059964,0.900570,2.912670
201,1.675000,-1.538945,0.952929,1.654666,-1.059943,0.900414,2.913413
202,1.683333,-1.538888,0.952999,1.654810,-1.059730,0.900270,2.914202
203,1.691667,-1.538847,0.953070,1.654944,-1.059366,0.900140,2.914956
204,1.700000,-1.538826,0.953138,1.655061,-1.058783,0.900048,2.915709
205,1.708333,-1.538810,0.953201,1.655177,-1.058046,0.900031,2.916396
206,1.716667,-1.538801,0.953252,1.655281,-1.057146,0.900177,2.916888
207,1.725000,-1.538792,0.953280,1.655381,-1.056228,0.900465,2.917117
208,1.733333,-1.538770,0.953306,1.655484,-1.055473,0.900813,2.917322
209,1.741667,-1.538734,0.953322,1.655574,-1.054661,0.901179,2.917471
210,1.750000,-1.538688,0.953343,1.655672,-1.053754,0.901409,2.917664
211,1.758333,-1.538626,0.953363,1.655773,-1.052797,0.901495,2.917949
212,1.766667,-1.538549,0.953393,1.655879,-1.051778,0.901444,2.918334
213,1.775000,-1.538458,0.953429,1.655990,-1.050817,0.901264,2.918628
214,1.783333,-1.538346,0.953475,1.656105,-1.050060,0.901202,2.918830
215,1.791667,-1.538216,0.953544,1.656224,-1.049626,0.901210,2.918902
216,1.800000,-1.538065,0.953628,1.656357,-1.049300,0.901231,2.918968
217,1.808333,-1.537899,0.953725,1.656497,-1.048831,0.901209,2.919040
218,1.816667,-1.537716,0.953839,1.656639,-1.048356,0.901126,2.919046
219,1.825000,-1.537518,0.953959,1.656800,-1.048098,0.901115,2.918924
220,1.833333,-1.537302,0.954090,1.656951,-1.047968,0.901107,2.918727
221,1.841667,-1.537084,0.954210,1.657115,-1.047939,0.901153,2.918399
222,1.850000,-1.536849,0.954362,1.657288,-1.047969,0.901318,2.917964
223,1.858333,-1.536610,0.954518,1.657473,-1.047870,0.901617,2.917399
224,1.866667,-1.536383,0.954674,1.657681,-1.047693,0.902076,2.916685
225,1.875000,-1.536138,0.954846,1.657920,-1.047560,0.902637,2.915892
226,1.883333,-1.535842,0.955034,1.658191,-1.047602,0.903302,2.915035
227,1.891667,-1.535525,0.955223,1.658483,-1.047749,0.903955,2.914193
228,1.900000,-1.535202,0.955409,1.658811,-1.047939,0.904936,2.913733
229,1.908333,-1.534873,0.955575,1.659202,-1.048111,0.905410,2.913246
230,1.916667,-1.534505,0.955752,1.659668,-1.048330,0.905655,2.912783
231,1.925000,-1.534131,0.955934,1.660185,-1.048631,0.905847,2.912314
232,1.933333,-1.533797,0.956106,1.660680,-1.048867,0.906020,2.911671
233,1.941667,-1.533463,0.956273,1.661196,-1.049071,0.906272,2.910857
234,1.950000,-1.533109,0.956427,1.661735,-1.049123,0.906538,2.910047
235,1.958333,-1.532751,0.956587,1.662318,-1.049184,0.906861,2.909226
236,1.966667,-1.532395,0.956745,1.662933,-1.049237,0.907218,2.908486
237,1.975000,-1.532030,0.956883,1.663549,-1.049424,0.907622,2.907711
238,1.983333,-1.531663,0.956994,1.664187,-1.049608,0.908195,2.906914
239,1.991667,-1.531281,0.957117,1.664899,-1.049920,0.908885,2.906114
240,2.000000,-1.530931,0.957255,1.665555,-1.050936,0.909736,2.904938
241,2.008333,-1.530578,0.957389,1.666165,-1.051801,0.910844,2.903980
242,2.016667,-1.530208,0.957544,1.666769,-1.052815,0.912118,2.902990
243,2.025000,-1.529809,0.957757,1.667361,-1.053934,0.913540,2.901931
244,2.033333,-1.529358,0.958042,1.667923,-1.055271,0.915190,2.900898
245,2.041667,-1.528795,0.958369,1.668567,-1.056802,0.916918,2.899783
246,2.050000,-1.528146,0.958743,1.669303,-1.058447,0.918813,2.898682
247,2.058333,-1.527355,0.959182,1.670228,-1.060237,0.920908,2.897392
248,2.066667,-1.526487,0.959630,1.671255,-1.062119,0.923117,2.895937
249,2.075000,-1.525545,0.960109,1.672517,-1.064112,0.925496,2.894368
250,2.083333,-1.524513,0.960621,1.673860,-1.066351,0.928047,2.892635
251,2.091667,-1.523480,0.961124,1.675333,-1.068951,0.930747,2.890692
252,2.100000,-1.522365,0.961736,1.676999,-1.072012,0.933662,2.888468
253,2.108333,-1.521228,0.962333,1.678676,-1.075481,0.936809,2.885968
254,2.116667,-1.520098,0.962892,1.680410,-1.079316,0.940238,2.883167
255,2.125000,-1.518927,0.963508,1.682288,-1.083436,0.944003,2.880028
256,2.133333,-1.517740,0.964080,1.684264,-1.088074,0.948128,2.876616
257,2.141667,-1.516565,0.964572,1.686297,-1.092693,0.952534,2.872924
258,2.150000,-1.515375,0.965013,1.688415,-1.097324,0.957177,2.868765
259,2.158333,-1.514073,0.965409,1.690717,-1.102338,0.962138,2.864372
260,2.166667,-1.512915,0.965916,1.692773,-1.107495,0.967364,2.859656
261,2.175000,-1.511766,0.966446,1.694887,-1.112843,0.972833,2.854602
262,2.183333,-1.510581,0.967017,1.697110,-1.118448,0.978572,2.849248
263,2.191667,-1.509310,0.967629,1.699462,-1.124279,0.984535,2.843561
264,2.200000,-1.507855,0.968247,1.702101,-1.130337,0.990678,2.837492
265,2.208333,-1.506466,0.968860,1.704761,-1.136694,0.997025,2.831036
266,2.216667,-1.505031,0.969497,1.707629,-1.143272,1.003573,2.824247
267,2.225000,-1.503781,0.970012,1.710857,-1.150027,1.010395,2.817019
268,2.233333,-1.502268,0.970617,1.714088,-1.156970,1.017445,2.809355
269,2.241667,-1.500768,0.971145,1.717574,-1.164143,1.024774,2.801220
270,2.250000,-1.499259,0.971606,1.721347,-1.171471,1.032336,2.792650
271,2.258333,-1.497763,0.971922,1.725417,-1.178963,1.040138,2.783604
272,2.266667,-1.496256,0.972205,1.729810,-1.186759,1.048334,2.774155
273,2.275000,-1.494754,0.972411,1.734428,-1.194366,1.056513,2.764337
274,2.283333,-1.493262,0.972597,1.739364,-1.202001,1.064891,2.754219
275,2.291667,-1.491802,0.972764,1.744582,-1.209463,1.073307,2.743385
276,2.300000,-1.490417,0.972924,1.750099,-1.217034,1.081951,2.732405
277,2.308333,-1.489143,0.973036,1.755921,-1.224557,1.090633,2.721112
278,2.316667,-1.487986,0.973166,1.762039,-1.231987,1.099347,2.709577
279,2.325000,-1.486992,0.973226,1.768410,-1.239368,1.108067,2.697795
280,2.333333,-1.486171,0.973290,1.775213,-1.246665,1.116769,2.685819
281,2.341667,-1.485475,0.973220,1.782158,-1.253845,1.125424,2.673602
282,2.350000,-1.484841,0.973209,1.789484,-1.260875,1.134019,2.661201
283,2.358333,-1.484408,0.973148,1.797140,-1.267722,1.142532,2.648545
284,2.366667,-1.484223,0.973104,1.805030,-1.274337,1.150941,2.635659
285,2.375000,-1.484191,0.973012,1.813092,-1.280691,1.159199,2.622579
286,2.383333,-1.484396,0.972865,1.821451,-1.286734,1.167315,2.609306
287,2.391667,-1.484866,0.972621,1.830041,-1.292477,1.175239,2.595917
288,2.400000,-1.485628,0.972205,1.838747,-1.297852,1.182988,2.582503
289,2.408333,-1.486669,0.971710,1.847551,-1.302835,1.190538,2.569010
