Format Version,1.21,Take Name,BengtAnnelieAA2,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 01.01.46.308 PM,Total Frames in Take,35523,Total Exported Frames,35523,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:581,Unlabeled:581,Unlabeled:581,Unlabeled:585,Unlabeled:585,Unlabeled:585
,,"8392B20CF49E3570245","8392B20CF49E3570245","8392B20CF49E3570245","8392B20CF49E3570249","8392B20CF49E3570249","8392B20CF49E3570249"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-1.497802,0.992022,1.671319,-1.130740,0.940662,2.877005
1,0.008333,-1.497874,0.992000,1.671294,-1.130741,0.940651,2.876963
2,0.016667,-1.497949,0.991994,1.671247,-1.130738,0.940640,2.876915
3,0.025000,-1.498027,0.992006,1.671188,-1.130727,0.940630,2.876866
4,0.033333,-1.498092,0.992036,1.671126,-1.130714,0.940625,2.876822
5,0.041667,-1.498160,0.992080,1.671051,-1.130700,0.940614,2.876775
6,0.050000,-1.498219,0.992144,1.670971,-1.130682,0.940608,2.876731
7,0.058333,-1.498281,0.992225,1.670893,-1.130669,0.940602,2.876688
8,0.066667,-1.498334,0.992323,1.670804,-1.130672,0.940597,2.876638
9,0.075000,-1.498374,0.992425,1.670717,-1.130674,0.940582,2.876585
10,0.083333,-1.498410,0.992529,1.670642,-1.130684,0.940568,2.876542
11,0.091667,-1.498441,0.992627,1.670581,-1.130695,0.940557,2.876503
12,0.100000,-1.498447,0.992696,1.670544,-1.130709,0.940549,2.876475
13,0.108333,-1.498439,0.992742,1.670518,-1.130715,0.940537,2.876446
14,0.116667,-1.498429,0.992776,1.670483,-1.130737,0.940527,2.876424
15,0.125000,-1.498410,0.992794,1.670461,-1.130747,0.940517,2.876393
16,0.133333,-1.498398,0.992791,1.670456,-1.130763,0.940511,2.876372
17,0.141667,-1.498385,0.992764,1.670470,-1.130779,0.940507,2.876357
18,0.150000,-1.498387,0.992710,1.670491,-1.130785,0.940516,2.876353
19,0.158333,-1.498399,0.992626,1.670523,-1.130779,0.940533,2.876354
20,0.166667,-1.498419,0.992517,1.670563,-1.130768,0.940554,2.876361
21,0.175000,-1.498446,0.992384,1.670612,-1.130762,0.940578,2.876370
22,0.183333,-1.498486,0.992216,1.670663,-1.130766,0.940600,2.876383
23,0.191667,-1.498533,0.992044,1.670726,-1.130775,0.940619,2.876399
24,0.200000,-1.498606,0.991886,1.670785,-1.130799,0.940644,2.876420
25,0.208333,-1.498720,0.991767,1.670837,-1.130815,0.940673,2.876436
26,0.216667,-1.498911,0.991700,1.670845,-1.130816,0.940711,2.876455
27,0.225000,-1.499207,0.991699,1.670797,-1.130805,0.940756,2.876476
28,0.233333,-1.499560,0.991725,1.670692,-1.130788,0.940803,2.876504
29,0.241667,-1.499935,0.991747,1.670561,-1.130765,0.940844,2.876536
30,0.250000,-1.500297,0.991756,1.670418,-1.130749,0.940886,2.876580
31,0.258333,-1.500659,0.991714,1.670298,-1.130742,0.940922,2.876630
32,0.266667,-1.501006,0.991614,1.670206,-1.130734,0.940970,2.876681
33,0.275000,-1.501330,0.991464,1.670147,-1.130714,0.941010,2.876723
34,0.283333,-1.501608,0.991302,1.670124,-1.130683,0.941062,2.876764
35,0.291667,-1.501840,0.991131,1.670134,-1.130650,0.941097,2.876795
36,0.300000,-1.502048,0.990961,1.670171,-1.130630,0.941135,2.876827
37,0.308333,-1.502207,0.990801,1.670207,-1.130618,0.941161,2.876864
38,0.316667,-1.502330,0.990656,1.670272,-1.130621,0.941165,2.876897
39,0.325000,-1.502424,0.990548,1.670346,-1.130614,0.941178,2.876931
40,0.333333,-1.502507,0.990471,1.670431,-1.130584,0.941192,2.876955
41,0.341667,-1.502586,0.990439,1.670506,-1.130544,0.941216,2.876972
42,0.350000,-1.502648,0.990440,1.670584,-1.130491,0.941239,2.876982
43,0.358333,-1.502705,0.990477,1.670653,-1.130431,0.941264,2.876992
44,0.366667,-1.502753,0.990539,1.670724,-1.130395,0.941289,2.877004
45,0.375000,-1.502798,0.990615,1.670784,-1.130365,0.941308,2.877016
46,0.383333,-1.502843,0.990699,1.670831,-1.130351,0.941319,2.877023
47,0.391667,-1.502878,0.990791,1.670862,-1.130356,0.941341,2.877027
48,0.400000,-1.502913,0.990889,1.670876,-1.130357,0.941365,2.877019
49,0.408333,-1.502959,0.990995,1.670866,-1.130362,0.941386,2.877001
50,0.416667,-1.503005,0.991108,1.670854,-1.130373,0.941407,2.876985
51,0.425000,-1.503064,0.991221,1.670834,-1.130394,0.941424,2.876963
52,0.433333,-1.503113,0.991336,1.670808,-1.130425,0.941428,2.876941
53,0.441667,-1.503178,0.991452,1.670771,-1.130463,0.941425,2.876924
54,0.450000,-1.503243,0.991565,1.670733,-1.130515,0.941425,2.876908
55,0.458333,-1.503297,0.991664,1.670694,-1.130557,0.941420,2.876889
56,0.466667,-1.503337,0.991757,1.670648,-1.130605,0.941416,2.876873
57,0.475000,-1.503376,0.991832,1.670593,-1.130635,0.941410,2.876862
58,0.483333,-1.503425,0.991898,1.670516,-1.130672,0.941393,2.876849
59,0.491667,-1.503498,0.991956,1.670461,-1.130717,0.941377,2.876850
60,0.500000,-1.503590,0.991998,1.670414,-1.130761,0.941348,2.876845
61,0.508333,-1.503690,0.992032,1.670354,-1.130805,0.941324,2.876846
62,0.516667,-1.503804,0.992050,1.670293,-1.130845,0.941311,2.876839
63,0.525000,-1.503927,0.992062,1.670226,-1.130877,0.941295,2.876835
64,0.533333,-1.504052,0.992060,1.670156,-1.130901,0.941278,2.876824
65,0.541667,-1.504178,0.992044,1.670096,-1.130911,0.941267,2.876820
66,0.550000,-1.504303,0.992007,1.670057,-1.130920,0.941254,2.876819
67,0.558333,-1.504433,0.991962,1.670032,-1.130921,0.941241,2.876830
68,0.566667,-1.504573,0.991912,1.670018,-1.130911,0.941235,2.876842
69,0.575000,-1.504724,0.991864,1.670005,-1.130904,0.941241,2.876851
70,0.583333,-1.504864,0.991831,1.669987,-1.130894,0.941238,2.876851
71,0.591667,-1.504993,0.991814,1.669975,-1.130900,0.941245,2.876856
72,0.600000,-1.505128,0.991808,1.669962,-1.130922,0.941246,2.876863
73,0.608333,-1.505249,0.991812,1.669962,-1.130941,0.941240,2.876866
74,0.616667,-1.505350,0.991820,1.669968,-1.130963,0.941232,2.876874
75,0.625000,-1.505424,0.991817,1.669991,-1.130979,0.941213,2.876885
76,0.633333,-1.505482,0.991812,1.670025,-1.130992,0.941194,2.876888
77,0.641667,-1.505508,0.991806,1.670077,-1.131005,0.941152,2.876888
78,0.650000,-1.505527,0.991812,1.670120,-1.131029,0.941108,2.876889
79,0.658333,-1.505532,0.991820,1.670171,-1.131059,0.941063,2.876882
80,0.666667,-1.505529,0.991827,1.670221,-1.131079,0.941026,2.876878
81,0.675000,-1.505527,0.991829,1.670268,-1.131087,0.940986,2.876869
82,0.683333,-1.505520,0.991831,1.670310,-1.131083,0.940947,2.876860
83,0.691667,-1.505507,0.991836,1.670348,-1.131076,0.940906,2.876856
84,0.700000,-1.505503,0.991852,1.670376,-1.131082,0.940869,2.876848
85,0.708333,-1.505501,0.991874,1.670399,-1.131083,0.940845,2.876832
86,0.716667,-1.505505,0.991910,1.670416,-1.131081,0.940843,2.876817
87,0.725000,-1.505498,0.991947,1.670440,-1.131077,0.940852,2.876802
88,0.733333,-1.505494,0.991982,1.670456,-1.131066,0.940863,2.876786
89,0.741667,-1.505487,0.992006,1.670475,-1.131066,0.940872,2.876779
90,0.750000,-1.505485,0.992033,1.670490,-1.131084,0.940875,2.876771
91,0.758333,-1.505491,0.992067,1.670499,-1.131107,0.940880,2.876770
92,0.766667,-1.505503,0.992103,1.670494,-1.131129,0.940890,2.876777
