Format Version,1.21,Take Name,BengtAnnelieAB1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 12.49.12.620 AM,Total Frames in Take,35546,Total Exported Frames,35546,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:554,Unlabeled:554,Unlabeled:554,Unlabeled:577,Unlabeled:577,Unlabeled:577
,,"8392B20CF49E357022A","8392B20CF49E357022A","8392B20CF49E357022A","8392B20CF49E3570241","8392B20CF49E3570241","8392B20CF49E3570241"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-1.465594,0.920300,1.996418,-1.075872,0.953940,2.899873
1,0.008333,-1.465870,0.920189,1.996529,-1.075755,0.953947,2.899946
2,0.016667,-1.465941,0.920176,1.996588,-1.075622,0.953963,2.900006
3,0.025000,-1.466004,0.920176,1.996640,-1.075467,0.953984,2.900052
4,0.033333,-1.466050,0.920186,1.996703,-1.075306,0.953994,2.900093
5,0.041667,-1.466084,0.920210,1.996764,-1.075152,0.953994,2.900127
6,0.050000,-1.465920,0.920342,1.996769,-1.075003,0.953988,2.900154
7,0.058333,-1.465929,0.920394,1.996829,-1.074849,0.953982,2.900159
8,0.066667,-1.465921,0.920455,1.996884,-1.074672,0.953987,2.900140
9,0.075000,-1.465901,0.920522,1.996936,-1.074480,0.954002,2.900108
10,0.083333,-1.465875,0.920593,1.996990,-1.074297,0.954023,2.900062
11,0.091667,-1.465832,0.920669,1.997047,-1.074132,0.954039,2.900009
12,0.100000,-1.465770,0.920743,1.997107,-1.073992,0.954048,2.899952
13,0.108333,-1.465700,0.920810,1.997171,-1.073886,0.954047,2.899904
14,0.116667,-1.465618,0.920856,1.997232,-1.073821,0.954042,2.899855
15,0.125000,-1.465729,0.920789,1.997326,-1.073778,0.954040,2.899801
16,0.133333,-1.465646,0.920810,1.997346,-1.073766,0.954036,2.899730
17,0.141667,-1.465566,0.920831,1.997342,-1.073783,0.954042,2.899656
18,0.150000,-1.465490,0.920860,1.997322,-1.073823,0.954041,2.899580
19,0.158333,-1.465417,0.920897,1.997280,-1.073891,0.954036,2.899511
20,0.166667,-1.465163,0.921026,1.997171,-1.073984,0.954021,2.899457
21,0.175000,-1.465111,0.921074,1.997106,-1.074090,0.953993,2.899410
22,0.183333,-1.465065,0.921120,1.997054,-1.074217,0.953957,2.899369
23,0.191667,-1.465029,0.921157,1.997013,-1.074344,0.953922,2.899343
24,0.200000,-1.464996,0.921190,1.996986,-1.074462,0.953894,2.899324
25,0.208333,-1.464970,0.921221,1.996960,-1.074586,0.953882,2.899313
26,0.216667,-1.464950,0.921246,1.996941,-1.074698,0.953882,2.899314
27,0.225000,-1.464950,0.921269,1.996906,-1.074816,0.953901,2.899330
28,0.233333,-1.464956,0.921292,1.996854,-1.074923,0.953927,2.899353
29,0.241667,-1.464959,0.921315,1.996803,-1.075019,0.953963,2.899397
30,0.250000,-1.464977,0.921334,1.996752,-1.075116,0.954012,2.899450
31,0.258333,-1.465007,0.921344,1.996701,-1.075188,0.954070,2.899504
