Format Version,1.21,Take Name,BengtAnnelieBA1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 12.42.55.331 AM,Total Frames in Take,36475,Total Exported Frames,36475,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:554,Unlabeled:554,Unlabeled:554,Unlabeled:561,Unlabeled:561,Unlabeled:561,Unlabeled:562,Unlabeled:562,Unlabeled:562,Unlabeled:552,Unlabeled:552,Unlabeled:552,Unlabeled:555,Unlabeled:555,Unlabeled:555
,,"8392B20CF49E357022A","8392B20CF49E357022A","8392B20CF49E357022A","8392B20CF49E3570231","8392B20CF49E3570231","8392B20CF49E3570231","8392B20CF49E3570232","8392B20CF49E3570232","8392B20CF49E3570232","8392B20CF49E3570228","8392B20CF49E3570228","8392B20CF49E3570228","8392B20CF49E357022B","8392B20CF49E357022B","8392B20CF49E357022B"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-1.750829,0.914826,2.068170,-1.094257,0.929764,2.594446,,,,,,,,,
1,0.008333,-1.751812,0.914658,2.068461,-1.094169,0.929753,2.594471,,,,,,,,,
2,0.016667,-1.752931,0.914420,2.068773,-1.094074,0.929761,2.594507,,,,,,,,,
3,0.025000,-1.754048,0.914138,2.069041,-1.094004,0.929772,2.594511,,,,,,,,,
4,0.033333,-1.755267,0.913821,2.069282,-1.093956,0.929799,2.594496,,,,,,,,,
5,0.041667,-1.756485,0.913436,2.069533,-1.093910,0.929839,2.594477,,,,,,,,,
6,0.050000,-1.757745,0.913030,2.069704,-1.093868,0.929888,2.594470,,,,,,,,,
7,0.058333,-1.759081,0.912606,2.069861,-1.093807,0.929937,2.594488,,,,,,,,,
8,0.066667,-1.760464,0.912165,2.070006,-1.093737,0.929982,2.594491,,,,,,,,,
9,0.075000,-1.761943,0.911657,2.070118,-1.093660,0.930040,2.594481,,,,,,,,,
10,0.083333,-1.763465,0.911145,2.070259,-1.093585,0.930102,2.594450,,,,,,,,,
11,0.091667,-1.764969,0.910586,2.070337,-1.093504,0.930169,2.594421,,,,,,,,,
12,0.100000,-1.766518,0.909963,2.070395,-1.093433,0.930228,2.594389,,,,,,,,,
13,0.108333,-1.768052,0.909346,2.070462,-1.093359,0.930271,2.594360,,,,,,,,,
14,0.116667,-1.769648,0.908733,2.070523,-1.093290,0.930299,2.594344,,,,,,,,,
15,0.125000,-1.771301,0.908122,2.070562,-1.093234,0.930303,2.594334,,,,,,,,,
16,0.133333,-1.772942,0.907507,2.070612,-1.093187,0.930291,2.594321,,,,,,,,,
17,0.141667,-1.774569,0.906897,2.070623,-1.093125,0.930287,2.594300,,,,,,,,,
18,0.150000,-1.776198,0.906320,2.070671,-1.093056,0.930306,2.594277,,,,,,,,,
19,0.158333,-1.777815,0.905735,2.070679,-1.092959,0.930342,2.594251,,,,,,,,,
20,0.166667,-1.779403,0.905188,2.070691,-1.092844,0.930398,2.594246,,,,,,,,,
21,0.175000,-1.780947,0.904650,2.070683,-1.092746,0.930453,2.594243,,,,,,,,,
22,0.183333,-1.782537,0.904150,2.070739,-1.092673,0.930504,2.594238,,,,,,,,,
