Format Version,1.21,Take Name,BengtAnnelieBB1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 12.55.15.636 AM,Total Frames in Take,37598,Total Exported Frames,37598,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:581,Unlabeled:581,Unlabeled:581,Unlabeled:585,Unlabeled:585,Unlabeled:585
,,"8392B20CF49E3570245","8392B20CF49E3570245","8392B20CF49E3570245","8392B20CF49E3570249","8392B20CF49E3570249","8392B20CF49E3570249"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-1.592233,0.897569,2.150853,-1.136920,0.907834,2.562850
1,0.008333,-1.592184,0.897527,2.150779,-1.136928,0.907834,2.562859
2,0.016667,-1.592135,0.897491,2.150712,-1.136944,0.907839,2.562877
3,0.025000,-1.592079,0.897461,2.150654,-1.136967,0.907847,2.562895
4,0.033333,-1.592015,0.897446,2.150594,-1.136975,0.907854,2.562917
5,0.041667,-1.591941,0.897435,2.150535,-1.136992,0.907865,2.562935
6,0.050000,-1.591859,0.897441,2.150502,-1.137006,0.907873,2.562943
7,0.058333,-1.591773,0.897445,2.150476,-1.137023,0.907874,2.562945
8,0.066667,-1.591710,0.897447,2.150477,-1.137047,0.907878,2.562949
9,0.075000,-1.591658,0.897454,2.150507,-1.137064,0.907875,2.562954
10,0.083333,-1.591622,0.897456,2.150556,-1.137087,0.907877,2.562955
11,0.091667,-1.591591,0.897460,2.150637,-1.137096,0.907873,2.562963
12,0.100000,-1.591574,0.897468,2.150739,-1.137115,0.907870,2.562967
13,0.108333,-1.591555,0.897476,2.150853,-1.137130,0.907866,2.562949
14,0.116667,-1.591542,0.897484,2.150990,-1.137156,0.907863,2.562936
15,0.125000,-1.591532,0.897503,2.151135,-1.137194,0.907855,2.562908
16,0.133333,-1.591534,0.897517,2.151306,-1.137240,0.907840,2.562870
17,0.141667,-1.591505,0.897543,2.151474,-1.137291,0.907828,2.562839
18,0.150000,-1.591485,0.897584,2.151660,-1.137339,0.907819,2.562797
19,0.158333,-1.591448,0.897631,2.151840,-1.137384,0.907811,2.562764
20,0.166667,-1.591403,0.897685,2.152017,-1.137422,0.907808,2.562743
21,0.175000,-1.591376,0.897755,2.152215,-1.137448,0.907810,2.562727
22,0.183333,-1.591336,0.897826,2.152409,-1.137465,0.907814,2.562718
23,0.191667,-1.591290,0.897894,2.152587,-1.137481,0.907822,2.562727
24,0.200000,-1.591238,0.897969,2.152771,-1.137496,0.907828,2.562737
25,0.208333,-1.591173,0.898045,2.152954,-1.137489,0.907830,2.562755
26,0.216667,-1.591095,0.898128,2.153136,-1.137485,0.907835,2.562779
27,0.225000,-1.591016,0.898205,2.153312,-1.137474,0.907842,2.562791
28,0.233333,-1.590937,0.898288,2.153481,-1.137462,0.907846,2.562810
29,0.241667,-1.590854,0.898364,2.153640,-1.137455,0.907836,2.562817
30,0.250000,-1.590774,0.898445,2.153799,-1.137460,0.907827,2.562815
31,0.258333,-1.590679,0.898531,2.153941,-1.137464,0.907818,2.562800
32,0.266667,-1.590576,0.898612,2.154074,-1.137480,0.907812,2.562770
33,0.275000,-1.590473,0.898690,2.154192,-1.137501,0.907797,2.562725
34,0.283333,-1.590366,0.898758,2.154300,-1.137535,0.907795,2.562677
35,0.291667,-1.590267,0.898820,2.154397,-1.137561,0.907782,2.562629
36,0.300000,-1.590168,0.898880,2.154485,-1.137603,0.907763,2.562595
37,0.308333,-1.590067,0.898938,2.154564,-1.137633,0.907743,2.562559
38,0.316667,-1.589960,0.898997,2.154615,-1.137660,0.907733,2.562521
39,0.325000,-1.589844,0.899046,2.154656,-1.137679,0.907726,2.562469
40,0.333333,-1.589724,0.899094,2.154669,-1.137690,0.907720,2.562425
41,0.341667,-1.589616,0.899131,2.154667,-1.137702,0.907705,2.562390
42,0.350000,-1.589517,0.899161,2.154664,-1.137708,0.907690,2.562363
43,0.358333,-1.589436,0.899192,2.154655,-1.137724,0.907671,2.562369
44,0.366667,-1.589359,0.899226,2.154635,-1.137741,0.907661,2.562377
45,0.375000,-1.589269,0.899264,2.154596,-1.137750,0.907654,2.562392
46,0.383333,-1.589159,0.899314,2.154542,-1.137755,0.907664,2.562396
47,0.391667,-1.589040,0.899360,2.154465,-1.137774,0.907674,2.562401
48,0.400000,-1.588927,0.899404,2.154378,-1.137793,0.907681,2.562388
49,0.408333,-1.588822,0.899434,2.154290,-1.137832,0.907675,2.562382
50,0.416667,-1.588732,0.899465,2.154206,-1.137879,0.907654,2.562381
51,0.425000,-1.588640,0.899488,2.154120,-1.137924,0.907631,2.562384
52,0.433333,-1.588538,0.899508,2.154023,-1.137972,0.907614,2.562367
53,0.441667,-1.588407,0.899518,2.153898,-1.138005,0.907594,2.562350
54,0.450000,-1.588277,0.899521,2.153776,-1.138024,0.907580,2.562325
55,0.458333,-1.588148,0.899536,2.153656,-1.138035,0.907566,2.562310
56,0.466667,-1.588030,0.899533,2.153546,-1.138057,0.907551,2.562296
57,0.475000,-1.587932,0.899529,2.153451,-1.138077,0.907531,2.562311
58,0.483333,-1.587845,0.899527,2.153377,-1.138106,0.907512,2.562332
59,0.491667,-1.587741,0.899533,2.153297,-1.138121,0.907497,2.562343
60,0.500000,-1.587632,0.899541,2.153218,-1.138143,0.907494,2.562357
61,0.508333,-1.587499,0.899559,2.153132,-1.138143,0.907500,2.562360
62,0.516667,-1.587363,0.899582,2.153049,-1.138142,0.907506,2.562363
63,0.525000,-1.587237,0.899602,2.152965,-1.138148,0.907502,2.562361
64,0.533333,-1.587124,0.899616,2.152895,-1.138161,0.907494,2.562370
65,0.541667,-1.587022,0.899626,2.152835,-1.138192,0.907480,2.562391
66,0.550000,-1.586917,0.899638,2.152764,-1.138231,0.907466,2.562391
67,0.558333,-1.586798,0.899649,2.152683,-1.138267,0.907458,2.562366
68,0.566667,-1.586660,0.899663,2.152596,-1.138292,0.907450,2.562322
69,0.575000,-1.586519,0.899685,2.152501,-1.138312,0.907447,2.562287
70,0.583333,-1.586397,0.899713,2.152421,-1.138318,0.907440,2.562253
71,0.591667,-1.586285,0.899740,2.152339,-1.138336,0.907419,2.562238
72,0.600000,-1.586194,0.899786,2.152275,-1.138356,0.907396,2.562216
73,0.608333,-1.586094,0.899835,2.152202,-1.138368,0.907380,2.562239
74,0.616667,-1.585981,0.899906,2.152114,-1.138378,0.907367,2.562247
75,0.625000,-1.585848,0.899987,2.152023,-1.138365,0.907369,2.562245
76,0.633333,-1.585714,0.900075,2.151924,-1.138342,0.907373,2.562229
77,0.641667,-1.585585,0.900166,2.151834,-1.138322,0.907376,2.562213
78,0.650000,-1.585486,0.900251,2.151768,-1.138312,0.907376,2.562208
79,0.658333,-1.585409,0.900315,2.151725,-1.138317,0.907369,2.562207
80,0.666667,-1.585331,0.900380,2.151680,-1.138319,0.907364,2.562205
81,0.675000,-1.585230,0.900447,2.151622,-1.138324,0.907358,2.562191
82,0.683333,-1.585081,0.900524,2.151539,-1.138316,0.907360,2.562177
83,0.691667,-1.584904,0.900610,2.151427,-1.138307,0.907371,2.562141
84,0.700000,-1.584682,0.900722,2.151283,-1.138286,0.907381,2.562119
85,0.708333,-1.584421,0.900843,2.151116,-1.138288,0.907387,2.562109
86,0.716667,-1.584125,0.900963,2.150919,-1.138287,0.907388,2.562104
87,0.725000,-1.583812,0.901079,2.150705,-1.138292,0.907374,2.562092
88,0.733333,-1.583483,0.901177,2.150485,-1.138294,0.907371,2.562093
89,0.741667,-1.583125,0.901262,2.150232,-1.138291,0.907364,2.562088
90,0.750000,-1.582763,0.901338,2.149967,-1.138281,0.907367,2.562078
91,0.758333,-1.582427,0.901410,2.149730,-1.138270,0.907383,2.562078
92,0.766667,-1.582118,0.901474,2.149500,-1.138269,0.907391,2.562068
