Format Version,1.21,Take Name,DanielElonAA2,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 03.24.51.539 PM,Total Frames in Take,24030,Total Exported Frames,24030,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:546,Unlabeled:546,Unlabeled:546,Unlabeled:547,Unlabeled:547,Unlabeled:547
,,"8392B20CF49E3570222","8392B20CF49E3570222","8392B20CF49E3570222","8392B20CF49E3570223","8392B20CF49E3570223","8392B20CF49E3570223"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-1.527643,0.894286,1.642671,-1.140442,0.890241,2.905239
1,0.008333,-1.527514,0.894313,1.642779,-1.140489,0.890207,2.905183
2,0.016667,-1.527435,0.894331,1.642877,-1.140552,0.890170,2.905139
3,0.025000,-1.527381,0.894320,1.642977,-1.140623,0.890115,2.905108
4,0.033333,-1.527352,0.894297,1.643064,-1.140685,0.890062,2.905083
5,0.041667,-1.527342,0.894268,1.643144,-1.140734,0.890017,2.905056
6,0.050000,-1.527353,0.894247,1.643196,-1.140756,0.889986,2.905017
7,0.058333,-1.527373,0.894232,1.643243,-1.140776,0.889960,2.904974
8,0.066667,-1.527397,0.894221,1.643276,-1.140819,0.889950,2.904952
9,0.075000,-1.527422,0.894213,1.643316,-1.140874,0.889932,2.904933
10,0.083333,-1.527434,0.894204,1.643348,-1.140933,0.889907,2.904925
11,0.091667,-1.527447,0.894186,1.643368,-1.140975,0.889893,2.904928
12,0.100000,-1.527442,0.894168,1.643383,-1.140983,0.889899,2.904939
13,0.108333,-1.527437,0.894160,1.643377,-1.140968,0.889917,2.904941
14,0.116667,-1.527441,0.894159,1.643353,-1.140946,0.889951,2.904950
15,0.125000,-1.527457,0.894165,1.643319,-1.140919,0.889975,2.904964
16,0.133333,-1.527478,0.894164,1.643283,-1.140905,0.889999,2.904993
17,0.141667,-1.527503,0.894157,1.643247,-1.140886,0.890017,2.905022
18,0.150000,-1.527520,0.894139,1.643219,-1.140867,0.890033,2.905054
19,0.158333,-1.527535,0.894110,1.643195,-1.140840,0.890036,2.905066
20,0.166667,-1.527543,0.894089,1.643178,-1.140807,0.890050,2.905060
21,0.175000,-1.527555,0.894076,1.643160,-1.140771,0.890063,2.905044
22,0.183333,-1.527562,0.894076,1.643150,-1.140739,0.890080,2.905026
23,0.191667,-1.527575,0.894079,1.643149,-1.140727,0.890101,2.905027
24,0.200000,-1.527577,0.894080,1.643155,-1.140730,0.890107,2.905025
25,0.208333,-1.527574,0.894065,1.643164,-1.140739,0.890102,2.905034
26,0.216667,-1.527565,0.894045,1.643173,-1.140743,0.890089,2.905037
27,0.225000,-1.527555,0.894031,1.643173,-1.140745,0.890075,2.905025
28,0.233333,-1.527551,0.894025,1.643174,-1.140755,0.890077,2.905012
29,0.241667,-1.527551,0.894027,1.643177,-1.140766,0.890083,2.904995
30,0.250000,-1.527542,0.894026,1.643198,-1.140786,0.890085,2.904986
31,0.258333,-1.527538,0.894018,1.643221,-1.140809,0.890070,2.904974
32,0.266667,-1.527526,0.894006,1.643257,-1.140839,0.890040,2.904958
33,0.275000,-1.527508,0.893997,1.643290,-1.140862,0.890009,2.904938
34,0.283333,-1.527491,0.893995,1.643314,-1.140882,0.889984,2.904914
35,0.291667,-1.527492,0.894000,1.643317,-1.140889,0.889983,2.904882
36,0.300000,-1.527505,0.894008,1.643307,-1.140895,0.889990,2.904849
37,0.308333,-1.527527,0.894019,1.643283,-1.140906,0.889998,2.904828
38,0.316667,-1.527549,0.894020,1.643246,-1.140928,0.889997,2.904801
39,0.325000,-1.527561,0.894014,1.643211,-1.140961,0.889982,2.904776
40,0.333333,-1.527572,0.893999,1.643168,-1.140981,0.889964,2.904742
41,0.341667,-1.527590,0.893980,1.643118,-1.140991,0.889952,2.904716
42,0.350000,-1.527610,0.893971,1.643066,-1.140998,0.889964,2.904701
43,0.358333,-1.527635,0.893978,1.643002,-1.140993,0.889979,2.904682
44,0.366667,-1.527664,0.893977,1.642949,-1.140983,0.889995,2.904669
45,0.375000,-1.527688,0.893974,1.642908,-1.140972,0.889996,2.904665
46,0.383333,-1.527716,0.893961,1.642873,-1.140965,0.889984,2.904658
47,0.391667,-1.527733,0.893941,1.642846,-1.140960,0.889964,2.904648
48,0.400000,-1.527739,0.893931,1.642825,-1.140952,0.889943,2.904634
49,0.408333,-1.527739,0.893925,1.642813,-1.140944,0.889939,2.904619
50,0.416667,-1.527732,0.893930,1.642804,-1.140937,0.889939,2.904593
51,0.425000,-1.527722,0.893935,1.642807,-1.140937,0.889932,2.904565
52,0.433333,-1.527701,0.893941,1.642817,-1.140943,0.889922,2.904548
53,0.441667,-1.527681,0.893933,1.642839,-1.140961,0.889910,2.904530
54,0.450000,-1.527662,0.893923,1.642858,-1.140965,0.889890,2.904512
55,0.458333,-1.527649,0.893909,1.642880,-1.140979,0.889878,2.904495
56,0.466667,-1.527649,0.893903,1.642889,-1.141000,0.889871,2.904486
57,0.475000,-1.527649,0.893899,1.642904,-1.141020,0.889870,2.904479
58,0.483333,-1.527649,0.893905,1.642904,-1.141037,0.889869,2.904472
59,0.491667,-1.527646,0.893910,1.642910,-1.141051,0.889867,2.904471
60,0.500000,-1.527642,0.893904,1.642912,-1.141064,0.889864,2.904461
61,0.508333,-1.527632,0.893894,1.642915,-1.141077,0.889867,2.904464
62,0.516667,-1.527620,0.893889,1.642908,-1.141101,0.889873,2.904459
63,0.525000,-1.527602,0.893896,1.642902,-1.141121,0.889879,2.904458
64,0.533333,-1.527581,0.893910,1.642886,-1.141145,0.889874,2.904457
65,0.541667,-1.527557,0.893922,1.642883,-1.141163,0.889869,2.904462
66,0.550000,-1.527540,0.893934,1.642873,-1.141175,0.889863,2.904472
67,0.558333,-1.527524,0.893937,1.642872,-1.141180,0.889858,2.904485
68,0.566667,-1.527506,0.893941,1.642871,-1.141178,0.889864,2.904498
69,0.575000,-1.527496,0.893938,1.642866,-1.141174,0.889873,2.904510
70,0.583333,-1.527494,0.893941,1.642868,-1.141171,0.889884,2.904541
71,0.591667,-1.527500,0.893942,1.642873,-1.141174,0.889889,2.904577
72,0.600000,-1.527502,0.893944,1.642877,-1.141176,0.889894,2.904616
73,0.608333,-1.527510,0.893940,1.642892,-1.141177,0.889888,2.904648
74,0.616667,-1.527509,0.893934,1.642919,-1.141175,0.889886,2.904670
75,0.625000,-1.527508,0.893929,1.642958,-1.141174,0.889898,2.904692
76,0.633333,-1.527500,0.893929,1.642987,-1.141169,0.889899,2.904706
77,0.641667,-1.527490,0.893935,1.643015,-1.141168,0.889903,2.904723
78,0.650000,-1.527474,0.893939,1.643051,-1.141170,0.889903,2.904748
79,0.658333,-1.527465,0.893946,1.643082,-1.141173,0.889899,2.904772
80,0.666667,-1.527457,0.893956,1.643113,-1.141166,0.889900,2.904802
81,0.675000,-1.527452,0.893960,1.643135,-1.141157,0.889913,2.904829
82,0.683333,-1.527443,0.893962,1.643160,-1.141141,0.889927,2.904853
83,0.691667,-1.527444,0.893967,1.643169,-1.141132,0.889943,2.904882
84,0.700000,-1.527444,0.893974,1.643184,-1.141125,0.889945,2.904901
85,0.708333,-1.527444,0.893977,1.643208,-1.141127,0.889940,2.904923
86,0.716667,-1.527435,0.893981,1.643237,-1.141143,0.889930,2.904940
87,0.725000,-1.527420,0.893984,1.643267,-1.141156,0.889928,2.904963
88,0.733333,-1.527409,0.893984,1.643294,-1.141161,0.889929,2.904964
89,0.741667,-1.527400,0.893983,1.643312,-1.141171,0.889923,2.904963
90,0.750000,-1.527398,0.893986,1.643325,-1.141185,0.889921,2.904960
91,0.758333,-1.527397,0.893989,1.643329,-1.141204,0.889904,2.904961
92,0.766667,-1.527399,0.893988,1.643336,-1.141221,0.889891,2.904965
93,0.775000,-1.527406,0.893985,1.643338,-1.141239,0.889878,2.904973
94,0.783333,-1.527412,0.893986,1.643341,-1.141250,0.889876,2.904983
95,0.791667,-1.527419,0.893979,1.643334,-1.141248,0.889884,2.904985
96,0.800000,-1.527418,0.893973,1.643337,-1.141242,0.889890,2.904985
97,0.808333,-1.527427,0.893969,1.643338,-1.141242,0.889891,2.904977
98,0.816667,-1.527431,0.893963,1.643337,-1.141248,0.889883,2.904966
99,0.825000,-1.527444,0.893965,1.643335,-1.141261,0.889875,2.904956
100,0.833333,-1.527448,0.893965,1.643349,-1.141274,0.889858,2.904951
101,0.841667,-1.527440,0.893961,1.643366,-1.141280,0.889853,2.904942
102,0.850000,-1.527427,0.893958,1.643388,-1.141277,0.889856,2.904937
103,0.858333,-1.527410,0.893958,1.643408,-1.141266,0.889868,2.904932
104,0.866667,-1.527386,0.893963,1.643434,-1.141258,0.889881,2.904935
105,0.875000,-1.527362,0.893974,1.643472,-1.141252,0.889894,2.904946
106,0.883333,-1.527326,0.893980,1.643509,-1.141254,0.889918,2.904971
107,0.891667,-1.527292,0.893985,1.643553,-1.141263,0.889928,2.904995
108,0.900000,-1.527268,0.893995,1.643585,-1.141271,0.889939,2.905019
109,0.908333,-1.527239,0.893995,1.643616,-1.141261,0.889965,2.905034
110,0.916667,-1.527209,0.893996,1.643655,-1.141246,0.889983,2.905037
