Format Version,1.21,Take Name,DanielElonAB1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 03.18.00.925 PM,Total Frames in Take,20512,Total Exported Frames,20512,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:537,Unlabeled:537,Unlabeled:537,Unlabeled:538,Unlabeled:538,Unlabeled:538
,,"8392B20CF49E3570219","8392B20CF49E3570219","8392B20CF49E3570219","8392B20CF49E357021A","8392B20CF49E357021A","8392B20CF49E357021A"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-1.458290,0.888570,2.014739,-1.116130,0.890965,2.887744
1,0.008333,-1.458277,0.888611,2.014709,-1.116112,0.890966,2.887730
2,0.016667,-1.458252,0.888652,2.014682,-1.116088,0.890978,2.887725
3,0.025000,-1.458219,0.888691,2.014660,-1.116058,0.890998,2.887717
4,0.033333,-1.458192,0.888723,2.014628,-1.116029,0.891023,2.887716
5,0.041667,-1.458169,0.888757,2.014586,-1.116003,0.891058,2.887724
6,0.050000,-1.458144,0.888783,2.014534,-1.115981,0.891077,2.887731
7,0.058333,-1.458130,0.888806,2.014490,-1.115971,0.891094,2.887741
8,0.066667,-1.458112,0.888821,2.014456,-1.115968,0.891089,2.887745
9,0.075000,-1.458091,0.888824,2.014411,-1.115966,0.891095,2.887752
10,0.083333,-1.458059,0.888830,2.014363,-1.115954,0.891108,2.887750
11,0.091667,-1.458029,0.888829,2.014308,-1.115946,0.891126,2.887748
12,0.100000,-1.458014,0.888830,2.014261,-1.115939,0.891150,2.887752
13,0.108333,-1.458007,0.888828,2.014218,-1.115934,0.891171,2.887763
14,0.116667,-1.458011,0.888816,2.014173,-1.115945,0.891179,2.887777
15,0.125000,-1.458024,0.888788,2.014128,-1.115944,0.891185,2.887799
16,0.133333,-1.458028,0.888747,2.014092,-1.115943,0.891199,2.887816
17,0.141667,-1.458039,0.888707,2.014045,-1.115940,0.891208,2.887818
18,0.150000,-1.458057,0.888674,2.014004,-1.115926,0.891230,2.887819
19,0.158333,-1.458088,0.888636,2.013966,-1.115926,0.891246,2.887811
20,0.166667,-1.458140,0.888598,2.013937,-1.115924,0.891255,2.887810
21,0.175000,-1.458191,0.888549,2.013906,-1.115935,0.891243,2.887806
22,0.183333,-1.458239,0.888489,2.013908,-1.115955,0.891218,2.887808
23,0.191667,-1.458297,0.888436,2.013931,-1.115976,0.891192,2.887802
24,0.200000,-1.458352,0.888383,2.013948,-1.115998,0.891173,2.887791
25,0.208333,-1.458398,0.888339,2.013946,-1.116008,0.891167,2.887782
26,0.216667,-1.458450,0.888306,2.013936,-1.116022,0.891159,2.887774
27,0.225000,-1.458503,0.888295,2.013891,-1.116037,0.891151,2.887779
28,0.233333,-1.458533,0.888294,2.013831,-1.116056,0.891145,2.887793
29,0.241667,-1.458571,0.888291,2.013811,-1.116078,0.891128,2.887809
30,0.250000,-1.458609,0.888276,2.013802,-1.116093,0.891123,2.887829
31,0.258333,-1.458642,0.888271,2.013768,-1.116096,0.891119,2.887841
32,0.266667,-1.458673,0.888261,2.013723,-1.116100,0.891122,2.887854
33,0.275000,-1.458708,0.888252,2.013677,-1.116104,0.891128,2.887862
34,0.283333,-1.458762,0.888240,2.013656,-1.116114,0.891122,2.887878
35,0.291667,-1.458822,0.888216,2.013635,-1.116136,0.891108,2.887893
36,0.300000,-1.458891,0.888187,2.013607,-1.116157,0.891095,2.887919
37,0.308333,-1.458960,0.888153,2.013582,-1.116180,0.891089,2.887939
38,0.316667,-1.459025,0.888120,2.013553,-1.116202,0.891083,2.887953
39,0.325000,-1.459090,0.888099,2.013514,-1.116212,0.891085,2.887970
40,0.333333,-1.459170,0.888103,2.013448,-1.116229,0.891087,2.887982
41,0.341667,-1.459234,0.888123,2.013374,-1.116241,0.891083,2.888003
42,0.350000,-1.459298,0.888133,2.013322,-1.116257,0.891069,2.888025
43,0.358333,-1.459375,0.888121,2.013294,-1.116279,0.891054,2.888036
44,0.366667,-1.459448,0.888103,2.013260,-1.116293,0.891041,2.888041
45,0.375000,-1.459516,0.888075,2.013213,-1.116306,0.891028,2.888043
46,0.383333,-1.459569,0.888051,2.013159,-1.116305,0.891016,2.888034
47,0.391667,-1.459606,0.888028,2.013109,-1.116310,0.891008,2.888037
48,0.400000,-1.459649,0.888014,2.013083,-1.116316,0.890998,2.888030
49,0.408333,-1.459683,0.887994,2.013088,-1.116318,0.890982,2.888024
50,0.416667,-1.459714,0.887974,2.013110,-1.116325,0.890975,2.888018
