Format Version,1.21,Take Name,DanielElonBA1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 03.13.55.365 PM,Total Frames in Take,23412,Total Exported Frames,23412,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:533,Unlabeled:533,Unlabeled:533,Unlabeled:535,Unlabeled:535,Unlabeled:535
,,"8392B20CF49E3570215","8392B20CF49E3570215","8392B20CF49E3570215","8392B20CF49E3570217","8392B20CF49E3570217","8392B20CF49E3570217"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-1.536580,0.887713,1.734072,-1.128186,0.884743,2.539650
1,0.008333,-1.536319,0.887742,1.734204,-1.128197,0.884790,2.539687
2,0.016667,-1.536075,0.887753,1.734325,-1.128204,0.884844,2.539723
3,0.025000,-1.535847,0.887749,1.734429,-1.128204,0.884892,2.539761
4,0.033333,-1.535642,0.887728,1.734527,-1.128207,0.884936,2.539788
5,0.041667,-1.535454,0.887702,1.734625,-1.128200,0.884969,2.539797
6,0.050000,-1.535291,0.887662,1.734730,-1.128192,0.884994,2.539795
7,0.058333,-1.535140,0.887608,1.734842,-1.128186,0.885014,2.539771
8,0.066667,-1.535009,0.887534,1.734956,-1.128180,0.885020,2.539735
9,0.075000,-1.534891,0.887447,1.735082,-1.128171,0.885023,2.539701
10,0.083333,-1.534789,0.887346,1.735216,-1.128172,0.885033,2.539658
11,0.091667,-1.534699,0.887228,1.735357,-1.128161,0.885041,2.539617
12,0.100000,-1.534624,0.887095,1.735513,-1.128153,0.885050,2.539570
13,0.108333,-1.534568,0.886950,1.735684,-1.128138,0.885062,2.539532
14,0.116667,-1.534536,0.886788,1.735872,-1.128139,0.885080,2.539501
15,0.125000,-1.534528,0.886600,1.736086,-1.128136,0.885091,2.539477
16,0.133333,-1.534537,0.886379,1.736322,-1.128142,0.885100,2.539460
17,0.141667,-1.534536,0.886122,1.736600,-1.128153,0.885112,2.539434
18,0.150000,-1.534537,0.885827,1.736905,-1.128157,0.885120,2.539399
19,0.158333,-1.534533,0.885503,1.737246,-1.128169,0.885129,2.539348
20,0.166667,-1.534525,0.885175,1.737592,-1.128182,0.885129,2.539307
21,0.175000,-1.534513,0.884842,1.737933,-1.128204,0.885126,2.539257
22,0.183333,-1.534506,0.884516,1.738272,-1.128226,0.885134,2.539217
23,0.191667,-1.534492,0.884240,1.738554,-1.128256,0.885145,2.539179
24,0.200000,-1.534492,0.884016,1.738776,-1.128282,0.885161,2.539148
25,0.208333,-1.534494,0.883829,1.738949,-1.128315,0.885179,2.539119
26,0.216667,-1.534504,0.883661,1.739098,-1.128348,0.885196,2.539085
27,0.225000,-1.534515,0.883523,1.739217,-1.128384,0.885214,2.539060
28,0.233333,-1.534523,0.883406,1.739303,-1.128419,0.885231,2.539022
29,0.241667,-1.534516,0.883292,1.739368,-1.128455,0.885255,2.539001
