Format Version,1.21,Take Name,DanielElonBB1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 03.21.14.651 PM,Total Frames in Take,22858,Total Exported Frames,22858,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:541,Unlabeled:541,Unlabeled:541,Unlabeled:542,Unlabeled:542,Unlabeled:542
,,"8392B20CF49E357021D","8392B20CF49E357021D","8392B20CF49E357021D","8392B20CF49E357021E","8392B20CF49E357021E","8392B20CF49E357021E"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-1.127384,0.872266,2.537074,-1.436927,0.880546,1.997151
1,0.008333,-1.127372,0.872249,2.537079,-1.437027,0.880597,1.997254
2,0.016667,-1.127366,0.872232,2.537086,-1.437115,0.880638,1.997353
3,0.025000,-1.127359,0.872228,2.537075,-1.437196,0.880685,1.997472
4,0.033333,-1.127347,0.872225,2.537082,-1.437280,0.880732,1.997606
5,0.041667,-1.127333,0.872214,2.537082,-1.437359,0.880775,1.997744
6,0.050000,-1.127330,0.872198,2.537097,-1.437448,0.880810,1.997847
7,0.058333,-1.127327,0.872177,2.537120,-1.437542,0.880850,1.997929
8,0.066667,-1.127319,0.872149,2.537137,-1.437640,0.880884,1.998002
9,0.075000,-1.127302,0.872133,2.537157,-1.437734,0.880915,1.998074
10,0.083333,-1.127272,0.872126,2.537172,-1.437813,0.880941,1.998134
11,0.091667,-1.127231,0.872128,2.537175,-1.437881,0.880971,1.998192
12,0.100000,-1.127187,0.872128,2.537196,-1.437924,0.881005,1.998247
13,0.108333,-1.127150,0.872116,2.537223,-1.437931,0.881033,1.998313
14,0.116667,-1.127123,0.872101,2.537254,-1.437944,0.881045,1.998399
15,0.125000,-1.127103,0.872084,2.537291,-1.437950,0.881051,1.998446
16,0.133333,-1.127075,0.872076,2.537335,-1.437959,0.881059,1.998464
17,0.141667,-1.127043,0.872069,2.537377,-1.437956,0.881072,1.998464
18,0.150000,-1.126997,0.872091,2.537430,-1.437948,0.881088,1.998456
19,0.158333,-1.126958,0.872099,2.537461,-1.437930,0.881100,1.998449
20,0.166667,-1.126923,0.872101,2.537499,-1.437910,0.881114,1.998429
21,0.175000,-1.126901,0.872100,2.537535,-1.437877,0.881125,1.998421
22,0.183333,-1.126883,0.872087,2.537573,-1.437840,0.881134,1.998417
23,0.191667,-1.126869,0.872077,2.537618,-1.437798,0.881143,1.998417
24,0.200000,-1.126850,0.872074,2.537648,-1.437759,0.881149,1.998409
25,0.208333,-1.126828,0.872074,2.537658,-1.437721,0.881161,1.998405
26,0.216667,-1.126801,0.872077,2.537678,-1.437686,0.881173,1.998412
27,0.225000,-1.126773,0.872077,2.537694,-1.437668,0.881190,1.998423
28,0.233333,-1.126757,0.872071,2.537706,-1.437661,0.881202,1.998438
29,0.241667,-1.126740,0.872057,2.537720,-1.437665,0.881210,1.998449
30,0.250000,-1.126738,0.872040,2.537739,-1.437680,0.881219,1.998474
31,0.258333,-1.126738,0.872029,2.537761,-1.437705,0.881217,1.998516
32,0.266667,-1.126728,0.872021,2.537791,-1.437748,0.881223,1.998558
33,0.275000,-1.126705,0.872014,2.537810,-1.437791,0.881233,1.998602
34,0.283333,-1.126686,0.872008,2.537827,-1.437854,0.881247,1.998665
35,0.291667,-1.126657,0.871987,2.537829,-1.437920,0.881254,1.998718
36,0.300000,-1.126640,0.871978,2.537836,-1.437980,0.881259,1.998780
37,0.308333,-1.126628,0.871951,2.537856,-1.438044,0.881252,1.998839
38,0.316667,-1.126623,0.871938,2.537867,-1.438098,0.881239,1.998889
39,0.325000,-1.126623,0.871925,2.537898,-1.438141,0.881241,1.998940
40,0.333333,-1.126612,0.871909,2.537930,-1.438172,0.881237,1.998994
41,0.341667,-1.126616,0.871910,2.537948,-1.438193,0.881231,1.999051
42,0.350000,-1.126615,0.871905,2.537967,-1.438204,0.881237,1.999087
43,0.358333,-1.126627,0.871900,2.537975,-1.438199,0.881239,1.999111
44,0.366667,-1.126643,0.871894,2.537982,-1.438188,0.881237,1.999122
45,0.375000,-1.126671,0.871883,2.537998,-1.438166,0.881229,1.999119
46,0.383333,-1.126692,0.871871,2.538024,-1.438144,0.881227,1.999098
47,0.391667,-1.126708,0.871858,2.538038,-1.438116,0.881231,1.999085
48,0.400000,-1.126719,0.871852,2.538061,-1.438084,0.881232,1.999067
49,0.408333,-1.126719,0.871853,2.538064,-1.438056,0.881230,1.999057
50,0.416667,-1.126719,0.871847,2.538064,-1.438032,0.881227,1.999030
51,0.425000,-1.126720,0.871837,2.538074,-1.438009,0.881222,1.999011
52,0.433333,-1.126725,0.871825,2.538098,-1.437996,0.881217,1.998987
53,0.441667,-1.126733,0.871810,2.538120,-1.437986,0.881214,1.998976
54,0.450000,-1.126739,0.871801,2.538131,-1.437985,0.881209,1.998968
55,0.458333,-1.126736,0.871802,2.538155,-1.437990,0.881212,1.998980
56,0.466667,-1.126727,0.871811,2.538171,-1.438001,0.881208,1.998996
57,0.475000,-1.126718,0.871819,2.538186,-1.438012,0.881206,1.999031
58,0.483333,-1.126703,0.871821,2.538211,-1.438028,0.881198,1.999057
59,0.491667,-1.126687,0.871823,2.538245,-1.438066,0.881190,1.999091
60,0.500000,-1.126675,0.871816,2.538267,-1.438114,0.881185,1.999135
61,0.508333,-1.126653,0.871820,2.538288,-1.438177,0.881183,1.999192
62,0.516667,-1.126623,0.871822,2.538300,-1.438242,0.881178,1.999270
63,0.525000,-1.126593,0.871835,2.538302,-1.438317,0.881169,1.999359
64,0.533333,-1.126557,0.871854,2.538315,-1.438390,0.881169,1.999462
65,0.541667,-1.126532,0.871872,2.538314,-1.438480,0.881170,1.999589
66,0.550000,-1.126506,0.871882,2.538314,-1.438568,0.881178,1.999750
67,0.558333,-1.126488,0.871886,2.538331,-1.438675,0.881187,1.999951
68,0.566667,-1.126483,0.871898,2.538336,-1.438800,0.881192,2.000179
69,0.575000,-1.126482,0.871907,2.538342,-1.438927,0.881195,2.000396
70,0.583333,-1.126478,0.871926,2.538345,-1.439065,0.881216,2.000616
71,0.591667,-1.126467,0.871943,2.538352,-1.439200,0.881237,2.000847
