Format Version,1.21,Take Name,ElonDanielAA1 ,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 03.28.44.326 PM,Total Frames in Take,24397,Total Exported Frames,24397,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:546,Unlabeled:546,Unlabeled:546,Unlabeled:547,Unlabeled:547,Unlabeled:547
,,"8392B20CF49E3570222","8392B20CF49E3570222","8392B20CF49E3570222","8392B20CF49E3570223","8392B20CF49E3570223","8392B20CF49E3570223"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-1.090053,0.883031,2.918218,-1.489178,0.909913,1.710097
1,0.008333,-1.090072,0.882978,2.918136,-1.489233,0.909946,1.710055
2,0.016667,-1.090081,0.882935,2.918065,-1.489285,0.909974,1.710030
3,0.025000,-1.090090,0.882889,2.918007,-1.489326,0.909988,1.710016
4,0.033333,-1.090118,0.882834,2.917949,-1.489362,0.910008,1.710013
5,0.041667,-1.090164,0.882779,2.917881,-1.489394,0.910023,1.710014
6,0.050000,-1.090245,0.882722,2.917791,-1.489419,0.910039,1.710029
7,0.058333,-1.090352,0.882668,2.917690,-1.489435,0.910049,1.710052
8,0.066667,-1.090489,0.882600,2.917557,-1.489435,0.910037,1.710101
9,0.075000,-1.090633,0.882542,2.917418,-1.489416,0.910017,1.710168
10,0.083333,-1.090809,0.882491,2.917265,-1.489388,0.910004,1.710244
11,0.091667,-1.091022,0.882444,2.917114,-1.489352,0.909993,1.710327
12,0.100000,-1.091273,0.882399,2.916963,-1.489326,0.909991,1.710418
13,0.108333,-1.091544,0.882364,2.916818,-1.489295,0.909993,1.710519
14,0.116667,-1.091842,0.882334,2.916670,-1.489275,0.909994,1.710611
15,0.125000,-1.092153,0.882287,2.916519,-1.489252,0.909993,1.710706
16,0.133333,-1.092470,0.882261,2.916363,-1.489237,0.909996,1.710789
17,0.141667,-1.092769,0.882248,2.916210,-1.489217,0.910006,1.710878
18,0.150000,-1.093078,0.882243,2.916076,-1.489202,0.910025,1.710957
19,0.158333,-1.093387,0.882251,2.915966,-1.489205,0.910051,1.711036
20,0.166667,-1.093666,0.882273,2.915856,-1.489217,0.910082,1.711122
21,0.175000,-1.093906,0.882326,2.915730,-1.489236,0.910106,1.711203
22,0.183333,-1.094095,0.882386,2.915622,-1.489246,0.910127,1.711286
23,0.191667,-1.094251,0.882446,2.915527,-1.489256,0.910142,1.711375
24,0.200000,-1.094367,0.882513,2.915438,-1.489266,0.910157,1.711459
25,0.208333,-1.094432,0.882573,2.915359,-1.489284,0.910179,1.711541
26,0.216667,-1.094478,0.882641,2.915302,-1.489313,0.910199,1.711624
27,0.225000,-1.094488,0.882697,2.915254,-1.489347,0.910228,1.711698
28,0.233333,-1.094475,0.882759,2.915203,-1.489376,0.910251,1.711768
29,0.241667,-1.094447,0.882809,2.915160,-1.489409,0.910265,1.711841
30,0.250000,-1.094416,0.882858,2.915105,-1.489437,0.910281,1.711899
31,0.258333,-1.094382,0.882907,2.915049,-1.489462,0.910294,1.711949
32,0.266667,-1.094350,0.882942,2.914994,-1.489490,0.910321,1.711997
33,0.275000,-1.094341,0.882966,2.914961,-1.489528,0.910344,1.712027
34,0.283333,-1.094354,0.882988,2.914947,-1.489573,0.910379,1.712048
35,0.291667,-1.094401,0.883004,2.914938,-1.489619,0.910405,1.712074
36,0.300000,-1.094484,0.883022,2.914921,-1.489656,0.910427,1.712096
37,0.308333,-1.094600,0.883040,2.914888,-1.489689,0.910446,1.712110
38,0.316667,-1.094767,0.883061,2.914816,-1.489709,0.910467,1.712129
39,0.325000,-1.094956,0.883098,2.914725,-1.489734,0.910488,1.712147
40,0.333333,-1.095150,0.883139,2.914614,-1.489760,0.910515,1.712157
41,0.341667,-1.095358,0.883166,2.914513,-1.489788,0.910543,1.712172
42,0.350000,-1.095527,0.883184,2.914404,-1.489817,0.910566,1.712188
43,0.358333,-1.095652,0.883186,2.914308,-1.489842,0.910583,1.712206
44,0.366667,-1.095722,0.883176,2.914229,-1.489874,0.910603,1.712209
45,0.375000,-1.095764,0.883168,2.914181,-1.489906,0.910631,1.712210
46,0.383333,-1.095785,0.883135,2.914160,-1.489945,0.910669,1.712202
47,0.391667,-1.095806,0.883076,2.914160,-1.489997,0.910710,1.712185
48,0.400000,-1.095816,0.882987,2.914186,-1.490056,0.910749,1.712181
49,0.408333,-1.095802,0.882877,2.914227,-1.490106,0.910780,1.712171
50,0.416667,-1.095789,0.882754,2.914263,-1.490158,0.910795,1.712170
51,0.425000,-1.095785,0.882627,2.914285,-1.490206,0.910805,1.712168
52,0.433333,-1.095805,0.882507,2.914306,-1.490259,0.910822,1.712156
53,0.441667,-1.095831,0.882403,2.914298,-1.490313,0.910845,1.712140
54,0.450000,-1.095850,0.882316,2.914284,-1.490367,0.910866,1.712128
55,0.458333,-1.095869,0.882232,2.914254,-1.490431,0.910884,1.712115
56,0.466667,-1.095891,0.882157,2.914209,-1.490498,0.910901,1.712102
57,0.475000,-1.095909,0.882079,2.914156,-1.490545,0.910904,1.712092
58,0.483333,-1.095915,0.882020,2.914094,-1.490593,0.910907,1.712080
59,0.491667,-1.095907,0.881985,2.914022,-1.490643,0.910917,1.712060
60,0.500000,-1.095892,0.881983,2.913968,-1.490692,0.910945,1.712031
61,0.508333,-1.095864,0.881994,2.913925,-1.490742,0.910977,1.712003
62,0.516667,-1.095824,0.882023,2.913900,-1.490793,0.911011,1.711974
63,0.525000,-1.095772,0.882036,2.913861,-1.490830,0.911042,1.711956
64,0.533333,-1.095715,0.882054,2.913837,-1.490869,0.911066,1.711928
65,0.541667,-1.095646,0.882076,2.913828,-1.490902,0.911090,1.711914
66,0.550000,-1.095567,0.882090,2.913840,-1.490935,0.911120,1.711887
67,0.558333,-1.095489,0.882103,2.913848,-1.490974,0.911147,1.711864
68,0.566667,-1.095428,0.882122,2.913848,-1.491011,0.911179,1.711843
69,0.575000,-1.095403,0.882148,2.913839,-1.491043,0.911203,1.711836
70,0.583333,-1.095437,0.882158,2.913802,-1.491079,0.911216,1.711835
71,0.591667,-1.095510,0.882141,2.913747,-1.491113,0.911223,1.711840
72,0.600000,-1.095624,0.882101,2.913669,-1.491156,0.911229,1.711840
73,0.608333,-1.095779,0.882051,2.913574,-1.491197,0.911240,1.711831
74,0.616667,-1.095966,0.881980,2.913478,-1.491238,0.911251,1.711820
75,0.625000,-1.096151,0.881905,2.913395,-1.491287,0.911262,1.711809
76,0.633333,-1.096326,0.881830,2.913323,-1.491327,0.911278,1.711801
77,0.641667,-1.096487,0.881758,2.913287,-1.491359,0.911284,1.711797
78,0.650000,-1.096646,0.881687,2.913290,-1.491394,0.911282,1.711802
79,0.658333,-1.096815,0.881622,2.913315,-1.491413,0.911270,1.711819
80,0.666667,-1.096987,0.881576,2.913352,-1.491421,0.911266,1.711824
81,0.675000,-1.097166,0.881532,2.913401,-1.491422,0.911251,1.711838
82,0.683333,-1.097348,0.881504,2.913455,-1.491415,0.911240,1.711867
83,0.691667,-1.097558,0.881479,2.913523,-1.491408,0.911221,1.711893
84,0.700000,-1.097759,0.881455,2.913611,-1.491397,0.911197,1.711922
85,0.708333,-1.097932,0.881435,2.913696,-1.491385,0.911172,1.711950
86,0.716667,-1.098079,0.881411,2.913797,-1.491370,0.911145,1.711968
87,0.725000,-1.098205,0.881390,2.913904,-1.491349,0.911118,1.711991
88,0.733333,-1.098307,0.881363,2.914008,-1.491323,0.911101,1.712001
89,0.741667,-1.098398,0.881331,2.914086,-1.491303,0.911088,1.712011
90,0.750000,-1.098478,0.881299,2.914146,-1.491275,0.911084,1.712021
91,0.758333,-1.098546,0.881264,2.914193,-1.491248,0.911076,1.712035
92,0.766667,-1.098616,0.881224,2.914218,-1.491220,0.911064,1.712049
93,0.775000,-1.098675,0.881189,2.914231,-1.491192,0.911054,1.712054
94,0.783333,-1.098717,0.881152,2.914226,-1.491159,0.911045,1.712062
95,0.791667,-1.098734,0.881118,2.914225,-1.491124,0.911046,1.712071
96,0.800000,-1.098730,0.881089,2.914219,-1.491093,0.911046,1.712072
97,0.808333,-1.098694,0.881070,2.914219,-1.491062,0.911042,1.712085
98,0.816667,-1.098615,0.881051,2.914226,-1.491025,0.911033,1.712096
99,0.825000,-1.098495,0.881041,2.914235,-1.490985,0.911013,1.712099
100,0.833333,-1.098331,0.881035,2.914234,-1.490948,0.910992,1.712105
101,0.841667,-1.098133,0.881015,2.914222,-1.490909,0.910971,1.712103
102,0.850000,-1.097923,0.880997,2.914215,-1.490873,0.910955,1.712101
103,0.858333,-1.097699,0.880969,2.914215,-1.490847,0.910949,1.712088
104,0.866667,-1.097499,0.880939,2.914215,-1.490817,0.910941,1.712082
105,0.875000,-1.097306,0.880908,2.914216,-1.490793,0.910934,1.712065
106,0.883333,-1.097121,0.880873,2.914207,-1.490768,0.910932,1.712041
107,0.891667,-1.096943,0.880830,2.914195,-1.490738,0.910927,1.712020
108,0.900000,-1.096797,0.880784,2.914183,-1.490705,0.910918,1.711998
109,0.908333,-1.096669,0.880735,2.914186,-1.490672,0.910912,1.711982
110,0.916667,-1.096565,0.880692,2.914201,-1.490635,0.910913,1.711960
