Format Version,1.21,Take Name,ElonDanielAA2,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 03.45.21.397 PM,Total Frames in Take,26211,Total Exported Frames,26211,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:586,Unlabeled:586,Unlabeled:586,Unlabeled:587,Unlabeled:587,Unlabeled:587
,,"8392B20CF49E357024A","8392B20CF49E357024A","8392B20CF49E357024A","8392B20CF49E357024B","8392B20CF49E357024B","8392B20CF49E357024B"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-1.128687,0.871047,2.893503,-1.467493,0.908347,1.694073
1,0.008333,-1.128371,0.871113,2.893425,-1.467440,0.908344,1.694148
2,0.016667,-1.128041,0.871182,2.893348,-1.467404,0.908342,1.694211
3,0.025000,-1.127673,0.871257,2.893283,-1.467357,0.908348,1.694275
4,0.033333,-1.127312,0.871325,2.893223,-1.467343,0.908355,1.694327
5,0.041667,-1.126945,0.871409,2.893176,-1.467336,0.908376,1.694374
6,0.050000,-1.126554,0.871511,2.893153,-1.467349,0.908404,1.694408
7,0.058333,-1.126161,0.871616,2.893146,-1.467370,0.908441,1.694433
8,0.066667,-1.125794,0.871714,2.893148,-1.467404,0.908482,1.694453
9,0.075000,-1.125477,0.871788,2.893144,-1.467442,0.908527,1.694473
10,0.083333,-1.125196,0.871838,2.893112,-1.467487,0.908584,1.694487
11,0.091667,-1.124956,0.871876,2.893069,-1.467547,0.908641,1.694496
12,0.100000,-1.124767,0.871884,2.893004,-1.467601,0.908714,1.694508
13,0.108333,-1.124615,0.871876,2.892897,-1.467657,0.908788,1.694520
14,0.116667,-1.124502,0.871859,2.892752,-1.467710,0.908867,1.694533
15,0.125000,-1.124438,0.871829,2.892593,-1.467752,0.908942,1.694546
16,0.133333,-1.124433,0.871789,2.892389,-1.467793,0.909014,1.694553
17,0.141667,-1.124467,0.871738,2.892159,-1.467816,0.909091,1.694569
18,0.150000,-1.124530,0.871681,2.891916,-1.467829,0.909167,1.694581
19,0.158333,-1.124624,0.871624,2.891650,-1.467833,0.909243,1.694591
20,0.166667,-1.124725,0.871569,2.891377,-1.467819,0.909317,1.694595
21,0.175000,-1.124810,0.871514,2.891098,-1.467929,0.909398,1.694580
22,0.183333,-1.124895,0.871471,2.890836,-1.467880,0.909461,1.694590
23,0.191667,-1.124973,0.871427,2.890585,-1.467821,0.909532,1.694596
24,0.200000,-1.125043,0.871379,2.890340,-1.467753,0.909597,1.694601
25,0.208333,-1.125114,0.871329,2.890105,-1.467688,0.909668,1.694597
26,0.216667,-1.125168,0.871273,2.889877,-1.467620,0.909730,1.694597
27,0.225000,-1.125206,0.871229,2.889652,-1.467563,0.909798,1.694586
28,0.233333,-1.125210,0.871185,2.889397,-1.467496,0.909856,1.694569
29,0.241667,-1.125180,0.871161,2.889132,-1.467449,0.909913,1.694550
30,0.250000,-1.125120,0.871161,2.888878,-1.467418,0.909973,1.694520
31,0.258333,-1.125041,0.871179,2.888636,-1.467394,0.910038,1.694485
32,0.266667,-1.124945,0.871209,2.888417,-1.467390,0.910098,1.694443
33,0.275000,-1.124834,0.871246,2.888229,-1.467396,0.910154,1.694406
34,0.283333,-1.124714,0.871292,2.888092,-1.467408,0.910206,1.694362
35,0.291667,-1.124574,0.871345,2.887993,-1.467437,0.910261,1.694315
36,0.300000,-1.124423,0.871393,2.887936,-1.467479,0.910321,1.694262
37,0.308333,-1.124254,0.871451,2.887916,-1.467533,0.910382,1.694202
38,0.316667,-1.124082,0.871503,2.887930,-1.467611,0.910447,1.694126
39,0.325000,-1.123926,0.871552,2.887970,-1.467704,0.910515,1.694062
40,0.333333,-1.123790,0.871585,2.888034,-1.467804,0.910574,1.693996
41,0.341667,-1.123683,0.871601,2.888091,-1.467916,0.910634,1.693929
42,0.350000,-1.123603,0.871596,2.888139,-1.468037,0.910690,1.693866
43,0.358333,-1.123547,0.871577,2.888173,-1.468143,0.910741,1.693824
44,0.366667,-1.123518,0.871543,2.888183,-1.468241,0.910788,1.693788
45,0.375000,-1.123509,0.871486,2.888172,-1.468338,0.910834,1.693759
46,0.383333,-1.123532,0.871413,2.888155,-1.468411,0.910866,1.693740
47,0.391667,-1.123575,0.871313,2.888123,-1.468480,0.910887,1.693728
48,0.400000,-1.123624,0.871191,2.888079,-1.468526,0.910895,1.693730
49,0.408333,-1.123674,0.871050,2.888014,-1.468561,0.910890,1.693746
50,0.416667,-1.123727,0.870898,2.887934,-1.468591,0.910885,1.693767
51,0.425000,-1.123772,0.870766,2.887851,-1.468616,0.910886,1.693792
52,0.433333,-1.123798,0.870633,2.887750,-1.468626,0.910893,1.693825
53,0.441667,-1.123836,0.870514,2.887644,-1.468631,0.910903,1.693862
54,0.450000,-1.123886,0.870378,2.887525,-1.468630,0.910915,1.693896
55,0.458333,-1.123945,0.870239,2.887410,-1.468611,0.910919,1.693942
56,0.466667,-1.124034,0.870096,2.887304,-1.468586,0.910909,1.693998
57,0.475000,-1.124139,0.869943,2.887183,-1.468550,0.910892,1.694058
58,0.483333,-1.124259,0.869799,2.887073,-1.468500,0.910878,1.694119
59,0.491667,-1.124391,0.869685,2.886958,-1.468437,0.910851,1.694194
60,0.500000,-1.124520,0.869600,2.886839,-1.468366,0.910816,1.694279
61,0.508333,-1.124642,0.869550,2.886748,-1.468303,0.910775,1.694369
62,0.516667,-1.124756,0.869515,2.886690,-1.468235,0.910736,1.694457
63,0.525000,-1.124839,0.869498,2.886688,-1.468182,0.910692,1.694546
64,0.533333,-1.124896,0.869485,2.886727,-1.468128,0.910647,1.694639
65,0.541667,-1.124924,0.869490,2.886814,-1.468095,0.910601,1.694728
66,0.550000,-1.124916,0.869511,2.886930,-1.468066,0.910556,1.694815
67,0.558333,-1.124883,0.869547,2.887064,-1.468048,0.910509,1.694890
68,0.566667,-1.124826,0.869592,2.887224,-1.468039,0.910466,1.694975
69,0.575000,-1.124743,0.869638,2.887381,-1.468029,0.910424,1.695051
70,0.583333,-1.124655,0.869683,2.887535,-1.468022,0.910379,1.695128
71,0.591667,-1.124567,0.869718,2.887684,-1.468020,0.910331,1.695198
72,0.600000,-1.124463,0.869756,2.887829,-1.468019,0.910281,1.695272
73,0.608333,-1.124360,0.869794,2.887977,-1.468013,0.910238,1.695340
74,0.616667,-1.124255,0.869824,2.888120,-1.468003,0.910198,1.695407
75,0.625000,-1.124149,0.869846,2.888256,-1.467995,0.910162,1.695462
76,0.633333,-1.124042,0.869857,2.888390,-1.467981,0.910126,1.695516
77,0.641667,-1.123934,0.869861,2.888521,-1.467974,0.910089,1.695566
78,0.650000,-1.123833,0.869857,2.888633,-1.467962,0.910055,1.695607
79,0.658333,-1.123750,0.869849,2.888730,-1.467954,0.910014,1.695642
80,0.666667,-1.123678,0.869840,2.888803,-1.467943,0.909981,1.695675
81,0.675000,-1.123619,0.869832,2.888866,-1.467932,0.909948,1.695712
82,0.683333,-1.123564,0.869822,2.888920,-1.467920,0.909913,1.695739
83,0.691667,-1.123514,0.869809,2.888955,-1.467904,0.909885,1.695766
84,0.700000,-1.123458,0.869793,2.888978,-1.467880,0.909859,1.695793
85,0.708333,-1.123401,0.869775,2.889000,-1.467858,0.909831,1.695815
86,0.716667,-1.123351,0.869759,2.889023,-1.467833,0.909805,1.695835
87,0.725000,-1.123315,0.869732,2.889031,-1.467798,0.909777,1.695856
88,0.733333,-1.123285,0.869698,2.889043,-1.467765,0.909761,1.695870
89,0.741667,-1.123274,0.869662,2.889048,-1.467734,0.909746,1.695886
90,0.750000,-1.123260,0.869626,2.889058,-1.467700,0.909734,1.695894
91,0.758333,-1.123250,0.869595,2.889055,-1.467672,0.909721,1.695902
92,0.766667,-1.123242,0.869556,2.889051,-1.467651,0.909709,1.695904
93,0.775000,-1.123240,0.869521,2.889058,-1.467625,0.909697,1.695906
94,0.783333,-1.123244,0.869488,2.889073,-1.467603,0.909693,1.695896
95,0.791667,-1.123261,0.869459,2.889103,-1.467595,0.909691,1.695882
96,0.800000,-1.123290,0.869430,2.889139,-1.467588,0.909691,1.695864
97,0.808333,-1.123326,0.869418,2.889199,-1.467587,0.909699,1.695837
98,0.816667,-1.123358,0.869420,2.889263,-1.467593,0.909696,1.695807
99,0.825000,-1.123372,0.869425,2.889332,-1.467597,0.909693,1.695776
100,0.833333,-1.123374,0.869436,2.889406,-1.467600,0.909689,1.695740
101,0.841667,-1.123376,0.869448,2.889474,-1.467599,0.909690,1.695715
102,0.850000,-1.123389,0.869458,2.889553,-1.467603,0.909690,1.695682
103,0.858333,-1.123410,0.869457,2.889633,-1.467609,0.909687,1.695639
104,0.866667,-1.123434,0.869457,2.889706,-1.467616,0.909688,1.695606
105,0.875000,-1.123463,0.869455,2.889769,-1.467623,0.909678,1.695573
106,0.883333,-1.123500,0.869457,2.889812,-1.467619,0.909660,1.695552
107,0.891667,-1.123537,0.869471,2.889842,-1.467611,0.909647,1.695535
108,0.900000,-1.123577,0.869479,2.889857,-1.467603,0.909630,1.695519
109,0.908333,-1.123641,0.869509,2.889864,-1.467602,0.909629,1.695500
110,0.916667,-1.123723,0.869551,2.889869,-1.467612,0.909638,1.695465
111,0.925000,-1.123814,0.869592,2.889879,-1.467627,0.909658,1.695431
112,0.933333,-1.123905,0.869642,2.889897,-1.467640,0.909683,1.695399
113,0.941667,-1.123994,0.869682,2.889900,-1.467652,0.909712,1.695366
114,0.950000,-1.124077,0.869715,2.889893,-1.467654,0.909742,1.695346
115,0.958333,-1.124162,0.869740,2.889871,-1.467657,0.909779,1.695321
116,0.966667,-1.124246,0.869754,2.889829,-1.467663,0.909822,1.695292
117,0.975000,-1.124359,0.869756,2.889778,-1.467668,0.909860,1.695272
118,0.983333,-1.124464,0.869756,2.889723,-1.467670,0.909893,1.695252
119,0.991667,-1.124567,0.869745,2.889657,-1.467662,0.909921,1.695239
120,1.000000,-1.124678,0.869728,2.889595,-1.467653,0.909943,1.695225
121,1.008333,-1.124788,0.869720,2.889527,-1.467641,0.909962,1.695224
122,1.016667,-1.124884,0.869712,2.889447,-1.467629,0.909966,1.695230
123,1.025000,-1.124986,0.869690,2.889365,-1.467613,0.909971,1.695232
124,1.033333,-1.125092,0.869658,2.889271,-1.467597,0.909968,1.695243
125,1.041667,-1.125191,0.869625,2.889180,-1.467580,0.909960,1.695253
126,1.050000,-1.125287,0.869576,2.889087,-1.467558,0.909937,1.695275
127,1.058333,-1.125377,0.869527,2.888992,-1.467534,0.909899,1.695303
128,1.066667,-1.125450,0.869484,2.888891,-1.467504,0.909859,1.695334
129,1.075000,-1.125514,0.869438,2.888780,-1.467480,0.909823,1.695361
130,1.083333,-1.125592,0.869389,2.888662,-1.467463,0.909790,1.695378
131,1.091667,-1.125668,0.869331,2.888542,-1.467451,0.909753,1.695395
132,1.100000,-1.125741,0.869267,2.888405,-1.467436,0.909706,1.695418
133,1.108333,-1.125809,0.869207,2.888269,-1.467420,0.909655,1.695437
134,1.116667,-1.125871,0.869147,2.888108,-1.467411,0.909603,1.695452
135,1.125000,-1.125933,0.869095,2.887942,-1.467400,0.909555,1.695456
136,1.133333,-1.126013,0.869047,2.887789,-1.467396,0.909513,1.695439
