Format Version,1.21,Take Name,ElonDanielAB1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 03.37.42.491 PM,Total Frames in Take,24084,Total Exported Frames,24084,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:546,Unlabeled:546,Unlabeled:546,Unlabeled:580,Unlabeled:580,Unlabeled:580
,,"8392B20CF49E3570222","8392B20CF49E3570222","8392B20CF49E3570222","8392B20CF49E3570244","8392B20CF49E3570244","8392B20CF49E3570244"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-1.099804,0.874253,2.873079,-1.479576,0.876194,2.029532
1,0.008333,-1.099061,0.874361,2.873577,-1.479589,0.876198,2.029544
2,0.016667,-1.098251,0.874563,2.874149,-1.479605,0.876204,2.029551
3,0.025000,-1.097433,0.874821,2.874666,-1.479605,0.876209,2.029553
4,0.033333,-1.096631,0.875134,2.875230,-1.479599,0.876223,2.029545
5,0.041667,-1.095878,0.875455,2.875761,-1.479594,0.876232,2.029538
6,0.050000,-1.095175,0.875800,2.876272,-1.479596,0.876236,2.029539
7,0.058333,-1.094528,0.876114,2.876763,-1.479606,0.876228,2.029552
8,0.066667,-1.093960,0.876418,2.877219,-1.479621,0.876219,2.029564
9,0.075000,-1.093470,0.876751,2.877654,-1.479627,0.876208,2.029577
10,0.083333,-1.093081,0.877062,2.877996,-1.479623,0.876201,2.029578
11,0.091667,-1.092753,0.877375,2.878268,-1.479612,0.876202,2.029584
12,0.100000,-1.092554,0.877665,2.878443,-1.479601,0.876205,2.029580
13,0.108333,-1.092485,0.877950,2.878535,-1.479586,0.876208,2.029579
14,0.116667,-1.092559,0.878239,2.878530,-1.479586,0.876200,2.029588
15,0.125000,-1.092780,0.878541,2.878443,-1.479594,0.876187,2.029599
16,0.133333,-1.093106,0.878884,2.878239,-1.479593,0.876178,2.029609
17,0.141667,-1.093528,0.879258,2.877930,-1.479588,0.876170,2.029616
18,0.150000,-1.094087,0.879700,2.877562,-1.479578,0.876168,2.029622
19,0.158333,-1.094742,0.880194,2.877104,-1.479564,0.876176,2.029635
20,0.166667,-1.095543,0.880740,2.876680,-1.479553,0.876180,2.029635
21,0.175000,-1.096453,0.881317,2.876217,-1.479551,0.876185,2.029637
22,0.183333,-1.097502,0.881939,2.875767,-1.479555,0.876186,2.029639
23,0.191667,-1.098664,0.882582,2.875369,-1.479567,0.876179,2.029633
24,0.200000,-1.099858,0.883237,2.874946,-1.479580,0.876178,2.029626
25,0.208333,-1.101155,0.883927,2.874550,-1.479588,0.876173,2.029611
26,0.216667,-1.102482,0.884700,2.874223,-1.479597,0.876176,2.029598
27,0.225000,-1.103866,0.885489,2.873913,-1.479596,0.876179,2.029593
28,0.233333,-1.105249,0.886343,2.873658,-1.479594,0.876189,2.029594
29,0.241667,-1.106625,0.887277,2.873460,-1.479592,0.876190,2.029599
30,0.250000,-1.107938,0.888236,2.873285,-1.479584,0.876191,2.029610
31,0.258333,-1.109280,0.889168,2.873123,-1.479581,0.876189,2.029620
32,0.266667,-1.110557,0.890136,2.873003,-1.479574,0.876187,2.029634
33,0.275000,-1.111874,0.891063,2.872880,-1.479566,0.876188,2.029650
34,0.283333,-1.113158,0.891887,2.872726,-1.479544,0.876194,2.029661
35,0.291667,-1.114431,0.892626,2.872615,-1.479514,0.876203,2.029671
36,0.300000,-1.115675,0.893238,2.872459,-1.479475,0.876202,2.029664
37,0.308333,-1.116870,0.893728,2.872302,-1.479431,0.876203,2.029659
38,0.316667,-1.117962,0.894115,2.872194,-1.479391,0.876193,2.029653
