Format Version,1.21,Take Name,ElonDanielBA1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 03.33.12.735 PM,Total Frames in Take,25256,Total Exported Frames,25256,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:546,Unlabeled:546,Unlabeled:546,Unlabeled:547,Unlabeled:547,Unlabeled:547
,,"8392B20CF49E3570222","8392B20CF49E3570222","8392B20CF49E3570222","8392B20CF49E3570223","8392B20CF49E3570223","8392B20CF49E3570223"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-1.149417,0.885386,2.526188,-1.476301,0.907724,1.703338
1,0.008333,-1.149393,0.884906,2.525645,-1.476271,0.907741,1.703277
2,0.016667,-1.149364,0.884440,2.525128,-1.476231,0.907746,1.703225
3,0.025000,-1.149327,0.884019,2.524620,-1.476197,0.907744,1.703171
4,0.033333,-1.149272,0.883611,2.524077,-1.476164,0.907728,1.703116
5,0.041667,-1.149214,0.883221,2.523594,-1.476137,0.907707,1.703047
6,0.050000,-1.149143,0.882867,2.523136,-1.476105,0.907680,1.702976
7,0.058333,-1.149062,0.882527,2.522673,-1.476071,0.907651,1.702898
8,0.066667,-1.148982,0.882249,2.522232,-1.476026,0.907623,1.702818
9,0.075000,-1.148887,0.882031,2.521855,-1.475986,0.907593,1.702739
10,0.083333,-1.148801,0.881855,2.521533,-1.475952,0.907572,1.702658
11,0.091667,-1.148726,0.881695,2.521273,-1.475926,0.907544,1.702569
12,0.100000,-1.148651,0.881624,2.521107,-1.475898,0.907525,1.702493
13,0.108333,-1.148593,0.881632,2.521034,-1.475877,0.907506,1.702414
14,0.116667,-1.148516,0.881712,2.521046,-1.475869,0.907492,1.702338
15,0.125000,-1.148433,0.881893,2.521175,-1.475861,0.907494,1.702262
16,0.133333,-1.148344,0.882107,2.521377,-1.475865,0.907503,1.702183
17,0.141667,-1.148223,0.882341,2.521624,-1.475889,0.907523,1.702094
18,0.150000,-1.148101,0.882582,2.521913,-1.475925,0.907542,1.702004
19,0.158333,-1.147990,0.882812,2.522234,-1.475983,0.907555,1.701909
20,0.166667,-1.147871,0.883030,2.522595,-1.476046,0.907570,1.701811
21,0.175000,-1.147708,0.883291,2.523003,-1.476128,0.907591,1.701719
22,0.183333,-1.147550,0.883546,2.523384,-1.476216,0.907614,1.701628
23,0.191667,-1.147380,0.883781,2.523750,-1.476312,0.907637,1.701546
24,0.200000,-1.147178,0.884018,2.524145,-1.476411,0.907656,1.701476
25,0.208333,-1.146949,0.884226,2.524461,-1.476505,0.907669,1.701414
26,0.216667,-1.146697,0.884400,2.524726,-1.476607,0.907677,1.701367
27,0.225000,-1.146460,0.884551,2.524990,-1.476710,0.907684,1.701330
28,0.233333,-1.146234,0.884632,2.525239,-1.476822,0.907684,1.701293
29,0.241667,-1.146025,0.884680,2.525440,-1.476927,0.907684,1.701266
30,0.250000,-1.145821,0.884682,2.525572,-1.477038,0.907676,1.701247
31,0.258333,-1.145628,0.884657,2.525654,-1.477146,0.907662,1.701243
32,0.266667,-1.145442,0.884623,2.525671,-1.477252,0.907653,1.701237
33,0.275000,-1.145264,0.884561,2.525630,-1.477361,0.907647,1.701233
34,0.283333,-1.145089,0.884480,2.525549,-1.477473,0.907642,1.701227
35,0.291667,-1.144914,0.884366,2.525430,-1.477581,0.907648,1.701227
36,0.300000,-1.144744,0.884220,2.525256,-1.477691,0.907656,1.701226
37,0.308333,-1.144576,0.884062,2.525052,-1.477812,0.907674,1.701223
38,0.316667,-1.144411,0.883901,2.524790,-1.477934,0.907705,1.701220
39,0.325000,-1.144264,0.883752,2.524553,-1.478059,0.907741,1.701219
40,0.333333,-1.144120,0.883626,2.524295,-1.478164,0.907773,1.701226
41,0.341667,-1.143979,0.883540,2.524053,-1.478270,0.907803,1.701235
42,0.350000,-1.143844,0.883473,2.523809,-1.478371,0.907831,1.701248
43,0.358333,-1.143714,0.883433,2.523574,-1.478473,0.907857,1.701261
44,0.366667,-1.143576,0.883430,2.523373,-1.478572,0.907887,1.701281
45,0.375000,-1.143438,0.883465,2.523200,-1.478665,0.907915,1.701306
46,0.383333,-1.143277,0.883559,2.523082,-1.478753,0.907945,1.701335
47,0.391667,-1.143086,0.883700,2.522997,-1.478830,0.907966,1.701371
48,0.400000,-1.142876,0.883892,2.522920,-1.478898,0.907975,1.701423
49,0.408333,-1.142614,0.884123,2.522910,-1.478961,0.907995,1.701472
50,0.416667,-1.142334,0.884378,2.522947,-1.479014,0.908013,1.701529
51,0.425000,-1.142074,0.884597,2.522993,-1.479061,0.908040,1.701584
52,0.433333,-1.141814,0.884817,2.523074,-1.479110,0.908067,1.701648
53,0.441667,-1.141529,0.885014,2.523187,-1.479144,0.908089,1.701722
54,0.450000,-1.141236,0.885210,2.523316,-1.479174,0.908111,1.701806
55,0.458333,-1.140942,0.885415,2.523415,-1.479195,0.908126,1.701892
56,0.466667,-1.140657,0.885571,2.523500,-1.479206,0.908139,1.701994
57,0.475000,-1.140386,0.885683,2.523595,-1.479208,0.908146,1.702107
58,0.483333,-1.140161,0.885727,2.523725,-1.479222,0.908152,1.702215
59,0.491667,-1.139955,0.885737,2.523885,-1.479232,0.908153,1.702325
60,0.500000,-1.139783,0.885731,2.524050,-1.479247,0.908148,1.702435
61,0.508333,-1.139621,0.885726,2.524243,-1.479261,0.908138,1.702545
62,0.516667,-1.139477,0.885732,2.524420,-1.479281,0.908132,1.702656
63,0.525000,-1.139344,0.885754,2.524568,-1.479310,0.908122,1.702759
64,0.533333,-1.139252,0.885774,2.524709,-1.479354,0.908120,1.702858
65,0.541667,-1.139191,0.885779,2.524851,-1.479409,0.908118,1.702952
66,0.550000,-1.139182,0.885778,2.524971,-1.479472,0.908112,1.703039
67,0.558333,-1.139221,0.885757,2.525066,-1.479550,0.908098,1.703125
68,0.566667,-1.139320,0.885711,2.525130,-1.479632,0.908086,1.703199
69,0.575000,-1.139459,0.885646,2.525148,-1.479713,0.908074,1.703269
70,0.583333,-1.139613,0.885596,2.525151,-1.479800,0.908064,1.703346
71,0.591667,-1.139790,0.885545,2.525117,-1.479886,0.908058,1.703421
72,0.600000,-1.139996,0.885492,2.525079,-1.479983,0.908058,1.703485
73,0.608333,-1.140220,0.885438,2.525053,-1.480088,0.908073,1.703546
74,0.616667,-1.140484,0.885378,2.525034,-1.480210,0.908086,1.703605
75,0.625000,-1.140762,0.885311,2.525023,-1.480335,0.908107,1.703653
76,0.633333,-1.141043,0.885228,2.525011,-1.480464,0.908136,1.703701
77,0.641667,-1.141342,0.885117,2.524966,-1.480589,0.908165,1.703745
78,0.650000,-1.141641,0.884962,2.524884,-1.480713,0.908203,1.703792
79,0.658333,-1.141946,0.884823,2.524805,-1.480833,0.908229,1.703855
80,0.666667,-1.142244,0.884675,2.524718,-1.480955,0.908250,1.703928
81,0.675000,-1.142546,0.884493,2.524654,-1.481061,0.908261,1.704011
82,0.683333,-1.142830,0.884315,2.524581,-1.481168,0.908259,1.704107
83,0.691667,-1.143088,0.884137,2.524487,-1.481271,0.908258,1.704205
84,0.700000,-1.143298,0.883978,2.524380,-1.481381,0.908272,1.704306
85,0.708333,-1.143456,0.883827,2.524282,-1.481485,0.908292,1.704412
86,0.716667,-1.143556,0.883743,2.524247,-1.481584,0.908331,1.704525
87,0.725000,-1.143600,0.883701,2.524257,-1.481685,0.908368,1.704647
88,0.733333,-1.143589,0.883688,2.524320,-1.481785,0.908400,1.704782
89,0.741667,-1.143533,0.883681,2.524437,-1.481885,0.908425,1.704921
90,0.750000,-1.143442,0.883709,2.524622,-1.481979,0.908443,1.705079
91,0.758333,-1.143292,0.883726,2.524834,-1.482071,0.908453,1.705243
92,0.766667,-1.143094,0.883769,2.525062,-1.482155,0.908468,1.705414
93,0.775000,-1.142855,0.883834,2.525318,-1.482229,0.908479,1.705585
94,0.783333,-1.142588,0.883900,2.525568,-1.482301,0.908493,1.705763
95,0.791667,-1.142300,0.883970,2.525835,-1.482372,0.908497,1.705943
96,0.800000,-1.142003,0.884017,2.526057,-1.482454,0.908497,1.706122
97,0.808333,-1.141695,0.884053,2.526256,-1.482544,0.908497,1.706306
98,0.816667,-1.141430,0.884042,2.526416,-1.482644,0.908504,1.706485
99,0.825000,-1.141182,0.884024,2.526545,-1.482755,0.908517,1.706663
100,0.833333,-1.140966,0.883979,2.526585,-1.482861,0.908538,1.706838
101,0.841667,-1.140804,0.883912,2.526521,-1.482975,0.908570,1.706995
102,0.850000,-1.140724,0.883810,2.526421,-1.483093,0.908589,1.707159
103,0.858333,-1.140687,0.883686,2.526280,-1.483215,0.908606,1.707314
104,0.866667,-1.140702,0.883585,2.526109,-1.483349,0.908611,1.707467
105,0.875000,-1.140765,0.883547,2.525982,-1.483486,0.908614,1.707603
106,0.883333,-1.140862,0.883572,2.525868,-1.483631,0.908618,1.707733
107,0.891667,-1.140967,0.883632,2.525759,-1.483775,0.908612,1.707866
108,0.900000,-1.141110,0.883727,2.525659,-1.483929,0.908605,1.707995
109,0.908333,-1.141273,0.883836,2.525545,-1.484081,0.908599,1.708111
110,0.916667,-1.141451,0.883970,2.525480,-1.484226,0.908579,1.708232
