Format Version,1.21,Take Name,ElonDanielBB1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 03.41.29.842 PM,Total Frames in Take,24583,Total Exported Frames,24583,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:582,Unlabeled:582,Unlabeled:582,Unlabeled:585,Unlabeled:585,Unlabeled:585
,,"8392B20CF49E3570246","8392B20CF49E3570246","8392B20CF49E3570246","8392B20CF49E3570249","8392B20CF49E3570249","8392B20CF49E3570249"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-1.159814,0.877914,2.557002,-1.470106,0.864549,2.044822
1,0.008333,-1.159863,0.877946,2.557222,-1.470086,0.864549,2.044836
2,0.016667,-1.159923,0.878006,2.557470,-1.470071,0.864546,2.044842
3,0.025000,-1.160023,0.878061,2.557757,-1.470053,0.864547,2.044843
4,0.033333,-1.160164,0.878134,2.558070,-1.470032,0.864552,2.044845
5,0.041667,-1.160291,0.878195,2.558337,-1.470004,0.864558,2.044844
6,0.050000,-1.160424,0.878253,2.558589,-1.469965,0.864568,2.044841
7,0.058333,-1.160540,0.878317,2.558800,-1.469921,0.864570,2.044837
8,0.066667,-1.160607,0.878385,2.558964,-1.469873,0.864573,2.044830
9,0.075000,-1.160615,0.878451,2.559077,-1.469825,0.864574,2.044812
10,0.083333,-1.160564,0.878498,2.559170,-1.469775,0.864572,2.044790
11,0.091667,-1.160452,0.878534,2.559234,-1.469735,0.864577,2.044767
12,0.100000,-1.160290,0.878548,2.559278,-1.469700,0.864577,2.044746
13,0.108333,-1.160090,0.878552,2.559306,-1.469670,0.864572,2.044724
14,0.116667,-1.159858,0.878546,2.559306,-1.469640,0.864565,2.044712
15,0.125000,-1.159615,0.878539,2.559281,-1.469618,0.864547,2.044703
16,0.133333,-1.159400,0.878529,2.559250,-1.469597,0.864534,2.044707
17,0.141667,-1.159204,0.878502,2.559202,-1.469585,0.864519,2.044709
18,0.150000,-1.159045,0.878450,2.559145,-1.469577,0.864508,2.044719
19,0.158333,-1.158919,0.878385,2.559096,-1.469576,0.864494,2.044730
20,0.166667,-1.158833,0.878317,2.559053,-1.469572,0.864485,2.044743
21,0.175000,-1.158778,0.878254,2.559021,-1.469568,0.864474,2.044752
22,0.183333,-1.158760,0.878209,2.559012,-1.469562,0.864463,2.044758
23,0.191667,-1.158757,0.878183,2.558994,-1.469552,0.864458,2.044758
24,0.200000,-1.158775,0.878185,2.559006,-1.469539,0.864456,2.044763
25,0.208333,-1.158809,0.878195,2.559032,-1.469520,0.864453,2.044764
26,0.216667,-1.158849,0.878212,2.559054,-1.469511,0.864448,2.044763
27,0.225000,-1.158896,0.878236,2.559075,-1.469485,0.864445,2.044760
28,0.233333,-1.158947,0.878244,2.559083,-1.469460,0.864434,2.044748
29,0.241667,-1.158985,0.878269,2.559061,-1.469415,0.864430,2.044733
30,0.250000,-1.158987,0.878283,2.559019,-1.469381,0.864430,2.044722
31,0.258333,-1.158977,0.878309,2.558953,-1.469327,0.864434,2.044710
32,0.266667,-1.158939,0.878341,2.558865,-1.469278,0.864441,2.044685
33,0.275000,-1.158881,0.878357,2.558785,-1.469224,0.864452,2.044666
34,0.283333,-1.158833,0.878377,2.558726,-1.469172,0.864459,2.044638
35,0.291667,-1.158777,0.878394,2.558663,-1.469112,0.864473,2.044592
36,0.300000,-1.158717,0.878428,2.558629,-1.469048,0.864486,2.044549
37,0.308333,-1.158660,0.878459,2.558589,-1.468978,0.864496,2.044495
38,0.316667,-1.158591,0.878493,2.558530,-1.468911,0.864514,2.044439
39,0.325000,-1.158510,0.878516,2.558436,-1.468836,0.864534,2.044378
40,0.333333,-1.158427,0.878526,2.558354,-1.468771,0.864547,2.044331
41,0.341667,-1.158335,0.878513,2.558245,-1.468714,0.864565,2.044293
