Format Version,1.21,Take Name,JohanAxelAA1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 01.53.00.876 PM,Total Frames in Take,30438,Total Exported Frames,30438,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:149,Unlabeled:149,Unlabeled:149,Unlabeled:154,Unlabeled:154,Unlabeled:154
,,"8392B20CF49E357095","8392B20CF49E357095","8392B20CF49E357095","8392B20CF49E35709A","8392B20CF49E35709A","8392B20CF49E35709A"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-1.495913,0.974189,1.714321,-1.107076,0.893955,2.872848
1,0.008333,-1.496013,0.974154,1.714279,-1.107134,0.893996,2.872985
2,0.016667,-1.496113,0.974116,1.714221,-1.107180,0.894038,2.873099
3,0.025000,-1.496212,0.974081,1.714153,-1.107219,0.894103,2.873195
4,0.033333,-1.496305,0.974051,1.714077,-1.107251,0.894165,2.873277
5,0.041667,-1.496393,0.974019,1.714000,-1.107294,0.894227,2.873352
6,0.050000,-1.496474,0.973990,1.713920,-1.107346,0.894263,2.873416
7,0.058333,-1.496548,0.973949,1.713850,-1.107419,0.894286,2.873470
8,0.066667,-1.496609,0.973906,1.713786,-1.107487,0.894295,2.873522
9,0.075000,-1.496657,0.973872,1.713730,-1.107548,0.894314,2.873549
10,0.083333,-1.496708,0.973849,1.713666,-1.107589,0.894352,2.873561
11,0.091667,-1.496752,0.973839,1.713599,-1.107612,0.894405,2.873558
12,0.100000,-1.496789,0.973843,1.713542,-1.107631,0.894450,2.873545
13,0.108333,-1.496830,0.973842,1.713482,-1.107667,0.894487,2.873529
14,0.116667,-1.496854,0.973848,1.713430,-1.107705,0.894501,2.873508
15,0.125000,-1.496871,0.973850,1.713389,-1.107748,0.894503,2.873487
16,0.133333,-1.496880,0.973853,1.713353,-1.107788,0.894514,2.873464
17,0.141667,-1.496880,0.973861,1.713315,-1.107808,0.894539,2.873431
18,0.150000,-1.496872,0.973885,1.713289,-1.107805,0.894583,2.873394
19,0.158333,-1.496860,0.973912,1.713255,-1.107800,0.894639,2.873352
20,0.166667,-1.496846,0.973944,1.713218,-1.107797,0.894682,2.873300
21,0.175000,-1.496824,0.973976,1.713178,-1.107802,0.894717,2.873249
22,0.183333,-1.496805,0.974002,1.713135,-1.107823,0.894737,2.873195
23,0.191667,-1.496783,0.974026,1.713093,-1.107844,0.894766,2.873133
24,0.200000,-1.496761,0.974058,1.713056,-1.107849,0.894797,2.873062
25,0.208333,-1.496740,0.974087,1.713026,-1.107845,0.894840,2.872988
26,0.216667,-1.496720,0.974116,1.713006,-1.107820,0.894879,2.872906
27,0.225000,-1.496710,0.974147,1.712985,-1.107797,0.894900,2.872819
28,0.233333,-1.496718,0.974178,1.712966,-1.107782,0.894909,2.872726
29,0.241667,-1.496738,0.974207,1.712936,-1.107765,0.894900,2.872636
30,0.250000,-1.496779,0.974218,1.712910,-1.107752,0.894876,2.872561
31,0.258333,-1.496828,0.974232,1.712876,-1.107740,0.894836,2.872476
32,0.266667,-1.496883,0.974243,1.712847,-1.107714,0.894799,2.872390
33,0.275000,-1.496947,0.974252,1.712826,-1.107688,0.894770,2.872312
34,0.283333,-1.497008,0.974260,1.712807,-1.107648,0.894743,2.872250
35,0.291667,-1.497082,0.974257,1.712797,-1.107611,0.894713,2.872189
36,0.300000,-1.497166,0.974252,1.712791,-1.107588,0.894672,2.872127
37,0.308333,-1.497255,0.974239,1.712784,-1.107567,0.894646,2.872073
38,0.316667,-1.497356,0.974225,1.712781,-1.107547,0.894622,2.872029
39,0.325000,-1.497456,0.974205,1.712777,-1.107530,0.894615,2.871996
40,0.333333,-1.497562,0.974196,1.712767,-1.107512,0.894616,2.871966
41,0.341667,-1.497660,0.974182,1.712762,-1.107484,0.894636,2.871951
42,0.350000,-1.497753,0.974162,1.712759,-1.107449,0.894666,2.871958
43,0.358333,-1.497845,0.974127,1.712766,-1.107417,0.894694,2.871974
44,0.366667,-1.497933,0.974088,1.712771,-1.107391,0.894726,2.872010
45,0.375000,-1.498017,0.974038,1.712776,-1.107361,0.894757,2.872061
46,0.383333,-1.498095,0.973995,1.712793,-1.107337,0.894780,2.872104
47,0.391667,-1.498166,0.973954,1.712813,-1.107326,0.894796,2.872144
48,0.400000,-1.498231,0.973921,1.712832,-1.107328,0.894819,2.872172
49,0.408333,-1.498288,0.973881,1.712860,-1.107324,0.894846,2.872182
50,0.416667,-1.498344,0.973839,1.712886,-1.107329,0.894868,2.872177
51,0.425000,-1.498386,0.973793,1.712914,-1.107335,0.894887,2.872167
52,0.433333,-1.498420,0.973747,1.712940,-1.107346,0.894890,2.872141
53,0.441667,-1.498435,0.973706,1.712977,-1.107359,0.894877,2.872121
54,0.450000,-1.498446,0.973666,1.713013,-1.107385,0.894849,2.872083
55,0.458333,-1.498445,0.973634,1.713057,-1.107412,0.894808,2.872035
56,0.466667,-1.498437,0.973606,1.713105,-1.107434,0.894761,2.871977
57,0.475000,-1.498426,0.973576,1.713163,-1.107446,0.894716,2.871918
58,0.483333,-1.498408,0.973545,1.713218,-1.107453,0.894668,2.871849
59,0.491667,-1.498391,0.973511,1.713276,-1.107450,0.894625,2.871782
60,0.500000,-1.498375,0.973476,1.713334,-1.107456,0.894586,2.871711
61,0.508333,-1.498363,0.973441,1.713384,-1.107460,0.894548,2.871650
62,0.516667,-1.498348,0.973403,1.713431,-1.107465,0.894514,2.871580
63,0.525000,-1.498341,0.973360,1.713468,-1.107464,0.894493,2.871521
64,0.533333,-1.498326,0.973312,1.713505,-1.107451,0.894469,2.871457
65,0.541667,-1.498313,0.973268,1.713546,-1.107436,0.894450,2.871394
66,0.550000,-1.498302,0.973228,1.713587,-1.107416,0.894424,2.871332
67,0.558333,-1.498291,0.973192,1.713635,-1.107399,0.894406,2.871279
68,0.566667,-1.498285,0.973155,1.713692,-1.107383,0.894379,2.871234
69,0.575000,-1.498291,0.973113,1.713747,-1.107370,0.894365,2.871196
70,0.583333,-1.498292,0.973062,1.713806,-1.107366,0.894356,2.871178
71,0.591667,-1.498304,0.973003,1.713849,-1.107356,0.894348,2.871168
72,0.600000,-1.498317,0.972932,1.713882,-1.107340,0.894345,2.871168
73,0.608333,-1.498336,0.972857,1.713905,-1.107333,0.894345,2.871176
74,0.616667,-1.498360,0.972778,1.713909,-1.107324,0.894345,2.871190
75,0.625000,-1.498387,0.972695,1.713903,-1.107314,0.894357,2.871221
76,0.633333,-1.498419,0.972610,1.713891,-1.107307,0.894364,2.871247
77,0.641667,-1.498447,0.972527,1.713881,-1.107301,0.894376,2.871283
78,0.650000,-1.498475,0.972442,1.713872,-1.107297,0.894396,2.871324
79,0.658333,-1.498508,0.972356,1.713868,-1.107287,0.894403,2.871369
80,0.666667,-1.498543,0.972283,1.713868,-1.107274,0.894412,2.871415
81,0.675000,-1.498590,0.972219,1.713849,-1.107274,0.894418,2.871459
82,0.683333,-1.498647,0.972162,1.713830,-1.107268,0.894422,2.871517
83,0.691667,-1.498717,0.972110,1.713796,-1.107263,0.894431,2.871578
84,0.700000,-1.498786,0.972069,1.713754,-1.107252,0.894443,2.871635
85,0.708333,-1.498865,0.972028,1.713687,-1.107239,0.894444,2.871682
86,0.716667,-1.498944,0.971992,1.713614,-1.107223,0.894462,2.871733
87,0.725000,-1.499016,0.971962,1.713539,-1.107202,0.894479,2.871774
88,0.733333,-1.499093,0.971933,1.713467,-1.107193,0.894500,2.871808
89,0.741667,-1.499154,0.971906,1.713408,-1.107187,0.894510,2.871843
90,0.750000,-1.499208,0.971871,1.713356,-1.107180,0.894524,2.871871
91,0.758333,-1.499251,0.971841,1.713308,-1.107167,0.894528,2.871893
92,0.766667,-1.499290,0.971812,1.713261,-1.107154,0.894526,2.871911
93,0.775000,-1.499323,0.971790,1.713214,-1.107138,0.894527,2.871935
94,0.783333,-1.499352,0.971779,1.713160,-1.107112,0.894517,2.871947
95,0.791667,-1.499384,0.971779,1.713101,-1.107083,0.894512,2.871979
96,0.800000,-1.499416,0.971776,1.713039,-1.107044,0.894508,2.871999
97,0.808333,-1.499446,0.971776,1.712973,-1.106997,0.894494,2.872014
98,0.816667,-1.499463,0.971770,1.712913,-1.106944,0.894489,2.872024
99,0.825000,-1.499474,0.971769,1.712858,-1.106890,0.894473,2.872026
100,0.833333,-1.499468,0.971771,1.712819,-1.106837,0.894448,2.872017
101,0.841667,-1.499457,0.971773,1.712788,-1.106789,0.894414,2.871996
102,0.850000,-1.499442,0.971784,1.712775,-1.106747,0.894377,2.871972
103,0.858333,-1.499418,0.971797,1.712769,-1.106701,0.894341,2.871943
104,0.866667,-1.499385,0.971807,1.712775,-1.106665,0.894302,2.871900
105,0.875000,-1.499346,0.971813,1.712788,-1.106625,0.894263,2.871850
106,0.883333,-1.499307,0.971812,1.712800,-1.106589,0.894222,2.871790
107,0.891667,-1.499270,0.971817,1.712802,-1.106560,0.894190,2.871730
108,0.900000,-1.499231,0.971822,1.712803,-1.106529,0.894163,2.871679
109,0.908333,-1.499191,0.971825,1.712807,-1.106518,0.894142,2.871639
110,0.916667,-1.499158,0.971828,1.712809,-1.106519,0.894128,2.871603
111,0.925000,-1.499117,0.971819,1.712826,-1.106532,0.894116,2.871581
112,0.933333,-1.499067,0.971802,1.712850,-1.106547,0.894103,2.871567
113,0.941667,-1.499017,0.971783,1.712893,-1.106564,0.894091,2.871559
114,0.950000,-1.498969,0.971767,1.712931,-1.106588,0.894083,2.871562
115,0.958333,-1.498924,0.971756,1.712976,-1.106617,0.894085,2.871564
116,0.966667,-1.498892,0.971749,1.713016,-1.106646,0.894085,2.871571
117,0.975000,-1.498866,0.971743,1.713055,-1.106684,0.894083,2.871574
118,0.983333,-1.498847,0.971729,1.713088,-1.106716,0.894076,2.871577
119,0.991667,-1.498836,0.971709,1.713115,-1.106735,0.894083,2.871578
120,1.000000,-1.498830,0.971687,1.713141,-1.106742,0.894082,2.871578
121,1.008333,-1.498831,0.971664,1.713152,-1.106747,0.894079,2.871563
122,1.016667,-1.498830,0.971646,1.713168,-1.106756,0.894070,2.871557
123,1.025000,-1.498837,0.971629,1.713188,-1.106750,0.894056,2.871565
124,1.033333,-1.498842,0.971605,1.713212,-1.106735,0.894049,2.871585
125,1.041667,-1.498852,0.971583,1.713235,-1.106703,0.894043,2.871608
126,1.050000,-1.498865,0.971561,1.713253,-1.106660,0.894044,2.871626
127,1.058333,-1.498887,0.971547,1.713262,-1.106615,0.894048,2.871640
128,1.066667,-1.498908,0.971537,1.713269,-1.106571,0.894041,2.871651
129,1.075000,-1.498945,0.971537,1.713258,-1.106550,0.894030,2.871667
130,1.083333,-1.498987,0.971535,1.713235,-1.106539,0.894016,2.871689
131,1.091667,-1.499031,0.971537,1.713206,-1.106533,0.893996,2.871716
132,1.100000,-1.499085,0.971530,1.713169,-1.106522,0.893976,2.871737
133,1.108333,-1.499134,0.971524,1.713134,-1.106510,0.893952,2.871758
134,1.116667,-1.499187,0.971512,1.713086,-1.106485,0.893942,2.871781
135,1.125000,-1.499240,0.971507,1.713034,-1.106459,0.893938,2.871809
136,1.133333,-1.499292,0.971508,1.712980,-1.106437,0.893928,2.871836
137,1.141667,-1.499352,0.971510,1.712920,-1.106425,0.893917,2.871863
138,1.150000,-1.499413,0.971506,1.712857,-1.106418,0.893896,2.871895
139,1.158333,-1.499470,0.971505,1.712803,-1.106402,0.893874,2.871934
140,1.166667,-1.499532,0.971499,1.712744,-1.106381,0.893850,2.871975
141,1.175000,-1.499592,0.971499,1.712692,-1.106359,0.893829,2.872005
142,1.183333,-1.499655,0.971502,1.712635,-1.106330,0.893804,2.872041
143,1.191667,-1.499726,0.971511,1.712570,-1.106308,0.893766,2.872077
144,1.200000,-1.499797,0.971523,1.712506,-1.106292,0.893710,2.872109
145,1.208333,-1.499865,0.971533,1.712439,-1.106290,0.893646,2.872142
146,1.216667,-1.499938,0.971541,1.712372,-1.106292,0.893577,2.872159
147,1.225000,-1.500005,0.971536,1.712317,-1.106285,0.893516,2.872165
148,1.233333,-1.500064,0.971538,1.712260,-1.106272,0.893470,2.872144
149,1.241667,-1.500116,0.971545,1.712217,-1.106262,0.893440,2.872086
150,1.250000,-1.500162,0.971557,1.712184,-1.106275,0.893426,2.871984
151,1.258333,-1.500210,0.971570,1.712157,-1.106321,0.893433,2.871852
152,1.266667,-1.500255,0.971576,1.712127,-1.106391,0.893461,2.871669
153,1.275000,-1.500301,0.971581,1.712102,-1.106500,0.893504,2.871429
154,1.283333,-1.500343,0.971578,1.712074,-1.106667,0.893586,2.871151
155,1.291667,-1.500387,0.971574,1.712036,-1.106916,0.893738,2.870823
156,1.300000,-1.500428,0.971571,1.711994,-1.107250,0.894009,2.870435
157,1.308333,-1.500465,0.971571,1.711951,-1.107648,0.894428,2.870017
