Format Version,1.21,Take Name,JohanAxelAB1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 02.11.19.068 PM,Total Frames in Take,29556,Total Exported Frames,29556,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:289,Unlabeled:289,Unlabeled:289,Unlabeled:291,Unlabeled:291,Unlabeled:291
,,"8392B20CF49E3570121","8392B20CF49E3570121","8392B20CF49E3570121","8392B20CF49E3570123","8392B20CF49E3570123","8392B20CF49E3570123"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-1.116409,0.901026,2.880642,-1.606933,0.894006,2.195227
1,0.008333,-1.116363,0.900951,2.880806,-1.604545,0.895058,2.194695
2,0.016667,-1.116332,0.900870,2.880913,-1.602250,0.896041,2.194086
3,0.025000,-1.116305,0.900822,2.881087,-1.600045,0.896948,2.193471
4,0.033333,-1.116223,0.900756,2.881205,-1.597914,0.897746,2.192774
5,0.041667,-1.116220,0.900706,2.881419,-1.595855,0.898510,2.192014
6,0.050000,-1.115959,0.900681,2.881679,-1.593859,0.899210,2.191201
7,0.058333,-1.115914,0.900632,2.881910,-1.591931,0.899876,2.190308
8,0.066667,-1.115749,0.900448,2.882181,-1.590010,0.900470,2.189357
9,0.075000,-1.115853,0.900550,2.882535,-1.588178,0.901039,2.188349
10,0.083333,-1.115949,0.900517,2.882809,-1.586365,0.901611,2.187263
11,0.091667,-1.116062,0.900460,2.883065,-1.584603,0.902128,2.186121
12,0.100000,-1.116220,0.900392,2.883306,-1.582934,0.902612,2.184942
13,0.108333,-1.116394,0.900297,2.883533,-1.581337,0.903061,2.183725
14,0.116667,-1.116612,0.900173,2.883780,-1.579860,0.903484,2.182497
15,0.125000,-1.116855,0.900033,2.884015,-1.578492,0.903860,2.181260
16,0.133333,-1.117095,0.899913,2.884243,-1.577243,0.904182,2.180034
17,0.141667,-1.117338,0.899811,2.884456,-1.576118,0.904465,2.178821
18,0.150000,-1.117552,0.899709,2.884640,-1.575154,0.904685,2.177617
19,0.158333,-1.117752,0.899613,2.884778,-1.574329,0.904820,2.176392
20,0.166667,-1.117947,0.899554,2.884920,-1.573693,0.904892,2.175165
21,0.175000,-1.118142,0.899513,2.885066,-1.573259,0.904897,2.173902
22,0.183333,-1.118319,0.899479,2.885198,-1.572977,0.904847,2.172628
23,0.191667,-1.118505,0.899471,2.885341,-1.572901,0.904750,2.171400
24,0.200000,-1.118658,0.899469,2.885473,-1.573026,0.904601,2.170143
25,0.208333,-1.118801,0.899480,2.885607,-1.573323,0.904434,2.168856
26,0.216667,-1.118921,0.899502,2.885737,-1.573825,0.904227,2.167562
27,0.225000,-1.119039,0.899542,2.885872,-1.574507,0.903997,2.166270
28,0.233333,-1.119161,0.899593,2.886017,-1.575417,0.903723,2.164987
29,0.241667,-1.119282,0.899629,2.886157,-1.576501,0.903413,2.163712
30,0.250000,-1.119397,0.899650,2.886310,-1.577753,0.903020,2.162445
31,0.258333,-1.119486,0.899685,2.886468,-1.579161,0.902588,2.161220
32,0.266667,-1.119517,0.899754,2.886655,-1.580734,0.902090,2.160030
33,0.275000,-1.119455,0.899866,2.886838,-1.582469,0.901559,2.158831
34,0.283333,-1.119400,0.899983,2.886990,-1.584353,0.900966,2.157687
35,0.291667,-1.119348,0.900078,2.887107,-1.586388,0.900327,2.156561
36,0.300000,-1.119318,0.900125,2.887216,-1.588576,0.899639,2.155478
37,0.308333,-1.119317,0.900077,2.887337,-1.590889,0.898928,2.154430
38,0.316667,-1.119323,0.899971,2.887469,-1.593284,0.898188,2.153367
39,0.325000,-1.119339,0.899817,2.887600,-1.595777,0.897451,2.152351
40,0.333333,-1.119341,0.899632,2.887750,-1.598365,0.896718,2.151363
