Format Version,1.21,Take Name,JohanAxelBA1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 02.06.19.135 PM,Total Frames in Take,30585,Total Exported Frames,30585,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:281,Unlabeled:281,Unlabeled:281,Unlabeled:289,Unlabeled:289,Unlabeled:289
,,"8392B20CF49E3570119","8392B20CF49E3570119","8392B20CF49E3570119","8392B20CF49E3570121","8392B20CF49E3570121","8392B20CF49E3570121"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-1.513556,0.936258,1.707894,-1.194126,0.907682,2.579173
1,0.008333,-1.513459,0.936221,1.707962,-1.194158,0.907666,2.579198
2,0.016667,-1.513362,0.936176,1.708034,-1.194185,0.907655,2.579213
3,0.025000,-1.513273,0.936125,1.708096,-1.194210,0.907645,2.579220
4,0.033333,-1.513182,0.936084,1.708151,-1.194224,0.907646,2.579208
5,0.041667,-1.513112,0.936045,1.708195,-1.194235,0.907643,2.579204
6,0.050000,-1.513050,0.936009,1.708236,-1.194248,0.907647,2.579212
7,0.058333,-1.512995,0.935968,1.708267,-1.194266,0.907645,2.579238
8,0.066667,-1.512936,0.935923,1.708305,-1.194285,0.907631,2.579255
9,0.075000,-1.512866,0.935875,1.708340,-1.194303,0.907609,2.579267
10,0.083333,-1.512791,0.935833,1.708375,-1.194320,0.907602,2.579275
11,0.091667,-1.512704,0.935802,1.708414,-1.194324,0.907595,2.579283
12,0.100000,-1.512623,0.935786,1.708449,-1.194321,0.907591,2.579281
13,0.108333,-1.512543,0.935768,1.708480,-1.194314,0.907583,2.579285
14,0.116667,-1.512464,0.935755,1.708502,-1.194317,0.907576,2.579290
15,0.125000,-1.512385,0.935732,1.708523,-1.194324,0.907560,2.579297
16,0.133333,-1.512305,0.935707,1.708525,-1.194339,0.907536,2.579299
17,0.141667,-1.512224,0.935688,1.708527,-1.194356,0.907509,2.579291
18,0.150000,-1.512143,0.935675,1.708515,-1.194373,0.907496,2.579287
19,0.158333,-1.512057,0.935670,1.708499,-1.194375,0.907492,2.579288
20,0.166667,-1.511969,0.935668,1.708484,-1.194364,0.907493,2.579282
21,0.175000,-1.511883,0.935662,1.708459,-1.194365,0.907494,2.579275
22,0.183333,-1.511791,0.935657,1.708433,-1.194377,0.907499,2.579276
23,0.191667,-1.511697,0.935652,1.708402,-1.194395,0.907496,2.579272
24,0.200000,-1.511609,0.935658,1.708361,-1.194417,0.907488,2.579267
25,0.208333,-1.511525,0.935672,1.708320,-1.194443,0.907480,2.579260
26,0.216667,-1.511446,0.935693,1.708268,-1.194459,0.907484,2.579253
27,0.225000,-1.511366,0.935723,1.708212,-1.194471,0.907493,2.579244
28,0.233333,-1.511278,0.935753,1.708163,-1.194476,0.907493,2.579222
29,0.241667,-1.511190,0.935781,1.708105,-1.194480,0.907491,2.579199
30,0.250000,-1.511096,0.935817,1.708052,-1.194480,0.907488,2.579185
31,0.258333,-1.511001,0.935858,1.707994,-1.194489,0.907477,2.579165
32,0.266667,-1.510914,0.935903,1.707934,-1.194493,0.907457,2.579153
33,0.275000,-1.510833,0.935958,1.707868,-1.194493,0.907452,2.579153
34,0.283333,-1.510751,0.936018,1.707793,-1.194475,0.907450,2.579140
35,0.291667,-1.510665,0.936078,1.707716,-1.194454,0.907459,2.579117
36,0.300000,-1.510581,0.936134,1.707644,-1.194440,0.907461,2.579100
37,0.308333,-1.510494,0.936191,1.707563,-1.194429,0.907458,2.579077
38,0.316667,-1.510409,0.936246,1.707492,-1.194420,0.907448,2.579059
39,0.325000,-1.510323,0.936291,1.707427,-1.194426,0.907436,2.579051
40,0.333333,-1.510237,0.936343,1.707367,-1.194431,0.907427,2.579055
41,0.341667,-1.510150,0.936389,1.707311,-1.194442,0.907422,2.579062
42,0.350000,-1.510059,0.936433,1.707244,-1.194429,0.907426,2.579048
43,0.358333,-1.509968,0.936469,1.707176,-1.194413,0.907434,2.579027
44,0.366667,-1.509875,0.936499,1.707100,-1.194398,0.907434,2.579005
45,0.375000,-1.509793,0.936528,1.707023,-1.194382,0.907430,2.578987
46,0.383333,-1.509715,0.936560,1.706944,-1.194378,0.907421,2.578978
47,0.391667,-1.509650,0.936587,1.706867,-1.194378,0.907408,2.578980
48,0.400000,-1.509575,0.936612,1.706797,-1.194375,0.907398,2.578983
49,0.408333,-1.509495,0.936638,1.706741,-1.194369,0.907403,2.578972
50,0.416667,-1.509406,0.936658,1.706677,-1.194350,0.907415,2.578954
51,0.425000,-1.509326,0.936688,1.706613,-1.194328,0.907418,2.578934
52,0.433333,-1.509263,0.936728,1.706540,-1.194316,0.907413,2.578914
53,0.441667,-1.509208,0.936775,1.706450,-1.194312,0.907404,2.578909
54,0.450000,-1.509163,0.936828,1.706360,-1.194314,0.907391,2.578909
55,0.458333,-1.509117,0.936874,1.706275,-1.194322,0.907387,2.578917
56,0.466667,-1.509066,0.936911,1.706195,-1.194323,0.907382,2.578913
57,0.475000,-1.509008,0.936949,1.706114,-1.194314,0.907376,2.578890
58,0.483333,-1.508945,0.936982,1.706038,-1.194308,0.907375,2.578859
59,0.491667,-1.508886,0.937022,1.705956,-1.194304,0.907366,2.578820
60,0.500000,-1.508833,0.937076,1.705883,-1.194317,0.907363,2.578794
61,0.508333,-1.508788,0.937124,1.705810,-1.194330,0.907350,2.578775
62,0.516667,-1.508752,0.937171,1.705730,-1.194355,0.907343,2.578779
63,0.525000,-1.508709,0.937225,1.705642,-1.194372,0.907335,2.578780
64,0.533333,-1.508662,0.937274,1.705549,-1.194384,0.907331,2.578779
65,0.541667,-1.508620,0.937325,1.705454,-1.194392,0.907303,2.578737
66,0.550000,-1.508577,0.937371,1.705366,-1.194413,0.907296,2.578733
67,0.558333,-1.508549,0.937419,1.705272,-1.194426,0.907308,2.578777
68,0.566667,-1.508514,0.937461,1.705186,-1.194448,0.907309,2.578788
69,0.575000,-1.508473,0.937491,1.705104,-1.194464,0.907287,2.578773
70,0.583333,-1.508426,0.937519,1.705019,-1.194477,0.907300,2.578832
71,0.591667,-1.508377,0.937549,1.704940,-1.194494,0.907279,2.578818
72,0.600000,-1.508322,0.937588,1.704858,-1.194500,0.907288,2.578856
73,0.608333,-1.508275,0.937627,1.704770,-1.194507,0.907270,2.578831
74,0.616667,-1.508228,0.937670,1.704689,-1.194510,0.907267,2.578823
75,0.625000,-1.508180,0.937709,1.704609,-1.194514,0.907268,2.578828
76,0.633333,-1.508137,0.937729,1.704537,-1.194527,0.907267,2.578835
77,0.641667,-1.508094,0.937747,1.704457,-1.194540,0.907259,2.578836
78,0.650000,-1.508062,0.937768,1.704360,-1.194544,0.907247,2.578837
79,0.658333,-1.508045,0.937785,1.704249,-1.194551,0.907235,2.578834
80,0.666667,-1.508050,0.937816,1.704130,-1.194550,0.907228,2.578825
81,0.675000,-1.508062,0.937843,1.704010,-1.194546,0.907226,2.578825
82,0.683333,-1.508083,0.937866,1.703893,-1.194540,0.907222,2.578819
83,0.691667,-1.508100,0.937888,1.703791,-1.194537,0.907214,2.578824
84,0.700000,-1.508113,0.937914,1.703708,-1.194534,0.907206,2.578825
85,0.708333,-1.508134,0.937937,1.703641,-1.194537,0.907186,2.578827
86,0.716667,-1.508161,0.937974,1.703584,-1.194542,0.907180,2.578837
87,0.725000,-1.508198,0.938015,1.703525,-1.194547,0.907172,2.578834
88,0.733333,-1.508247,0.938064,1.703472,-1.194551,0.907175,2.578844
89,0.741667,-1.508306,0.938116,1.703419,-1.194568,0.907178,2.578847
90,0.750000,-1.508365,0.938154,1.703368,-1.194577,0.907165,2.578838
91,0.758333,-1.508433,0.938190,1.703313,-1.194588,0.907162,2.578836
92,0.766667,-1.508496,0.938214,1.703254,-1.194602,0.907153,2.578829
93,0.775000,-1.508560,0.938233,1.703202,-1.194613,0.907150,2.578817
94,0.783333,-1.508621,0.938238,1.703162,-1.194622,0.907150,2.578808
95,0.791667,-1.508676,0.938237,1.703140,-1.194632,0.907155,2.578809
96,0.800000,-1.508721,0.938236,1.703124,-1.194655,0.907157,2.578807
97,0.808333,-1.508748,0.938225,1.703127,-1.194680,0.907154,2.578809
98,0.816667,-1.508779,0.938207,1.703140,-1.194710,0.907149,2.578815
99,0.825000,-1.508798,0.938188,1.703164,-1.194742,0.907145,2.578825
100,0.833333,-1.508820,0.938163,1.703194,-1.194768,0.907143,2.578833
101,0.841667,-1.508832,0.938139,1.703230,-1.194788,0.907151,2.578835
102,0.850000,-1.508852,0.938108,1.703274,-1.194806,0.907156,2.578838
103,0.858333,-1.508868,0.938072,1.703327,-1.194825,0.907162,2.578835
104,0.866667,-1.508883,0.938028,1.703394,-1.194845,0.907161,2.578846
105,0.875000,-1.508908,0.937978,1.703463,-1.194854,0.907145,2.578849
106,0.883333,-1.508937,0.937921,1.703531,-1.194870,0.907135,2.578848
107,0.891667,-1.508971,0.937868,1.703606,-1.194869,0.907140,2.578847
108,0.900000,-1.509009,0.937816,1.703680,-1.194866,0.907143,2.578828
109,0.908333,-1.509041,0.937764,1.703756,-1.194853,0.907155,2.578813
110,0.916667,-1.509076,0.937718,1.703851,-1.194844,0.907156,2.578795
111,0.925000,-1.509117,0.937671,1.703942,-1.194836,0.907147,2.578776
112,0.933333,-1.509162,0.937622,1.704040,-1.194822,0.907130,2.578760
113,0.941667,-1.509214,0.937575,1.704134,-1.194802,0.907112,2.578740
114,0.950000,-1.509273,0.937534,1.704220,-1.194783,0.907098,2.578721
115,0.958333,-1.509325,0.937489,1.704309,-1.194756,0.907092,2.578698
116,0.966667,-1.509375,0.937444,1.704397,-1.194724,0.907091,2.578661
117,0.975000,-1.509427,0.937395,1.704474,-1.194697,0.907086,2.578629
118,0.983333,-1.509469,0.937343,1.704553,-1.194667,0.907069,2.578609
119,0.991667,-1.509509,0.937287,1.704628,-1.194643,0.907052,2.578586
120,1.000000,-1.509542,0.937225,1.704718,-1.194614,0.907030,2.578565
121,1.008333,-1.509562,0.937163,1.704815,-1.194593,0.907007,2.578557
122,1.016667,-1.509573,0.937108,1.704926,-1.194567,0.906976,2.578546
123,1.025000,-1.509565,0.937062,1.705054,-1.194541,0.906962,2.578542
124,1.033333,-1.509551,0.937018,1.705193,-1.194526,0.906958,2.578557
125,1.041667,-1.509543,0.936973,1.705342,-1.194521,0.906939,2.578574
126,1.050000,-1.509535,0.936920,1.705490,-1.194516,0.906914,2.578595
127,1.058333,-1.509536,0.936856,1.705634,-1.194520,0.906901,2.578604
128,1.066667,-1.509532,0.936783,1.705776,-1.194536,0.906871,2.578627
129,1.075000,-1.509530,0.936696,1.705919,-1.194543,0.906858,2.578644
130,1.083333,-1.509523,0.936601,1.706072,-1.194551,0.906830,2.578653
131,1.091667,-1.509523,0.936492,1.706226,-1.194561,0.906817,2.578668
132,1.100000,-1.509520,0.936385,1.706387,-1.194570,0.906801,2.578677
133,1.108333,-1.509513,0.936276,1.706539,-1.194577,0.906783,2.578695
134,1.116667,-1.509506,0.936168,1.706687,-1.194590,0.906772,2.578714
135,1.125000,-1.509488,0.936071,1.706836,-1.194600,0.906773,2.578725
136,1.133333,-1.509459,0.935977,1.706983,-1.194605,0.906791,2.578750
137,1.141667,-1.509424,0.935896,1.707129,-1.194599,0.906827,2.578749
138,1.150000,-1.509390,0.935827,1.707275,-1.194584,0.906878,2.578712
139,1.158333,-1.509358,0.935769,1.707404,-1.194564,0.906955,2.578639
140,1.166667,-1.509331,0.935718,1.707525,-1.194541,0.907093,2.578522
141,1.175000,-1.509301,0.935676,1.707640,-1.194531,0.907316,2.578361
142,1.183333,-1.509283,0.935641,1.707738,-1.194623,0.907645,2.578166
143,1.191667,-1.509268,0.935605,1.707822,-1.194863,0.908112,2.577875
144,1.200000,-1.509262,0.935584,1.707877,-1.195265,0.908771,2.577482
145,1.208333,-1.509267,0.935569,1.707911,-1.195815,0.909549,2.576861
146,1.216667,-1.509278,0.935561,1.707929,-1.196646,0.910502,2.576074
147,1.225000,-1.509297,0.935559,1.707927,-1.197624,0.911621,2.575054
148,1.233333,-1.509310,0.935561,1.707922,-1.198850,0.913024,2.573880
