Format Version,1.21,Take Name,PatrikSimonAA1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 11.35.31.518 AM,Total Frames in Take,35063,Total Exported Frames,35063,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-1.091218,0.945855,2.852834,-1.510563,0.938582,1.661650
1,0.008333,-1.091045,0.945764,2.852861,-1.512183,0.938366,1.661512
2,0.016667,-1.090878,0.945671,2.852854,-1.513797,0.938223,1.661380
3,0.025000,-1.090719,0.945587,2.852815,-1.515339,0.938156,1.661252
4,0.033333,-1.090565,0.945513,2.852732,-1.516875,0.938168,1.661065
5,0.041667,-1.090426,0.945459,2.852602,-1.518280,0.938257,1.660868
6,0.050000,-1.090316,0.945442,2.852450,-1.519599,0.938416,1.660639
7,0.058333,-1.090216,0.945472,2.852251,-1.520783,0.938644,1.660413
8,0.066667,-1.090138,0.945565,2.852013,-1.521806,0.938895,1.660167
9,0.075000,-1.090083,0.945723,2.851710,-1.522688,0.939221,1.659911
10,0.083333,-1.090067,0.945915,2.851404,-1.523424,0.939573,1.659650
11,0.091667,-1.090080,0.946155,2.851069,-1.524010,0.939928,1.659391
12,0.100000,-1.090122,0.946443,2.850688,-1.524432,0.940277,1.659146
13,0.108333,-1.090186,0.946780,2.850334,-1.524710,0.940643,1.658876
14,0.116667,-1.090270,0.947173,2.849958,-1.524825,0.940987,1.658590
15,0.125000,-1.090373,0.947568,2.849552,-1.524785,0.941321,1.658285
16,0.133333,-1.090488,0.947953,2.849131,-1.524637,0.941650,1.657973
17,0.141667,-1.090622,0.948339,2.848713,-1.524393,0.942005,1.657658
18,0.150000,-1.090766,0.948693,2.848276,-1.524078,0.942407,1.657379
19,0.158333,-1.090930,0.948996,2.847870,-1.523727,0.942863,1.657127
20,0.166667,-1.091093,0.949243,2.847486,-1.523342,0.943388,1.656931
21,0.175000,-1.091262,0.949471,2.847110,-1.522954,0.943925,1.656753
22,0.183333,-1.091429,0.949661,2.846735,-1.522480,0.944530,1.656608
23,0.191667,-1.091593,0.949801,2.846383,-1.522008,0.945169,1.656443
24,0.200000,-1.091745,0.949875,2.846054,-1.521492,0.945734,1.656348
25,0.208333,-1.091882,0.949866,2.845716,-1.520913,0.946494,1.656114
26,0.216667,-1.092004,0.949780,2.845364,-1.520372,0.947140,1.655990
27,0.225000,-1.092108,0.949624,2.845033,-1.519820,0.947793,1.655912
28,0.233333,-1.092181,0.949409,2.844722,-1.519231,0.948460,1.655856
29,0.241667,-1.092232,0.949154,2.844405,-1.518647,0.949049,1.655807
30,0.250000,-1.092263,0.948859,2.844120,-1.518007,0.949640,1.655753
31,0.258333,-1.092263,0.948515,2.843868,-1.517353,0.950191,1.655708
32,0.266667,-1.092237,0.948130,2.843633,-1.516723,0.950660,1.655654
33,0.275000,-1.092212,0.947712,2.843449,-1.516059,0.951108,1.655639
34,0.283333,-1.092201,0.947301,2.843326,-1.515451,0.951503,1.655613
35,0.291667,-1.092169,0.946892,2.843235,-1.514896,0.951829,1.655583
36,0.300000,-1.092107,0.946482,2.843164,-1.514334,0.952116,1.655537
37,0.308333,-1.092014,0.946046,2.843096,-1.513805,0.952338,1.655488
38,0.316667,-1.091923,0.945629,2.843034,-1.513288,0.952495,1.655474
39,0.325000,-1.091843,0.945197,2.843008,-1.512806,0.952601,1.655457
40,0.333333,-1.091745,0.944790,2.842997,-1.512360,0.952647,1.655451
41,0.341667,-1.091624,0.944373,2.842999,-1.511961,0.952659,1.655452
42,0.350000,-1.091520,0.943975,2.843006,-1.511628,0.952643,1.655454
43,0.358333,-1.091416,0.943592,2.843049,-1.511365,0.952601,1.655469
44,0.366667,-1.091297,0.943225,2.843115,-1.511155,0.952527,1.655486
45,0.375000,-1.091161,0.942899,2.843218,-1.510998,0.952416,1.655507
46,0.383333,-1.091009,0.942613,2.843358,-1.510881,0.952260,1.655529
47,0.391667,-1.090861,0.942394,2.843517,-1.510811,0.952059,1.655553
48,0.400000,-1.090690,0.942209,2.843725,-1.510774,0.951822,1.655578
49,0.408333,-1.090518,0.942058,2.843981,-1.510777,0.951556,1.655609
50,0.416667,-1.090338,0.941928,2.844236,-1.510810,0.951261,1.655637
51,0.425000,-1.090155,0.941824,2.844522,-1.510865,0.950956,1.655683
52,0.433333,-1.089976,0.941734,2.844804,-1.510944,0.950642,1.655736
53,0.441667,-1.089776,0.941661,2.845136,-1.511051,0.950320,1.655781
54,0.450000,-1.089571,0.941598,2.845490,-1.511199,0.949969,1.655799
55,0.458333,-1.089370,0.941546,2.845846,-1.511394,0.949595,1.655789
56,0.466667,-1.089172,0.941482,2.846212,-1.511603,0.949219,1.655763
57,0.475000,-1.088967,0.941398,2.846612,-1.511827,0.948866,1.655716
58,0.483333,-1.088771,0.941304,2.847031,-1.512075,0.948530,1.655642
59,0.491667,-1.088575,0.941199,2.847441,-1.512352,0.948187,1.655556
60,0.500000,-1.088394,0.941082,2.847842,-1.512713,0.947829,1.655529
61,0.508333,-1.088215,0.940951,2.848280,-1.512918,0.947556,1.655409
62,0.516667,-1.088058,0.940816,2.848696,-1.513139,0.947254,1.655308
63,0.525000,-1.087924,0.940662,2.849099,-1.513338,0.946961,1.655223
64,0.533333,-1.087819,0.940473,2.849516,-1.513512,0.946676,1.655144
65,0.541667,-1.087735,0.940264,2.849908,-1.513671,0.946407,1.655069
66,0.550000,-1.087668,0.940048,2.850312,-1.513817,0.946158,1.654987
67,0.558333,-1.087632,0.939844,2.850705,-1.513963,0.945935,1.654891
68,0.566667,-1.087618,0.939653,2.851087,-1.514100,0.945732,1.654798
69,0.575000,-1.087614,0.939448,2.851470,-1.514220,0.945549,1.654709
70,0.583333,-1.087639,0.939258,2.851854,-1.514309,0.945377,1.654639
71,0.591667,-1.087657,0.939063,2.852217,-1.514381,0.945205,1.654580
72,0.600000,-1.087700,0.938904,2.852603,-1.514409,0.945013,1.654545
73,0.608333,-1.087776,0.938780,2.852980,-1.514397,0.944801,1.654536
74,0.616667,-1.087857,0.938679,2.853357,-1.514357,0.944557,1.654546
75,0.625000,-1.087956,0.938591,2.853763,-1.514284,0.944285,1.654570
76,0.633333,-1.088060,0.938523,2.854145,-1.514193,0.943966,1.654602
77,0.641667,-1.088163,0.938478,2.854533,-1.514083,0.943601,1.654655
78,0.650000,-1.088264,0.938456,2.854918,-1.513962,0.943195,1.654728
79,0.658333,-1.088371,0.938464,2.855304,-1.513864,0.942773,1.654817
80,0.666667,-1.088480,0.938479,2.855647,-1.513797,0.942371,1.654914
81,0.675000,-1.088592,0.938521,2.855985,-1.513785,0.941982,1.655004
82,0.683333,-1.088716,0.938584,2.856320,-1.513806,0.941622,1.655103
83,0.691667,-1.088836,0.938642,2.856633,-1.513847,0.941254,1.655209
84,0.700000,-1.088959,0.938712,2.856950,-1.513900,0.940896,1.655326
85,0.708333,-1.089076,0.938786,2.857213,-1.513967,0.940551,1.655456
86,0.716667,-1.089203,0.938882,2.857499,-1.514025,0.940225,1.655591
87,0.725000,-1.089337,0.938982,2.857767,-1.514076,0.939917,1.655745
88,0.733333,-1.089481,0.939076,2.858017,-1.514130,0.939638,1.655886
89,0.741667,-1.089630,0.939178,2.858278,-1.514188,0.939377,1.656007
90,0.750000,-1.089774,0.939263,2.858518,-1.514252,0.939138,1.656117
91,0.758333,-1.089912,0.939342,2.858732,-1.514311,0.938918,1.656212
92,0.766667,-1.090040,0.939422,2.858935,-1.514354,0.938733,1.656284
93,0.775000,-1.090181,0.939503,2.859149,-1.514409,0.938571,1.656325
94,0.783333,-1.090329,0.939587,2.859359,-1.514451,0.938433,1.656352
95,0.791667,-1.090489,0.939653,2.859569,-1.514475,0.938317,1.656369
96,0.800000,-1.090659,0.939712,2.859779,-1.514490,0.938216,1.656383
97,0.808333,-1.090810,0.939760,2.859962,-1.514489,0.938129,1.656395
98,0.816667,-1.090971,0.939798,2.860136,-1.514484,0.938046,1.656393
99,0.825000,-1.091120,0.939832,2.860291,-1.514486,0.937959,1.656388
100,0.833333,-1.091278,0.939874,2.860449,-1.514492,0.937859,1.656377
101,0.841667,-1.091426,0.939904,2.860592,-1.514500,0.937747,1.656362
102,0.850000,-1.091566,0.939932,2.860728,-1.514515,0.937624,1.656342
103,0.858333,-1.091707,0.939956,2.860865,-1.514532,0.937489,1.656319
104,0.866667,-1.091839,0.939960,2.860981,-1.514556,0.937347,1.656295
105,0.875000,-1.091964,0.939959,2.861106,-1.514594,0.937205,1.656279
106,0.883333,-1.092070,0.939961,2.861233,-1.514641,0.937076,1.656271
107,0.891667,-1.092169,0.939971,2.861367,-1.514716,0.936944,1.656269
108,0.900000,-1.092258,0.939981,2.861505,-1.514798,0.936813,1.656283
109,0.908333,-1.092349,0.940005,2.861657,-1.514889,0.936676,1.656310
