Format Version,1.21,Take Name,PatrikSimonAB1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 11.49.28.635 AM,Total Frames in Take,33162,Total Exported Frames,33162,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-1.132258,0.960376,2.864732,-1.496592,0.939690,2.035297
1,0.008333,-1.132710,0.960630,2.864712,-1.496319,0.939495,2.035641
2,0.016667,-1.133160,0.960868,2.864692,-1.496038,0.939232,2.035948
3,0.025000,-1.133622,0.961087,2.864649,-1.495737,0.938877,2.036209
4,0.033333,-1.134077,0.961255,2.864568,-1.495393,0.938466,2.036439
5,0.041667,-1.134550,0.961394,2.864456,-1.495039,0.937979,2.036629
6,0.050000,-1.135022,0.961529,2.864330,-1.494628,0.937437,2.036746
7,0.058333,-1.135452,0.961637,2.864183,-1.494201,0.936870,2.036754
8,0.066667,-1.135864,0.961749,2.864033,-1.493724,0.936214,2.036689
9,0.075000,-1.136242,0.961856,2.863861,-1.493218,0.935540,2.036573
10,0.083333,-1.136593,0.961994,2.863673,-1.492661,0.934845,2.036350
11,0.091667,-1.136920,0.962145,2.863507,-1.492061,0.934167,2.035985
12,0.100000,-1.137223,0.962302,2.863328,-1.491448,0.933552,2.035497
13,0.108333,-1.137484,0.962478,2.863145,-1.490833,0.933003,2.034851
14,0.116667,-1.137726,0.962666,2.862965,-1.490234,0.932546,2.034088
15,0.125000,-1.137931,0.962864,2.862801,-1.489674,0.932180,2.033221
16,0.133333,-1.138121,0.963065,2.862636,-1.489182,0.931869,2.032311
17,0.141667,-1.138288,0.963268,2.862481,-1.488697,0.931606,2.031435
18,0.150000,-1.138428,0.963476,2.862332,-1.488268,0.931370,2.030612
19,0.158333,-1.138612,0.963685,2.862197,-1.487827,0.931151,2.029853
20,0.166667,-1.138739,0.963873,2.862082,-1.487428,0.930979,2.029112
21,0.175000,-1.138873,0.964055,2.861964,-1.487047,0.930843,2.028459
22,0.183333,-1.139019,0.964210,2.861846,-1.486685,0.930749,2.027815
23,0.191667,-1.139153,0.964349,2.861737,-1.486374,0.930718,2.027197
24,0.200000,-1.139282,0.964453,2.861616,-1.486056,0.930740,2.026606
25,0.208333,-1.139402,0.964543,2.861491,-1.485809,0.930816,2.026040
26,0.216667,-1.139501,0.964626,2.861359,-1.485609,0.930939,2.025491
27,0.225000,-1.139574,0.964700,2.861214,-1.485431,0.931078,2.024981
28,0.233333,-1.139623,0.964772,2.861075,-1.485264,0.931248,2.024467
29,0.241667,-1.139652,0.964848,2.860940,-1.485071,0.931425,2.023970
30,0.250000,-1.139651,0.964926,2.860790,-1.484859,0.931576,2.023460
31,0.258333,-1.139622,0.965012,2.860617,-1.484637,0.931706,2.022990
32,0.266667,-1.139556,0.965115,2.860426,-1.484390,0.931848,2.022572
33,0.275000,-1.139451,0.965220,2.860226,-1.484146,0.931998,2.022136
34,0.283333,-1.139322,0.965345,2.860027,-1.483891,0.932132,2.021683
35,0.291667,-1.139191,0.965461,2.859811,-1.483624,0.932260,2.021234
36,0.300000,-1.139039,0.965572,2.859587,-1.483337,0.932385,2.020781
37,0.308333,-1.138889,0.965682,2.859380,-1.483034,0.932517,2.020271
38,0.316667,-1.138720,0.965781,2.859154,-1.482694,0.932647,2.019734
39,0.325000,-1.138534,0.965870,2.858918,-1.482325,0.932769,2.019180
40,0.333333,-1.138349,0.965965,2.858674,-1.481961,0.932925,2.018653
41,0.341667,-1.138157,0.966069,2.858421,-1.481629,0.933060,2.018135
42,0.350000,-1.137962,0.966183,2.858176,-1.481272,0.933183,2.017591
43,0.358333,-1.137753,0.966308,2.857930,-1.480926,0.933282,2.017067
44,0.366667,-1.137537,0.966436,2.857668,-1.480589,0.933345,2.016595
45,0.375000,-1.137315,0.966563,2.857373,-1.480250,0.933374,2.016093
46,0.383333,-1.137100,0.966686,2.857085,-1.479930,0.933384,2.015580
47,0.391667,-1.136884,0.966804,2.856797,-1.479603,0.933364,2.015090
48,0.400000,-1.136667,0.966935,2.856480,-1.479284,0.933296,2.014577
49,0.408333,-1.136453,0.967067,2.856165,-1.478994,0.933243,2.014070
50,0.416667,-1.136228,0.967192,2.855855,-1.478752,0.933184,2.013603
51,0.425000,-1.136012,0.967287,2.855544,-1.478545,0.933115,2.013131
52,0.433333,-1.135825,0.967369,2.855253,-1.478359,0.933023,2.012661
53,0.441667,-1.135633,0.967434,2.854948,-1.478197,0.932947,2.012198
54,0.450000,-1.135448,0.967495,2.854661,-1.478060,0.932872,2.011750
55,0.458333,-1.135268,0.967542,2.854389,-1.477958,0.932759,2.011291
56,0.466667,-1.135115,0.967594,2.854098,-1.477903,0.932636,2.010905
57,0.475000,-1.134963,0.967641,2.853816,-1.477887,0.932485,2.010566
58,0.483333,-1.134829,0.967693,2.853545,-1.477894,0.932283,2.010241
59,0.491667,-1.134709,0.967740,2.853262,-1.477941,0.932032,2.009930
60,0.500000,-1.134598,0.967788,2.852981,-1.478008,0.931744,2.009621
61,0.508333,-1.134516,0.967843,2.852726,-1.478119,0.931426,2.009314
62,0.516667,-1.134441,0.967899,2.852487,-1.478251,0.931087,2.009020
63,0.525000,-1.134387,0.967950,2.852281,-1.478404,0.930720,2.008656
64,0.533333,-1.134349,0.968005,2.852092,-1.478578,0.930373,2.008276
65,0.541667,-1.134320,0.968073,2.851920,-1.478764,0.930037,2.007846
66,0.550000,-1.134306,0.968137,2.851767,-1.478967,0.929697,2.007418
67,0.558333,-1.134312,0.968199,2.851653,-1.479171,0.929320,2.007016
68,0.566667,-1.134347,0.968259,2.851571,-1.479375,0.928926,2.006664
69,0.575000,-1.134403,0.968324,2.851522,-1.479585,0.928503,2.006348
70,0.583333,-1.134467,0.968390,2.851492,-1.479789,0.928071,2.006067
71,0.591667,-1.134548,0.968468,2.851481,-1.479981,0.927612,2.005805
72,0.600000,-1.134625,0.968563,2.851477,-1.480166,0.927148,2.005572
73,0.608333,-1.134713,0.968658,2.851475,-1.480349,0.926687,2.005373
74,0.616667,-1.134822,0.968742,2.851472,-1.480522,0.926258,2.005156
75,0.625000,-1.134967,0.968814,2.851482,-1.480721,0.925824,2.004940
76,0.633333,-1.135136,0.968876,2.851496,-1.480941,0.925424,2.004745
77,0.641667,-1.135328,0.968935,2.851513,-1.481182,0.925038,2.004560
78,0.650000,-1.135520,0.969002,2.851529,-1.481419,0.924679,2.004406
79,0.658333,-1.135717,0.969078,2.851540,-1.481643,0.924332,2.004253
80,0.666667,-1.135915,0.969152,2.851523,-1.481862,0.924017,2.004096
81,0.675000,-1.136131,0.969242,2.851506,-1.482077,0.923723,2.003965
82,0.683333,-1.136364,0.969347,2.851484,-1.482309,0.923432,2.003848
83,0.691667,-1.136598,0.969456,2.851450,-1.482554,0.923148,2.003736
84,0.700000,-1.136847,0.969576,2.851405,-1.482786,0.922891,2.003626
85,0.708333,-1.137091,0.969699,2.851339,-1.483024,0.922638,2.003499
86,0.716667,-1.137339,0.969815,2.851268,-1.483266,0.922395,2.003372
87,0.725000,-1.137588,0.969933,2.851214,-1.483510,0.922151,2.003253
88,0.733333,-1.137830,0.970031,2.851153,-1.483735,0.921910,2.003145
89,0.741667,-1.138066,0.970117,2.851101,-1.483956,0.921667,2.003034
90,0.750000,-1.138307,0.970193,2.851055,-1.484153,0.921440,2.002921
91,0.758333,-1.138557,0.970273,2.851027,-1.484328,0.921220,2.002808
92,0.766667,-1.138807,0.970363,2.851014,-1.484499,0.920995,2.002705
93,0.775000,-1.139037,0.970448,2.850996,-1.484662,0.920766,2.002606
94,0.783333,-1.139238,0.970539,2.850988,-1.484811,0.920526,2.002493
95,0.791667,-1.139424,0.970633,2.850990,-1.484949,0.920279,2.002398
96,0.800000,-1.139602,0.970729,2.850997,-1.485074,0.920032,2.002311
97,0.808333,-1.139775,0.970829,2.851032,-1.485189,0.919786,2.002224
98,0.816667,-1.139948,0.970919,2.851079,-1.485286,0.919550,2.002154
99,0.825000,-1.140102,0.971005,2.851138,-1.485371,0.919306,2.002102
100,0.833333,-1.140250,0.971094,2.851212,-1.485455,0.919065,2.002071
101,0.841667,-1.140383,0.971176,2.851295,-1.485550,0.918828,2.002079
102,0.850000,-1.140512,0.971262,2.851380,-1.485639,0.918591,2.002101
103,0.858333,-1.140619,0.971326,2.851461,-1.485735,0.918363,2.002150
104,0.866667,-1.140720,0.971388,2.851562,-1.485832,0.918152,2.002199
105,0.875000,-1.140814,0.971427,2.851665,-1.485920,0.917950,2.002242
106,0.883333,-1.140908,0.971443,2.851783,-1.486007,0.917748,2.002277
107,0.891667,-1.140981,0.971450,2.851906,-1.486097,0.917535,2.002304
108,0.900000,-1.141044,0.971456,2.852043,-1.486179,0.917342,2.002322
109,0.908333,-1.141086,0.971457,2.852180,-1.486266,0.917166,2.002338
