Format Version,1.21,Take Name,PatrikSimonBB1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 11.55.48.292 AM,Total Frames in Take,29342,Total Exported Frames,29342,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-1.135554,0.921020,2.521531,-1.489776,0.903269,2.004506
1,0.008333,-1.135668,0.921078,2.521560,-1.489758,0.903284,2.004496
2,0.016667,-1.135666,0.921058,2.521590,-1.489729,0.903295,2.004486
3,0.025000,-1.135653,0.921044,2.521613,-1.489691,0.903312,2.004473
4,0.033333,-1.135527,0.920933,2.521630,-1.489648,0.903328,2.004453
5,0.041667,-1.135502,0.920914,2.521638,-1.489612,0.903341,2.004438
6,0.050000,-1.135587,0.920968,2.521656,-1.489596,0.903353,2.004429
7,0.058333,-1.135469,0.920814,2.521685,-1.489593,0.903357,2.004434
8,0.066667,-1.135461,0.920754,2.521712,-1.489589,0.903356,2.004444
9,0.075000,-1.135441,0.920693,2.521730,-1.489576,0.903348,2.004454
10,0.083333,-1.135395,0.920620,2.521732,-1.489541,0.903343,2.004467
11,0.091667,-1.135445,0.920633,2.521726,-1.489500,0.903332,2.004482
12,0.100000,-1.135374,0.920539,2.521714,-1.489449,0.903335,2.004499
13,0.108333,-1.135314,0.920429,2.521710,-1.489409,0.903344,2.004545
14,0.116667,-1.135255,0.920304,2.521695,-1.489384,0.903345,2.004615
15,0.125000,-1.135189,0.920158,2.521685,-1.489353,0.903351,2.004691
16,0.133333,-1.135117,0.920011,2.521661,-1.489320,0.903363,2.004769
17,0.141667,-1.135016,0.919872,2.521614,-1.489274,0.903389,2.004832
18,0.150000,-1.134793,0.919639,2.521588,-1.489215,0.903427,2.004897
19,0.158333,-1.134672,0.919523,2.521537,-1.489154,0.903472,2.004966
20,0.166667,-1.134562,0.919413,2.521493,-1.489105,0.903521,2.005042
21,0.175000,-1.134568,0.919407,2.521455,-1.489070,0.903562,2.005119
22,0.183333,-1.134477,0.919298,2.521441,-1.489036,0.903598,2.005201
23,0.191667,-1.134394,0.919192,2.521427,-1.489004,0.903624,2.005272
24,0.200000,-1.134296,0.919105,2.521411,-1.488970,0.903655,2.005336
25,0.208333,-1.134193,0.919030,2.521389,-1.488926,0.903700,2.005382
26,0.216667,-1.133988,0.918872,2.521374,-1.488875,0.903752,2.005416
27,0.225000,-1.133882,0.918818,2.521345,-1.488831,0.903808,2.005443
28,0.233333,-1.133794,0.918758,2.521344,-1.488793,0.903846,2.005483
29,0.241667,-1.133724,0.918693,2.521356,-1.488770,0.903873,2.005521
30,0.250000,-1.133657,0.918630,2.521361,-1.488753,0.903894,2.005554
31,0.258333,-1.133583,0.918575,2.521372,-1.488719,0.903913,2.005577
32,0.266667,-1.133496,0.918539,2.521369,-1.488677,0.903938,2.005590
33,0.275000,-1.133518,0.918620,2.521354,-1.488620,0.903964,2.005610
34,0.283333,-1.133443,0.918593,2.521348,-1.488572,0.903988,2.005633
35,0.291667,-1.133383,0.918557,2.521362,-1.488533,0.903996,2.005666
36,0.300000,-1.133337,0.918509,2.521374,-1.488505,0.904000,2.005710
37,0.308333,-1.133304,0.918451,2.521387,-1.488482,0.903996,2.005756
38,0.316667,-1.133264,0.918389,2.521385,-1.488450,0.903993,2.005793
39,0.325000,-1.133218,0.918335,2.521373,-1.488407,0.903996,2.005831
40,0.333333,-1.133168,0.918294,2.521356,-1.488371,0.904008,2.005860
41,0.341667,-1.133116,0.918258,2.521343,-1.488338,0.904025,2.005889
42,0.350000,-1.133067,0.918224,2.521335,-1.488315,0.904044,2.005917
43,0.358333,-1.132933,0.918088,2.521349,-1.488309,0.904061,2.005948
44,0.366667,-1.132915,0.918050,2.521370,-1.488317,0.904079,2.005984
45,0.375000,-1.132892,0.918011,2.521389,-1.488315,0.904092,2.006018
46,0.383333,-1.132867,0.917980,2.521395,-1.488308,0.904122,2.006050
47,0.391667,-1.132830,0.917958,2.521393,-1.488289,0.904155,2.006091
48,0.400000,-1.132794,0.917942,2.521388,-1.488268,0.904201,2.006143
49,0.408333,-1.132763,0.917928,2.521395,-1.488249,0.904253,2.006207
50,0.416667,-1.132744,0.917904,2.521402,-1.488219,0.904301,2.006271
51,0.425000,-1.132738,0.917876,2.521414,-1.488193,0.904327,2.006350
52,0.433333,-1.132738,0.917845,2.521432,-1.488160,0.904356,2.006420
53,0.441667,-1.132740,0.917825,2.521441,-1.488119,0.904380,2.006486
54,0.450000,-1.132736,0.917821,2.521446,-1.488080,0.904414,2.006550
55,0.458333,-1.132725,0.917821,2.521451,-1.488040,0.904450,2.006614
56,0.466667,-1.132719,0.917824,2.521454,-1.488002,0.904490,2.006672
57,0.475000,-1.132721,0.917825,2.521463,-1.487963,0.904522,2.006728
58,0.483333,-1.132728,0.917827,2.521476,-1.487925,0.904541,2.006789
59,0.491667,-1.132730,0.917829,2.521488,-1.487882,0.904555,2.006839
60,0.500000,-1.132750,0.917836,2.521497,-1.487838,0.904563,2.006879
61,0.508333,-1.132757,0.917848,2.521504,-1.487793,0.904585,2.006914
62,0.516667,-1.132763,0.917860,2.521503,-1.487753,0.904623,2.006928
63,0.525000,-1.132762,0.917872,2.521502,-1.487707,0.904671,2.006926
64,0.533333,-1.132769,0.917881,2.521482,-1.487654,0.904727,2.006918
65,0.541667,-1.132776,0.917894,2.521477,-1.487603,0.904779,2.006893
66,0.550000,-1.132787,0.917910,2.521476,-1.487557,0.904824,2.006853
67,0.558333,-1.132806,0.917930,2.521468,-1.487517,0.904873,2.006801
68,0.566667,-1.132810,0.917945,2.521468,-1.487482,0.904926,2.006730
69,0.575000,-1.132818,0.917962,2.521463,-1.487445,0.904979,2.006647
70,0.583333,-1.132834,0.917987,2.521458,-1.487416,0.905033,2.006557
71,0.591667,-1.132847,0.918013,2.521457,-1.487383,0.905067,2.006450
72,0.600000,-1.132871,0.918034,2.521458,-1.487359,0.905094,2.006345
73,0.608333,-1.132898,0.918049,2.521445,-1.487335,0.905107,2.006227
74,0.616667,-1.133039,0.918161,2.521421,-1.487323,0.905116,2.006090
75,0.625000,-1.133088,0.918161,2.521408,-1.487312,0.905117,2.005934
76,0.633333,-1.133117,0.918158,2.521388,-1.487308,0.905117,2.005769
77,0.641667,-1.133138,0.918163,2.521391,-1.487298,0.905104,2.005595
78,0.650000,-1.133140,0.918162,2.521383,-1.487289,0.905094,2.005401
79,0.658333,-1.133140,0.918175,2.521375,-1.487286,0.905099,2.005201
80,0.666667,-1.133135,0.918179,2.521372,-1.487278,0.905104,2.004996
81,0.675000,-1.133129,0.918185,2.521358,-1.487259,0.905110,2.004782
82,0.683333,-1.133119,0.918183,2.521329,-1.487242,0.905122,2.004572
83,0.691667,-1.133112,0.918176,2.521312,-1.487215,0.905139,2.004365
84,0.700000,-1.133102,0.918169,2.521290,-1.487185,0.905143,2.004167
85,0.708333,-1.133096,0.918155,2.521271,-1.487139,0.905142,2.003979
86,0.716667,-1.132989,0.918048,2.521262,-1.487077,0.905140,2.003791
87,0.725000,-1.132980,0.918036,2.521238,-1.487001,0.905153,2.003613
88,0.733333,-1.132974,0.918033,2.521236,-1.486923,0.905174,2.003441
89,0.741667,-1.132959,0.918031,2.521230,-1.486839,0.905199,2.003282
90,0.750000,-1.132945,0.918031,2.521234,-1.486754,0.905237,2.003136
91,0.758333,-1.132935,0.918032,2.521240,-1.486651,0.905286,2.002993
92,0.766667,-1.132929,0.918037,2.521236,-1.486544,0.905334,2.002870
93,0.775000,-1.132903,0.918032,2.521242,-1.486436,0.905392,2.002768
94,0.783333,-1.132870,0.918032,2.521235,-1.486321,0.905457,2.002669
95,0.791667,-1.132839,0.918038,2.521228,-1.486197,0.905521,2.002587
96,0.800000,-1.132809,0.918044,2.521215,-1.486074,0.905585,2.002525
97,0.808333,-1.132780,0.918048,2.521209,-1.485953,0.905642,2.002477
98,0.816667,-1.132756,0.918063,2.521213,-1.485847,0.905696,2.002443
99,0.825000,-1.132732,0.918068,2.521219,-1.485749,0.905740,2.002414
100,0.833333,-1.132710,0.918077,2.521222,-1.485654,0.905778,2.002384
101,0.841667,-1.132693,0.918097,2.521233,-1.485575,0.905798,2.002372
102,0.850000,-1.132679,0.918118,2.521234,-1.485505,0.905814,2.002374
103,0.858333,-1.132667,0.918149,2.521239,-1.485460,0.905820,2.002380
104,0.866667,-1.132667,0.918187,2.521245,-1.485445,0.905826,2.002390
105,0.875000,-1.132677,0.918228,2.521251,-1.485451,0.905821,2.002400
106,0.883333,-1.132695,0.918273,2.521273,-1.485481,0.905800,2.002412
107,0.891667,-1.132717,0.918321,2.521288,-1.485529,0.905761,2.002429
108,0.900000,-1.132748,0.918375,2.521292,-1.485606,0.905698,2.002447
109,0.908333,-1.132779,0.918431,2.521296,-1.485691,0.905620,2.002460
