Format Version,1.21,Take Name,SimonPatrikAA1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 12.05.33.222 AM,Total Frames in Take,28958,Total Exported Frames,28958,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-1.503072,0.985172,1.765258,-1.136232,0.895542,2.892219
1,0.008333,-1.503033,0.985200,1.765111,-1.136237,0.895550,2.892080
2,0.016667,-1.503018,0.985247,1.764939,-1.136278,0.895554,2.891890
3,0.025000,-1.503016,0.985296,1.764753,-1.136344,0.895552,2.891644
4,0.033333,-1.503030,0.985345,1.764548,-1.136450,0.895544,2.891326
5,0.041667,-1.503054,0.985399,1.764321,-1.136602,0.895528,2.890929
6,0.050000,-1.503084,0.985454,1.764077,-1.136766,0.895502,2.890487
7,0.058333,-1.503111,0.985514,1.763839,-1.136950,0.895468,2.890063
8,0.066667,-1.503136,0.985567,1.763602,-1.137129,0.895458,2.889678
9,0.075000,-1.503159,0.985622,1.763346,-1.137262,0.895483,2.889387
10,0.083333,-1.503177,0.985685,1.763068,-1.137338,0.895555,2.889180
11,0.091667,-1.503193,0.985739,1.762787,-1.137333,0.895676,2.889022
12,0.100000,-1.503226,0.985784,1.762504,-1.137274,0.895829,2.888922
13,0.108333,-1.503256,0.985828,1.762242,-1.137187,0.896008,2.888845
14,0.116667,-1.503298,0.985882,1.761970,-1.137093,0.896185,2.888797
15,0.125000,-1.503363,0.985941,1.761659,-1.137001,0.896386,2.888791
16,0.133333,-1.503447,0.986004,1.761325,-1.136917,0.896632,2.888859
17,0.141667,-1.503544,0.986051,1.760966,-1.136817,0.896922,2.888978
18,0.150000,-1.503631,0.986089,1.760604,-1.136658,0.897254,2.889153
19,0.158333,-1.503719,0.986120,1.760250,-1.136498,0.897649,2.889373
20,0.166667,-1.503798,0.986156,1.759892,-1.136320,0.898120,2.889629
21,0.175000,-1.503885,0.986207,1.759535,-1.136099,0.898641,2.889965
22,0.183333,-1.503968,0.986264,1.759182,-1.135941,0.899135,2.890270
23,0.191667,-1.504068,0.986329,1.758836,-1.135820,0.899614,2.890582
24,0.200000,-1.504166,0.986398,1.758507,-1.135761,0.900101,2.890934
25,0.208333,-1.504258,0.986454,1.758206,-1.135742,0.900569,2.891259
26,0.216667,-1.504351,0.986507,1.757916,-1.135746,0.901061,2.891589
27,0.225000,-1.504443,0.986561,1.757633,-1.135776,0.901561,2.891937
28,0.233333,-1.504543,0.986625,1.757332,-1.135840,0.902060,2.892339
29,0.241667,-1.504652,0.986676,1.757032,-1.135907,0.902589,2.892795
30,0.250000,-1.504778,0.986704,1.756741,-1.135968,0.903163,2.893311
31,0.258333,-1.504922,0.986696,1.756448,-1.136057,0.903762,2.893900
32,0.266667,-1.505071,0.986643,1.756172,-1.136117,0.904382,2.894560
33,0.275000,-1.505227,0.986567,1.755870,-1.136171,0.905035,2.895270
34,0.283333,-1.505388,0.986476,1.755558,-1.136226,0.905694,2.895982
35,0.291667,-1.505562,0.986377,1.755188,-1.136290,0.906392,2.896719
36,0.300000,-1.505756,0.986262,1.754804,-1.136383,0.907081,2.897421
37,0.308333,-1.505964,0.986142,1.754407,-1.136495,0.907775,2.898134
38,0.316667,-1.506169,0.986015,1.754019,-1.136631,0.908496,2.898812
39,0.325000,-1.506377,0.985876,1.753613,-1.136747,0.909195,2.899465
40,0.333333,-1.506572,0.985747,1.753214,-1.136837,0.909920,2.900116
41,0.341667,-1.506771,0.985635,1.752801,-1.136939,0.910646,2.900645
42,0.350000,-1.506953,0.985550,1.752418,-1.137015,0.911385,2.901194
43,0.358333,-1.507137,0.985484,1.752065,-1.137029,0.912117,2.901728
44,0.366667,-1.507332,0.985429,1.751738,-1.137063,0.912837,2.902195
45,0.375000,-1.507531,0.985390,1.751433,-1.136972,0.913508,2.902582
46,0.383333,-1.507741,0.985374,1.751125,-1.136924,0.914129,2.903000
47,0.391667,-1.507962,0.985367,1.750824,-1.136977,0.914673,2.903275
48,0.400000,-1.508195,0.985387,1.750532,-1.137096,0.915178,2.903522
49,0.408333,-1.508436,0.985424,1.750258,-1.137109,0.915641,2.903666
50,0.416667,-1.508713,0.985477,1.749990,-1.137089,0.916000,2.903749
51,0.425000,-1.509011,0.985521,1.749722,-1.137049,0.916274,2.903736
52,0.433333,-1.509324,0.985550,1.749467,-1.136961,0.916479,2.903680
53,0.441667,-1.509645,0.985552,1.749209,-1.136828,0.916622,2.903585
54,0.450000,-1.509974,0.985537,1.748953,-1.136636,0.916706,2.903450
55,0.458333,-1.510318,0.985498,1.748689,-1.136408,0.916737,2.903304
56,0.466667,-1.510676,0.985438,1.748390,-1.136142,0.916715,2.903159
57,0.475000,-1.511049,0.985361,1.748101,-1.135856,0.916628,2.903012
58,0.483333,-1.511425,0.985265,1.747799,-1.135559,0.916483,2.902862
59,0.491667,-1.511814,0.985144,1.747504,-1.135228,0.916276,2.902708
60,0.500000,-1.512195,0.984987,1.747212,-1.134900,0.916036,2.902559
61,0.508333,-1.512580,0.984827,1.746912,-1.134566,0.915764,2.902420
62,0.516667,-1.512957,0.984662,1.746605,-1.134183,0.915471,2.902292
63,0.525000,-1.513363,0.984488,1.746303,-1.133789,0.915200,2.902187
64,0.533333,-1.513747,0.984320,1.746025,-1.133368,0.914955,2.902101
65,0.541667,-1.514138,0.984151,1.745728,-1.132946,0.914713,2.902031
66,0.550000,-1.514529,0.983973,1.745428,-1.132502,0.914470,2.901977
67,0.558333,-1.514907,0.983785,1.745128,-1.132118,0.914254,2.901933
68,0.566667,-1.515278,0.983604,1.744854,-1.131782,0.914057,2.901879
69,0.575000,-1.515645,0.983424,1.744603,-1.131465,0.913868,2.901802
70,0.583333,-1.515980,0.983263,1.744387,-1.131209,0.913706,2.901720
71,0.591667,-1.516319,0.983116,1.744183,-1.131002,0.913543,2.901617
72,0.600000,-1.516645,0.982982,1.744003,-1.130850,0.913387,2.901499
73,0.608333,-1.516953,0.982844,1.743852,-1.130743,0.913220,2.901380
74,0.616667,-1.517263,0.982706,1.743701,-1.130679,0.913068,2.901261
75,0.625000,-1.517549,0.982575,1.743566,-1.130631,0.912922,2.901143
76,0.633333,-1.517821,0.982459,1.743446,-1.130598,0.912792,2.901034
77,0.641667,-1.518083,0.982365,1.743335,-1.130580,0.912673,2.900945
78,0.650000,-1.518329,0.982289,1.743231,-1.130592,0.912573,2.900861
79,0.658333,-1.518549,0.982217,1.743139,-1.130650,0.912464,2.900792
80,0.666667,-1.518745,0.982150,1.743043,-1.130759,0.912340,2.900723
81,0.675000,-1.518914,0.982083,1.742960,-1.130942,0.912202,2.900638
82,0.683333,-1.519063,0.982006,1.742874,-1.131135,0.912061,2.900589
83,0.691667,-1.519199,0.981939,1.742795,-1.131325,0.911896,2.900546
84,0.700000,-1.519306,0.981875,1.742719,-1.131569,0.911771,2.900538
85,0.708333,-1.519390,0.981819,1.742651,-1.131806,0.911658,2.900528
86,0.716667,-1.519453,0.981765,1.742579,-1.132037,0.911575,2.900526
87,0.725000,-1.519487,0.981708,1.742520,-1.132245,0.911531,2.900519
88,0.733333,-1.519499,0.981647,1.742467,-1.132447,0.911502,2.900491
89,0.741667,-1.519477,0.981589,1.742415,-1.132666,0.911471,2.900433
90,0.750000,-1.519434,0.981541,1.742365,-1.132893,0.911459,2.900361
91,0.758333,-1.519357,0.981504,1.742322,-1.133115,0.911473,2.900318
92,0.766667,-1.519252,0.981479,1.742282,-1.133311,0.911516,2.900310
93,0.775000,-1.519123,0.981457,1.742249,-1.133482,0.911571,2.900324
94,0.783333,-1.518971,0.981443,1.742214,-1.133614,0.911638,2.900360
95,0.791667,-1.518804,0.981426,1.742176,-1.133713,0.911708,2.900411
96,0.800000,-1.518625,0.981420,1.742143,-1.133768,0.911801,2.900488
97,0.808333,-1.518426,0.981434,1.742085,-1.133597,0.911919,2.900556
98,0.816667,-1.518227,0.981463,1.742023,-1.133492,0.912047,2.900646
99,0.825000,-1.518043,0.981499,1.741956,-1.133273,0.912200,2.900767
100,0.833333,-1.517870,0.981555,1.741887,-1.132862,0.912344,2.900863
101,0.841667,-1.517719,0.981626,1.741795,-1.132537,0.912508,2.900922
102,0.850000,-1.517585,0.981702,1.741709,-1.132169,0.912680,2.900974
103,0.858333,-1.517467,0.981792,1.741613,-1.131774,0.912801,2.900972
104,0.866667,-1.517360,0.981884,1.741524,-1.131370,0.912893,2.900959
105,0.875000,-1.517262,0.981984,1.741450,-1.130949,0.912961,2.900933
106,0.883333,-1.517177,0.982073,1.741378,-1.130467,0.913005,2.900898
107,0.891667,-1.517090,0.982152,1.741329,-1.129989,0.913038,2.900827
108,0.900000,-1.517004,0.982211,1.741295,-1.129488,0.913058,2.900728
109,0.908333,-1.516921,0.982258,1.741274,-1.129008,0.913063,2.900607
