Format Version,1.21,Take Name,SimonPatrikAB1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 12.14.28.254 AM,Total Frames in Take,28384,Total Exported Frames,28384,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-1.459994,0.923164,2.017882,-1.122797,0.938768,2.856326
1,0.008333,-1.459965,0.923191,2.017867,-1.122777,0.938690,2.856982
2,0.016667,-1.459935,0.923205,2.017842,-1.122715,0.938547,2.857610
3,0.025000,-1.459903,0.923218,2.017804,-1.122627,0.938382,2.858263
4,0.033333,-1.459871,0.923226,2.017755,-1.122487,0.938199,2.858920
5,0.041667,-1.459844,0.923239,2.017691,-1.122284,0.937996,2.859602
6,0.050000,-1.459818,0.923247,2.017619,-1.122046,0.937797,2.860282
7,0.058333,-1.459789,0.923250,2.017545,-1.121745,0.937554,2.860946
8,0.066667,-1.459771,0.923243,2.017449,-1.121398,0.937328,2.861593
9,0.075000,-1.459760,0.923224,2.017349,-1.121018,0.937064,2.862254
10,0.083333,-1.459747,0.923216,2.017246,-1.120618,0.936782,2.862850
11,0.091667,-1.459741,0.923202,2.017137,-1.120173,0.936482,2.863473
12,0.100000,-1.459740,0.923189,2.017022,-1.119658,0.936185,2.864069
13,0.108333,-1.459740,0.923172,2.016890,-1.119113,0.935867,2.864700
14,0.116667,-1.459749,0.923153,2.016768,-1.118508,0.935569,2.865364
15,0.125000,-1.459755,0.923123,2.016637,-1.117859,0.935287,2.866068
16,0.133333,-1.459768,0.923096,2.016508,-1.117168,0.935009,2.866762
17,0.141667,-1.459781,0.923064,2.016372,-1.116412,0.934736,2.867465
18,0.150000,-1.459792,0.923038,2.016241,-1.115665,0.934504,2.868141
19,0.158333,-1.459816,0.923013,2.016105,-1.114960,0.934282,2.868823
20,0.166667,-1.459834,0.922991,2.015991,-1.114261,0.934060,2.869483
21,0.175000,-1.459857,0.922959,2.015888,-1.113653,0.933860,2.870142
22,0.183333,-1.459868,0.922929,2.015786,-1.113058,0.933714,2.870811
23,0.191667,-1.459884,0.922892,2.015697,-1.112535,0.933612,2.871528
24,0.200000,-1.459901,0.922856,2.015604,-1.112053,0.933590,2.872252
25,0.208333,-1.459914,0.922822,2.015514,-1.111588,0.933606,2.872965
26,0.216667,-1.459932,0.922783,2.015422,-1.111228,0.933684,2.873640
27,0.225000,-1.459945,0.922751,2.015340,-1.110890,0.933817,2.874281
28,0.233333,-1.459958,0.922713,2.015258,-1.110646,0.933976,2.874903
29,0.241667,-1.459971,0.922675,2.015176,-1.110482,0.934144,2.875479
30,0.250000,-1.459986,0.922640,2.015094,-1.110368,0.934321,2.876029
31,0.258333,-1.460003,0.922602,2.015018,-1.110343,0.934492,2.876521
32,0.266667,-1.460019,0.922560,2.014939,-1.110383,0.934654,2.876961
33,0.275000,-1.460042,0.922524,2.014858,-1.110484,0.934802,2.877361
34,0.283333,-1.460065,0.922491,2.014777,-1.110619,0.934946,2.877709
35,0.291667,-1.460095,0.922460,2.014689,-1.110774,0.935080,2.878003
36,0.300000,-1.460126,0.922426,2.014603,-1.110920,0.935199,2.878237
37,0.308333,-1.460158,0.922389,2.014522,-1.111084,0.935305,2.878445
38,0.316667,-1.460193,0.922355,2.014435,-1.111252,0.935381,2.878608
39,0.325000,-1.460224,0.922328,2.014360,-1.111434,0.935414,2.878752
40,0.333333,-1.460262,0.922305,2.014285,-1.111596,0.935397,2.878892
41,0.341667,-1.460304,0.922290,2.014202,-1.111729,0.935350,2.879036
42,0.350000,-1.460340,0.922278,2.014139,-1.111816,0.935273,2.879188
43,0.358333,-1.460376,0.922263,2.014081,-1.111856,0.935174,2.879339
44,0.366667,-1.460409,0.922251,2.014025,-1.111854,0.935024,2.879407
45,0.375000,-1.460434,0.922235,2.013979,-1.111823,0.934867,2.879515
46,0.383333,-1.460455,0.922228,2.013940,-1.111768,0.934675,2.879604
47,0.391667,-1.460475,0.922223,2.013909,-1.111695,0.934454,2.879687
48,0.400000,-1.460493,0.922218,2.013887,-1.111479,0.934216,2.879772
49,0.408333,-1.460513,0.922217,2.013874,-1.111384,0.933974,2.879879
50,0.416667,-1.460529,0.922215,2.013876,-1.111280,0.933719,2.880000
51,0.425000,-1.460545,0.922213,2.013883,-1.111172,0.933447,2.880150
52,0.433333,-1.460551,0.922218,2.013898,-1.110937,0.933157,2.880399
53,0.441667,-1.460553,0.922225,2.013917,-1.110870,0.932940,2.880610
54,0.450000,-1.460556,0.922240,2.013944,-1.110822,0.932691,2.880752
55,0.458333,-1.460550,0.922264,2.013986,-1.110811,0.932477,2.880919
56,0.466667,-1.460539,0.922292,2.014027,-1.110821,0.932297,2.881106
57,0.475000,-1.460520,0.922320,2.014084,-1.110844,0.932124,2.881306
58,0.483333,-1.460495,0.922348,2.014146,-1.110898,0.931973,2.881487
59,0.491667,-1.460462,0.922385,2.014215,-1.110988,0.931853,2.881656
60,0.500000,-1.460421,0.922435,2.014288,-1.111130,0.931763,2.881804
61,0.508333,-1.460372,0.922490,2.014367,-1.111313,0.931715,2.881943
62,0.516667,-1.460317,0.922550,2.014463,-1.111543,0.931694,2.882041
63,0.525000,-1.460264,0.922617,2.014567,-1.111795,0.931727,2.882108
64,0.533333,-1.460208,0.922692,2.014669,-1.112072,0.931800,2.882145
65,0.541667,-1.460145,0.922762,2.014780,-1.112363,0.931911,2.882168
66,0.550000,-1.460080,0.922837,2.014884,-1.112673,0.932065,2.882181
67,0.558333,-1.460019,0.922929,2.014997,-1.112979,0.932254,2.882189
68,0.566667,-1.459962,0.923032,2.015119,-1.113274,0.932465,2.882177
69,0.575000,-1.459907,0.923155,2.015258,-1.113790,0.932666,2.882103
70,0.583333,-1.459862,0.923272,2.015398,-1.114426,0.932884,2.882018
71,0.591667,-1.459814,0.923379,2.015540,-1.114777,0.933055,2.881855
72,0.600000,-1.459768,0.923485,2.015681,-1.115115,0.933205,2.881715
73,0.608333,-1.459725,0.923591,2.015835,-1.115476,0.933321,2.881478
74,0.616667,-1.459691,0.923696,2.015989,-1.115763,0.933412,2.881236
75,0.625000,-1.459665,0.923800,2.016145,-1.116008,0.933513,2.881011
76,0.633333,-1.459642,0.923894,2.016312,-1.116216,0.933608,2.880799
77,0.641667,-1.459628,0.923971,2.016494,-1.116400,0.933693,2.880593
78,0.650000,-1.459616,0.924034,2.016686,-1.116552,0.933752,2.880363
79,0.658333,-1.459567,0.924144,2.016984,-1.116668,0.933783,2.880141
80,0.666667,-1.459570,0.924185,2.017190,-1.116774,0.933798,2.879912
81,0.675000,-1.459593,0.924212,2.017401,-1.116869,0.933801,2.879676
82,0.683333,-1.459626,0.924225,2.017617,-1.116948,0.933780,2.879421
83,0.691667,-1.459685,0.924233,2.017845,-1.117009,0.933748,2.879167
84,0.700000,-1.459749,0.924223,2.018075,-1.117062,0.933717,2.878921
85,0.708333,-1.459825,0.924185,2.018321,-1.117082,0.933690,2.878681
86,0.716667,-1.459911,0.924135,2.018558,-1.117068,0.933664,2.878429
87,0.725000,-1.460009,0.924053,2.018809,-1.117016,0.933649,2.878161
88,0.733333,-1.460129,0.923957,2.019056,-1.116947,0.933637,2.877895
89,0.741667,-1.460261,0.923860,2.019292,-1.116872,0.933636,2.877650
90,0.750000,-1.460393,0.923758,2.019508,-1.116774,0.933636,2.877419
91,0.758333,-1.460524,0.923638,2.019711,-1.116668,0.933627,2.877201
92,0.766667,-1.460662,0.923508,2.019917,-1.116572,0.933625,2.877008
93,0.775000,-1.460797,0.923371,2.020108,-1.116455,0.933620,2.876833
94,0.783333,-1.460944,0.923244,2.020286,-1.116329,0.933633,2.876674
95,0.791667,-1.461097,0.923120,2.020446,-1.116204,0.933673,2.876543
96,0.800000,-1.461246,0.923011,2.020598,-1.116065,0.933728,2.876435
97,0.808333,-1.461392,0.922899,2.020736,-1.115934,0.933807,2.876354
98,0.816667,-1.461532,0.922783,2.020861,-1.115792,0.933910,2.876297
99,0.825000,-1.461663,0.922658,2.020970,-1.115649,0.934033,2.876261
100,0.833333,-1.461783,0.922538,2.021070,-1.115500,0.934178,2.876241
101,0.841667,-1.461900,0.922429,2.021157,-1.115357,0.934332,2.876240
102,0.850000,-1.462008,0.922334,2.021227,-1.115219,0.934503,2.876251
103,0.858333,-1.462126,0.922242,2.021281,-1.115088,0.934682,2.876276
104,0.866667,-1.462224,0.922162,2.021310,-1.114968,0.934835,2.876298
105,0.875000,-1.462313,0.922091,2.021316,-1.114853,0.934976,2.876319
106,0.883333,-1.462397,0.922023,2.021294,-1.114747,0.935120,2.876361
107,0.891667,-1.462476,0.921974,2.021256,-1.114638,0.935264,2.876417
108,0.900000,-1.462553,0.921932,2.021202,-1.114533,0.935407,2.876480
109,0.908333,-1.462639,0.921899,2.021138,-1.114449,0.935523,2.876545
