Format Version,1.21,Take Name,SimonPatrikBA1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 12.09.56.339 AM,Total Frames in Take,28946,Total Exported Frames,28946,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-1.550696,0.949254,1.711621,-1.178559,0.894765,2.578001
1,0.008333,-1.550615,0.949077,1.708866,-1.178281,0.894585,2.578310
2,0.016667,-1.550367,0.948865,1.706200,-1.177905,0.894427,2.578680
3,0.025000,-1.549925,0.948646,1.703645,-1.177446,0.894340,2.579095
4,0.033333,-1.549261,0.948416,1.701254,-1.176862,0.894293,2.579512
5,0.041667,-1.548386,0.948171,1.699006,-1.176242,0.894286,2.579884
6,0.050000,-1.547224,0.947881,1.696935,-1.175574,0.894265,2.580209
7,0.058333,-1.545822,0.947535,1.695096,-1.174887,0.894236,2.580516
8,0.066667,-1.544173,0.947129,1.693508,-1.174177,0.894211,2.580781
9,0.075000,-1.542323,0.946643,1.692233,-1.173449,0.894144,2.581056
10,0.083333,-1.540372,0.946134,1.691294,-1.172724,0.894073,2.581328
11,0.091667,-1.538463,0.945610,1.690647,-1.171981,0.894012,2.581532
12,0.100000,-1.536686,0.945088,1.690248,-1.171212,0.893987,2.581731
13,0.108333,-1.535173,0.944674,1.689992,-1.170463,0.893978,2.581948
14,0.116667,-1.534062,0.944443,1.689709,-1.169752,0.894029,2.582159
15,0.125000,-1.533300,0.944441,1.689249,-1.169055,0.894107,2.582407
16,0.133333,-1.532853,0.944639,1.688563,-1.168372,0.894219,2.582649
17,0.141667,-1.532652,0.945074,1.687610,-1.167790,0.894338,2.582941
18,0.150000,-1.532656,0.945705,1.686479,-1.167246,0.894455,2.583242
19,0.158333,-1.532838,0.946552,1.685237,-1.166724,0.894576,2.583518
20,0.166667,-1.533106,0.947573,1.683968,-1.166279,0.894688,2.583747
21,0.175000,-1.533415,0.948732,1.682746,-1.165852,0.894838,2.583911
22,0.183333,-1.533733,0.949938,1.681692,-1.165426,0.894991,2.583976
23,0.191667,-1.533957,0.951110,1.680789,-1.165039,0.895100,2.583911
24,0.200000,-1.534046,0.952231,1.680106,-1.164670,0.895178,2.583783
25,0.208333,-1.533966,0.953237,1.679597,-1.164286,0.895236,2.583579
26,0.216667,-1.533751,0.954135,1.679240,-1.163910,0.895304,2.583350
27,0.225000,-1.533411,0.954939,1.678975,-1.163561,0.895367,2.583128
28,0.233333,-1.532926,0.955640,1.678813,-1.163237,0.895439,2.582931
29,0.241667,-1.532391,0.956232,1.678668,-1.162930,0.895496,2.582767
30,0.250000,-1.531786,0.956789,1.678599,-1.162666,0.895509,2.582615
31,0.258333,-1.531147,0.957315,1.678599,-1.162433,0.895475,2.582443
32,0.266667,-1.530589,0.957803,1.678621,-1.162204,0.895416,2.582246
33,0.275000,-1.530083,0.958326,1.678680,-1.161983,0.895334,2.582040
34,0.283333,-1.529649,0.958864,1.678765,-1.161783,0.895232,2.581834
35,0.291667,-1.529327,0.959360,1.678868,-1.161579,0.895132,2.581638
36,0.300000,-1.529080,0.959869,1.679051,-1.161375,0.895034,2.581463
37,0.308333,-1.528905,0.960346,1.679296,-1.161163,0.894934,2.581300
38,0.316667,-1.528782,0.960762,1.679580,-1.160921,0.894832,2.581143
39,0.325000,-1.528686,0.961122,1.679923,-1.160669,0.894733,2.581014
40,0.333333,-1.528607,0.961434,1.680336,-1.160443,0.894622,2.580911
41,0.341667,-1.528521,0.961681,1.680817,-1.160223,0.894483,2.580838
42,0.350000,-1.528425,0.961833,1.681318,-1.160009,0.894346,2.580786
43,0.358333,-1.528343,0.961890,1.681910,-1.159800,0.894211,2.580719
44,0.366667,-1.528263,0.961862,1.682577,-1.159581,0.894088,2.580654
45,0.375000,-1.528164,0.961772,1.683258,-1.159374,0.893983,2.580587
46,0.383333,-1.528063,0.961643,1.683951,-1.159178,0.893899,2.580534
47,0.391667,-1.527970,0.961471,1.684681,-1.159004,0.893814,2.580510
48,0.400000,-1.527851,0.961275,1.685408,-1.158868,0.893730,2.580539
49,0.408333,-1.527722,0.961056,1.686172,-1.158759,0.893647,2.580583
50,0.416667,-1.527541,0.960809,1.686942,-1.158669,0.893578,2.580636
51,0.425000,-1.527341,0.960564,1.687735,-1.158582,0.893527,2.580690
52,0.433333,-1.527068,0.960295,1.688561,-1.158503,0.893491,2.580749
53,0.441667,-1.526722,0.960001,1.689383,-1.158442,0.893473,2.580804
54,0.450000,-1.526303,0.959656,1.690257,-1.158398,0.893450,2.580858
55,0.458333,-1.525809,0.959277,1.691109,-1.158386,0.893408,2.580915
56,0.466667,-1.525263,0.958817,1.692013,-1.158404,0.893366,2.580982
57,0.475000,-1.524605,0.958234,1.692946,-1.158420,0.893325,2.581041
58,0.483333,-1.523899,0.957575,1.693892,-1.158438,0.893282,2.581093
59,0.491667,-1.523170,0.956837,1.694908,-1.158456,0.893250,2.581136
60,0.500000,-1.522456,0.956069,1.695902,-1.158473,0.893231,2.581166
61,0.508333,-1.521749,0.955302,1.696916,-1.158497,0.893223,2.581204
62,0.516667,-1.521083,0.954559,1.697885,-1.158537,0.893214,2.581245
63,0.525000,-1.520491,0.953861,1.698846,-1.158581,0.893209,2.581293
64,0.533333,-1.519978,0.953282,1.699708,-1.158646,0.893216,2.581342
65,0.541667,-1.519575,0.952813,1.700557,-1.158706,0.893222,2.581382
66,0.550000,-1.519257,0.952489,1.701319,-1.158767,0.893237,2.581425
67,0.558333,-1.519048,0.952334,1.702002,-1.158824,0.893258,2.581470
68,0.566667,-1.518900,0.952317,1.702642,-1.158869,0.893288,2.581501
69,0.575000,-1.518816,0.952408,1.703214,-1.158906,0.893322,2.581535
70,0.583333,-1.518808,0.952598,1.703765,-1.158941,0.893359,2.581556
71,0.591667,-1.518831,0.952827,1.704324,-1.158975,0.893381,2.581568
72,0.600000,-1.518865,0.953074,1.704878,-1.159002,0.893393,2.581554
73,0.608333,-1.518882,0.953326,1.705478,-1.159015,0.893398,2.581524
74,0.616667,-1.518858,0.953548,1.706102,-1.159004,0.893394,2.581475
75,0.625000,-1.518802,0.953756,1.706778,-1.158980,0.893402,2.581428
76,0.633333,-1.518716,0.953933,1.707487,-1.158953,0.893404,2.581384
77,0.641667,-1.518597,0.954106,1.708277,-1.158943,0.893400,2.581357
78,0.650000,-1.518430,0.954298,1.709068,-1.158956,0.893384,2.581344
79,0.658333,-1.518242,0.954511,1.709915,-1.158973,0.893365,2.581326
80,0.666667,-1.518025,0.954766,1.710769,-1.159005,0.893371,2.581308
81,0.675000,-1.517817,0.955078,1.711567,-1.159037,0.893382,2.581284
82,0.683333,-1.517595,0.955442,1.712430,-1.159080,0.893393,2.581265
83,0.691667,-1.517371,0.955838,1.713271,-1.159113,0.893416,2.581256
84,0.700000,-1.517111,0.956302,1.714107,-1.159134,0.893432,2.581259
85,0.708333,-1.516852,0.956776,1.714928,-1.159162,0.893448,2.581272
86,0.716667,-1.516577,0.957277,1.715745,-1.159189,0.893447,2.581285
87,0.725000,-1.516275,0.957742,1.716590,-1.159220,0.893428,2.581293
88,0.733333,-1.515896,0.958222,1.717434,-1.159247,0.893408,2.581303
89,0.741667,-1.515496,0.958674,1.718311,-1.159261,0.893385,2.581318
90,0.750000,-1.515032,0.959066,1.719208,-1.159277,0.893371,2.581337
91,0.758333,-1.514487,0.959434,1.720156,-1.159279,0.893357,2.581356
92,0.766667,-1.513900,0.959737,1.721105,-1.159278,0.893344,2.581378
93,0.775000,-1.513224,0.959996,1.722073,-1.159276,0.893325,2.581396
94,0.783333,-1.512527,0.960203,1.723054,-1.159285,0.893302,2.581421
95,0.791667,-1.511746,0.960352,1.724052,-1.159317,0.893261,2.581442
96,0.800000,-1.510933,0.960439,1.725076,-1.159351,0.893227,2.581453
97,0.808333,-1.510052,0.960458,1.726135,-1.159381,0.893208,2.581469
98,0.816667,-1.509125,0.960394,1.727202,-1.159394,0.893199,2.581485
99,0.825000,-1.508164,0.960239,1.728263,-1.159396,0.893197,2.581503
100,0.833333,-1.507210,0.960054,1.729343,-1.159386,0.893191,2.581525
101,0.841667,-1.506242,0.959785,1.730442,-1.159370,0.893182,2.581548
102,0.850000,-1.505271,0.959493,1.731492,-1.159361,0.893172,2.581565
103,0.858333,-1.504360,0.959145,1.732551,-1.159362,0.893161,2.581593
104,0.866667,-1.503454,0.958760,1.733569,-1.159353,0.893151,2.581627
105,0.875000,-1.502607,0.958395,1.734525,-1.159338,0.893145,2.581654
106,0.883333,-1.501780,0.958026,1.735461,-1.159320,0.893142,2.581675
107,0.891667,-1.501037,0.957719,1.736309,-1.159299,0.893140,2.581688
108,0.900000,-1.500338,0.957446,1.737151,-1.159282,0.893149,2.581701
109,0.908333,-1.499703,0.957179,1.737934,-1.159279,0.893163,2.581734
