Format Version,1.21,Take Name,SimonPatrikBB1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 12.18.41.838 AM,Total Frames in Take,27207,Total Exported Frames,27207,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-1.501952,0.904660,2.033086,-1.128506,0.893400,2.566650
1,0.008333,-1.501774,0.904760,2.032916,-1.128323,0.893266,2.566372
2,0.016667,-1.501608,0.904874,2.032748,-1.128164,0.893157,2.566127
3,0.025000,-1.501455,0.904978,2.032589,-1.128015,0.893081,2.565884
4,0.033333,-1.501307,0.905088,2.032424,-1.127868,0.893023,2.565649
5,0.041667,-1.501185,0.905186,2.032272,-1.127726,0.892993,2.565443
6,0.050000,-1.501079,0.905290,2.032130,-1.127604,0.892992,2.565277
7,0.058333,-1.500989,0.905396,2.031990,-1.127508,0.892981,2.565146
8,0.066667,-1.500905,0.905499,2.031859,-1.127450,0.892964,2.565060
9,0.075000,-1.500843,0.905580,2.031737,-1.127436,0.892953,2.565013
10,0.083333,-1.500777,0.905657,2.031626,-1.127437,0.892940,2.565004
11,0.091667,-1.500734,0.905709,2.031526,-1.127466,0.892927,2.565002
12,0.100000,-1.500704,0.905753,2.031445,-1.127501,0.892918,2.565023
13,0.108333,-1.500690,0.905794,2.031379,-1.127558,0.892904,2.565049
14,0.116667,-1.500689,0.905829,2.031340,-1.127619,0.892854,2.565076
15,0.125000,-1.500705,0.905850,2.031324,-1.127703,0.892791,2.565120
16,0.133333,-1.500740,0.905855,2.031327,-1.127806,0.892704,2.565156
17,0.141667,-1.500785,0.905853,2.031360,-1.127928,0.892615,2.565237
18,0.150000,-1.500843,0.905844,2.031429,-1.128067,0.892515,2.565302
19,0.158333,-1.500914,0.905829,2.031516,-1.128196,0.892399,2.565359
20,0.166667,-1.501005,0.905805,2.031627,-1.128326,0.892288,2.565413
21,0.175000,-1.501099,0.905781,2.031766,-1.128443,0.892169,2.565436
22,0.183333,-1.501199,0.905742,2.031924,-1.128551,0.892024,2.565429
23,0.191667,-1.501317,0.905691,2.032110,-1.128659,0.891858,2.565379
24,0.200000,-1.501448,0.905620,2.032316,-1.128767,0.891692,2.565321
25,0.208333,-1.501587,0.905518,2.032547,-1.128854,0.891535,2.565263
26,0.216667,-1.501741,0.905410,2.032794,-1.128934,0.891415,2.565185
27,0.225000,-1.501899,0.905289,2.033039,-1.128992,0.891317,2.565074
28,0.233333,-1.502060,0.905161,2.033305,-1.129062,0.891235,2.564991
29,0.241667,-1.502248,0.905017,2.033585,-1.129141,0.891170,2.564927
30,0.250000,-1.502427,0.904884,2.033880,-1.129246,0.891109,2.564914
31,0.258333,-1.502609,0.904730,2.034180,-1.129370,0.891061,2.564939
32,0.266667,-1.502780,0.904571,2.034482,-1.129501,0.891031,2.565010
33,0.275000,-1.502957,0.904394,2.034779,-1.129647,0.891005,2.565070
34,0.283333,-1.503124,0.904211,2.035066,-1.129782,0.891003,2.565150
35,0.291667,-1.503287,0.904025,2.035364,-1.129906,0.891018,2.565227
36,0.300000,-1.503444,0.903845,2.035683,-1.130033,0.891033,2.565320
37,0.308333,-1.503583,0.903655,2.035979,-1.130159,0.891040,2.565436
38,0.316667,-1.503722,0.903472,2.036273,-1.130268,0.891033,2.565569
39,0.325000,-1.503858,0.903280,2.036594,-1.130356,0.891010,2.565702
40,0.333333,-1.503976,0.903096,2.036918,-1.130411,0.890994,2.565806
41,0.341667,-1.504073,0.902921,2.037214,-1.130436,0.890976,2.565887
42,0.350000,-1.504151,0.902753,2.037482,-1.130440,0.890961,2.565936
43,0.358333,-1.504206,0.902599,2.037748,-1.130445,0.890939,2.565985
44,0.366667,-1.504252,0.902437,2.037996,-1.130460,0.890909,2.566024
45,0.375000,-1.504278,0.902283,2.038233,-1.130504,0.890879,2.566060
46,0.383333,-1.504294,0.902123,2.038456,-1.130562,0.890860,2.566084
47,0.391667,-1.504278,0.901985,2.038670,-1.130635,0.890841,2.566075
48,0.400000,-1.504234,0.901858,2.038851,-1.130719,0.890874,2.566085
49,0.408333,-1.504158,0.901754,2.039017,-1.130806,0.890916,2.566101
50,0.416667,-1.504062,0.901669,2.039151,-1.130897,0.890980,2.566119
51,0.425000,-1.503946,0.901600,2.039270,-1.130983,0.891030,2.566144
52,0.433333,-1.503815,0.901531,2.039365,-1.131064,0.891052,2.566187
53,0.441667,-1.503658,0.901476,2.039443,-1.131117,0.891059,2.566242
54,0.450000,-1.503492,0.901427,2.039515,-1.131151,0.891062,2.566282
55,0.458333,-1.503317,0.901407,2.039568,-1.131147,0.891077,2.566314
56,0.466667,-1.503126,0.901391,2.039609,-1.131121,0.891102,2.566388
57,0.475000,-1.502931,0.901392,2.039650,-1.131078,0.891144,2.566492
58,0.483333,-1.502733,0.901407,2.039680,-1.131039,0.891171,2.566615
59,0.491667,-1.502518,0.901426,2.039707,-1.130992,0.891201,2.566767
60,0.500000,-1.502312,0.901445,2.039719,-1.130953,0.891223,2.566926
61,0.508333,-1.502117,0.901473,2.039714,-1.130898,0.891252,2.567072
62,0.516667,-1.501917,0.901505,2.039679,-1.130831,0.891290,2.567206
63,0.525000,-1.501720,0.901542,2.039619,-1.130737,0.891334,2.567339
64,0.533333,-1.501527,0.901577,2.039527,-1.130634,0.891384,2.567455
65,0.541667,-1.501308,0.901621,2.039403,-1.130519,0.891430,2.567557
66,0.550000,-1.501107,0.901668,2.039275,-1.130408,0.891462,2.567645
67,0.558333,-1.500910,0.901699,2.039129,-1.130292,0.891499,2.567728
68,0.566667,-1.500719,0.901719,2.038952,-1.130165,0.891531,2.567800
69,0.575000,-1.500561,0.901744,2.038799,-1.130042,0.891557,2.567861
70,0.583333,-1.500435,0.901754,2.038662,-1.129920,0.891571,2.567916
71,0.591667,-1.500340,0.901761,2.038529,-1.129815,0.891580,2.567986
72,0.600000,-1.500269,0.901756,2.038409,-1.129694,0.891575,2.568034
73,0.608333,-1.500214,0.901745,2.038294,-1.129586,0.891581,2.568078
74,0.616667,-1.500179,0.901712,2.038182,-1.129486,0.891584,2.568145
75,0.625000,-1.500158,0.901669,2.038071,-1.129417,0.891590,2.568186
76,0.633333,-1.500149,0.901614,2.037968,-1.129363,0.891585,2.568237
77,0.641667,-1.500153,0.901555,2.037869,-1.129321,0.891594,2.568285
78,0.650000,-1.500172,0.901476,2.037772,-1.129289,0.891614,2.568338
79,0.658333,-1.500206,0.901391,2.037691,-1.129245,0.891621,2.568398
80,0.666667,-1.500232,0.901299,2.037607,-1.129205,0.891631,2.568436
81,0.675000,-1.500274,0.901202,2.037537,-1.129147,0.891639,2.568501
82,0.683333,-1.500333,0.901096,2.037480,-1.129097,0.891651,2.568570
83,0.691667,-1.500404,0.900991,2.037437,-1.129064,0.891649,2.568650
84,0.700000,-1.500501,0.900884,2.037411,-1.129040,0.891630,2.568746
85,0.708333,-1.500617,0.900785,2.037400,-1.129027,0.891611,2.568842
86,0.716667,-1.500745,0.900687,2.037387,-1.129006,0.891583,2.568934
87,0.725000,-1.500867,0.900604,2.037377,-1.128994,0.891552,2.569005
88,0.733333,-1.500988,0.900539,2.037377,-1.128977,0.891527,2.569067
89,0.741667,-1.501102,0.900498,2.037368,-1.128965,0.891500,2.569122
90,0.750000,-1.501220,0.900498,2.037381,-1.128962,0.891462,2.569182
91,0.758333,-1.501352,0.900549,2.037419,-1.128974,0.891419,2.569239
92,0.766667,-1.501504,0.900666,2.037480,-1.128999,0.891362,2.569291
93,0.775000,-1.501699,0.900898,2.037549,-1.129033,0.891322,2.569371
94,0.783333,-1.501956,0.901290,2.037550,-1.129077,0.891287,2.569455
95,0.791667,-1.502283,0.901952,2.037410,-1.129123,0.891256,2.569525
96,0.800000,-1.502691,0.902911,2.037071,-1.129163,0.891226,2.569569
97,0.808333,-1.503121,0.904178,2.036481,-1.129220,0.891209,2.569623
98,0.816667,-1.503650,0.905678,2.035696,-1.129280,0.891181,2.569655
99,0.825000,-1.504308,0.907236,2.034666,-1.129339,0.891163,2.569692
100,0.833333,-1.504952,0.908700,2.033495,-1.129408,0.891144,2.569718
101,0.841667,-1.505479,0.909998,2.032386,-1.129443,0.891140,2.569739
102,0.850000,-1.505940,0.911111,2.031358,-1.129452,0.891141,2.569744
103,0.858333,-1.506332,0.912027,2.030471,-1.129431,0.891146,2.569741
104,0.866667,-1.506572,0.912771,2.029669,-1.129386,0.891151,2.569740
105,0.875000,-1.506737,0.913435,2.028942,-1.129319,0.891150,2.569737
106,0.883333,-1.506757,0.914089,2.028174,-1.129244,0.891148,2.569751
107,0.891667,-1.506719,0.914704,2.027390,-1.129147,0.891146,2.569759
108,0.900000,-1.506693,0.915427,2.026564,-1.129038,0.891139,2.569755
109,0.908333,-1.506709,0.916172,2.025681,-1.128909,0.891138,2.569738
